SpriteName	Ko
SideHairB5_Outline	옆머리(전체) 외곽선 25 + 26
FacialHair_A4_Color	얼굴 털 A 4
EarringA2_Color	귀걸이 2
Eye3_Light	눈동자 반사광 3
AnimalEar1_Back_Outline	동물 귀 외곽선 1 .1
CapeFront5_Outline	케이프 프론트 | 케이프 아웃라인 5
SideHairB8_Color	옆머리(전체) 31
HairShine6_Color	머리 하이라이트 11 + 12
Hairband5_Outline	머리띠 B 외곽선 3
CapeBack1_Outline	케이프 백 | 케이프 아웃라인 1
Halo3_Color	헤일로 3
Eye3_Eyelash	속눈썹 3
Leg	다리 1
Thumb_Color	손 1 .3
HairShine2_Color	머리 하이라이트 3 + 4
Hairband1_Outline	머리띠 A 외곽선 1
Brow7	눈썹 7
Palmar_Line1	손 1 .4
PiercingA3_Color	피어싱 3
Pigtail_A7_Color	양갈래 머리 13
SideHairA3_Gradient	옆머리(전체) 6
SideHairA8_Outline	옆머리(전체) 외곽선 15 + 16
PonytailA3_Outline	헤어 포니테일 외곽선 5 + 6
TailF2_Outline	꼬리 외곽선 16
Ear_Outline	귀 외곽선 1
HairClip11_Color	머리핀 11
TailC1_Outline	꼬리 외곽선 8
Cheek3	볼 3
Eye_Popcat_Light	바보 3 | 눈 | 팝캣 (프레임)
CandleFire	촛불
PiercingA4_Outline	피어싱 개요 4
NeckwearA2_Color	목장식 A 2
little_Color	손 1 .5
PiercingA1_Color	피어싱 1
PhoneLight	핸트폰 불빛
ShakeLine1	무서워 1
Eye2_Upperlid	속눈썹 2 .1
NeckwearA3_Color	목장식 A 3
Brow9	눈썹 9
EarringA1_Outline	귀걸이 개요 1
TailA2_Outline	꼬리 외곽선 2
Drooling	침흘림
PiercingA4_Color	피어싱 4
PonytailA3_Color	헤어 포니테일 5
PonytailA2_Gradient	헤어 포니테일 4
AnimalEar7_Outline	동물 귀 외곽선 7
Brow6	눈썹 6
PopperConfetti2	컨페티 2
Swatter	찰싹 때리는 사람
Fin1_Outline	지느러미 외곽선
HairShine3_Color	머리 하이라이트 5 + 6
TailB1_Color	꼬리 3
HammerEffect2	망치 2
Mecha1_Outline	메카 외곽선 1
Pigtail_A4_Outline	양갈래 머리 외곽선 7 + 8
HatC1_Outline	모자 외곽선 6 + 7
Pigtail_B1_Color	양갈래 머리 17
Flash	건 플래시
Brow4	눈썹 4
CortisolMeterPointer	댄스(낮은 코르티솔) 1
Hand_Line1	손 1 .6
RedPacketCoin4	용돈 봉투 4
Cheek4	볼 4
FaceFeatureB3	얼굴 특징 B 3
Brow2	눈썹 2
StickyNote	메모 스티커
Loading_Outline	스티커 로딩 2
Collar6_Outline	의상 옷깃 외곽선 6 + 7
CapeBack3_Color	케이프 백 3
SideHairB6_Outline	옆머리(전체) 외곽선 27 + 28
PonytailA1_Outline	헤어 포니테일 외곽선 1 + 2
PonytailA2_Color	헤어 포니테일 3
SideHairA2_Color	옆머리(전체) 3
GiftBoxLid	선물 2
Collar4_Color	의상 옷깃 안쪽 4
WingE1_Upper_Color	날개 8 .1
WingA1_Color	날개 1
FrameHair_B4_Outline	옆머리 외곽선 29 + 30
FrameHair_Branch_A1_Color	머리 가닥 1
SideHairA7_Gradient	옆머리(전체) 14
Wing2_Color	날개 귀 2
TailA1_Color	꼬리 1
Eye3_Heart	하트 눈 3
FrameHair_A8_Outline	옆머리 외곽선 15 + 16
DrawingTablet	타블렛
FaceFeatureA2	얼굴 특징 A 2
PiercingA2_Color	피어싱 2
Eye_Popcat_Highlight	팝캣 | 눈 하이라이트
Hairband3_Outline	머리띠 B 외곽선 1
NeckwearB6_Color	목장식 B 6
Mouth_Popcat1	팝캣 | 입 1
Rose	장미
HairbandBack2_Outline	머리띠 D 외곽선 2
Mecha2_Outline	메카 외곽선 2
SideHairA8_Gradient	옆머리(전체) 16
NeckwearB7_Color	목장식 B 7
Donut3	도넛 3
NeckwearB5_Outline	목장식 B 외곽선 5
StickyNoteText	메모 스티커 텍스트
SideHairA6_Gradient	옆머리(전체) 12
PonytailA4_Gradient	헤어 포니테일 8
Ahoge_A4_Color	바보털 4
Gill2_Color	아가미 1 .2
FacialHair_A7_Outline	얼굴 털 A 윤곽선 7
HatC1_Color	모자 6 + 7
SideHairA5_Color	옆머리(전체) 9
LightStickHandle	응원봉 손잡이
Eye1_Spiral	눈 나선형 1 + 2
EasterEgg2	부활절 2
EasterEgg1	부활절 1
HairClip5_Outline	머리핀 외곽선 5
SideHairA8_Color	옆머리(전체) 15
HairHighlight2_Outline	머리 브릿지 외곽선 2 << + 2 >>
Ahoge_A2_Color	바보털 2
SideHairB7_Outline	옆머리(전체) 외곽선 29 + 30
AlertBits_Outline	경고 스티커 외곽선 6
SunGlasses_Frame	색안경
PonytailA4_Color	헤어 포니테일 7
HairHighlight2_Color	머리 브릿지 2 << + 2 >>
SideHairA5_Gradient	옆머리(전체) 10
SideHairA6_Color	옆머리(전체) 11
HairbandBack2_Color	머리띠 D 2
NeckwearB1_Outline	목장식 B 외곽선 2
HairClip3_Outline	머리핀 외곽선 3
Bill2	지폐 2
Volume	음량 스티커
FrameHair_A1_Color	옆머리 1 
FrameHair_A2_Gradient	옆머리 2 
Pigtail_C2_Color	양갈래 머리 23
Pigtail_C2_Gradient	양갈래 머리 24
WingF1_Lower_Outline	날개 외곽선 9 .2
Glasses_Frame3	안경 3
WingA2_Outline	날개 외곽선 2
PalmarGlove1_Outline	손 2 .1
Eye1_Sparkling	눈 반짝임 1
SideHairB2_Color	옆머리(전체) 19
SideHairB2_Gradient	옆머리(전체) 20
SideHairA1_Outline	옆머리(전체) 외곽선 1 + 2
EarringA3_Color	귀걸이 3
EarringA4_Color	귀걸이 4
TailF_Outline	꼬리 외곽선 15 + 16 + 17 + 18 + 24 + 25
Halo2_Outline	헤일로 외곽선 2
HairBang4_Side_Outline	앞머리 외곽선 7 + 8
TailD1_Outline	꼬리 외곽선 11
Pigtail_A8_Outline	양갈래 머리 외곽선 15 + 16
HairBang4_Middle_Outline	앞머리 >< 외곽선 4
SideHairB2_Outline	옆머리(전체) 외곽선 19 + 20
ShakeLine2	무서워 2
EarringB2_Color	귀걸이 7
TailA2_Color	꼬리 2
TailF_Color	꼬리 15 + 16 + 17 + 18 + 24 + 25
SideHairB6_Color	옆머리(전체) 27
Controller	제어 장치
HairBang3_Middle_Gradient	앞머리 >< 6
HairBang3_Middle_Color	앞머리 >< 5
Horn4_Color	뿔 4
HatD1_Color	모자 8
PonytailA1_Gradient	헤어 포니테일 2
SideHairB4_Outline	옆머리(전체) 외곽선 23 + 24
SideHairB6_Gradient	옆머리(전체) 28
EarringA4_Outline	귀걸이 개요 4
PopperConfetti1	컨페티 1
Collar1_Outline	의상 옷깃 외곽선 1
FacialHair_B5_Outline	얼굴 털 B 윤곽선 5
EarringA2_Outline	귀걸이 개요 2
TailF4_Outline	꼬리 외곽선 18
LightStickLight	응원봉
HatA1_Outline	모자 외곽선 1 + 2
SideHairB1_Outline	옆머리(전체) 외곽선 17 + 18
HairClip3_Color	머리핀 3
NeckwearA4_Color	목장식 A 4
NeckwearA5_Color	목장식 A 5
WingC1_Lower_Outline	날개 외곽선 5 .2
FrameHair_A2_Outline	옆머리 외곽선 3 + 4
HatB1_Outline	모자 외곽선 3
MagicWand	마법
HairBang2_Middle_Color	앞머리 >< 3
HairBang2_Middle_Gradient	앞머리 >< 4
Hairband5_Color	머리띠 B 3
TailE2_Outline	꼬리 외곽선 13
Brow5	눈썹 5
Tie1_Color	목장식 C 1
WingF1_Lower_Color	날개 9 .2
FrameHair_A4_Outline	옆머리 외곽선 7 + 8
PryBar	쇠지렛대
FacialHair_A2_Color	얼굴 털 A 2
Outer2_Color	겉옷 2
Tie3_Outline	목장식 C 외곽선 3
TailB4_Outline	꼬리 외곽선 6
HairShine3_Outline	머리 하이라이트 외곽선 6
AlertHeart_Color	경고 스티커 1
WingD2_Lower_Outline	날개 외곽선 7 .2
SideHairA1_Color	옆머리(전체) 1
HatA1_Color	모자 1 + 2
SideHairB3_Color	옆머리(전체) 21
FrameHair_A11_Gradient	옆머리 22
FrameHair_A11_Color	옆머리 21
SideHairB4_Gradient	옆머리(전체) 24
SideHairA4_Outline	옆머리(전체) 외곽선 7 + 8
SideHairA1_Gradient	옆머리(전체) 2
CapeFront2_Color	케이프 프론트 2
CapeFront5_Color	케이프 프론트 5
CapeFront2_Outline	케이프 프론트 | 케이프 아웃라인 2
SideHairB3_Outline	옆머리(전체) 외곽선 21 + 22
SideHairB4_Color	옆머리(전체) 23
SideHairB5_Gradient	옆머리(전체) 26
TailB5_Color	꼬리 7
WingC1_Upper_Outline	날개 외곽선 5 .1
Mecha3_Outline	메카 외곽선 3
HairHighlight1_Color	머리 브릿지 1 << + 1 >> 
LoveLetter	연애 편지
Hairband6_Outline	머리띠 B 외곽선 4
MusicalNote1	음표 1
PiercingA2_Outline	피어싱 개요 2
StrawLiquid_Outline	음료 컵 2
Eyepatch2_Color	안대 3 + 4
AnimalEar2_Front_Outline	동물 귀 외곽선 2
AnimalEar1_Fur_Color	동물 귀 털 1
EarringB3_Color	귀걸이 8
Pigtail_A7_Gradient	양갈래 머리 14
AnimalEar5_Color	 동물 귀 5
EarringB4_Color	귀걸이 4
HairClip2_Color	머리핀 2
Glasses_Lens2	안경 Lens 2
HairBang6_Side_Gradient	앞머리 12
HairBang3_Middle_Outline	앞머리 >< 외곽선 5 + 6
AnimalEar9_Outline	동물 귀 외곽선 9
HatB3_Color	모자 5
PiercingA1_Outline	피어싱 개요 1
Brow8	눈썹 8
HairClip1_Outline	머리핀 외곽선 1
Eyepatch1_Color	안대 1 + 2
NeckwearA1_Color	목장식 A 1
Eye1_Eyelash	속눈썹 1 + 2
ShakeLine3	무서워 3
WingE1_Upper_Outline	날개 외곽선 8 .1
PopperConfetti3	컨페티 3
Star	별 스티커
HairBang1_Middle_Outline	앞머리 >< 외곽선 1 + 2
SideHairA4_Gradient	옆머리(전체) 8
PiercingA3_Outline	피어싱 개요 3
FaceFeatureB4	얼굴 특징 B 4
EarringA3_Outline	귀걸이 개요 3
TailF4_Color	꼬리 18
AnimalEar2_Fur_Color	동물 귀 털 2
AnimalEar3_Outline	동물 귀 외곽선 3
Straw	음료 컵 4
AnimalEar8_Outline	동물 귀 외곽선 8
AnimalEar6_Color	 동물 귀 6
TailF3_Color	꼬리 17
EarringB5_Outline	귀걸이 개요 10
HairClip12_Color	머리핀 12
Collar6_Color	의상 옷깃 안쪽 6 + 7
AnimalEar6_Outline	동물 귀 외곽선 6
AnimalEar3_Color	 동물 귀 3
Brow3	눈썹 3
Glasses_Lens3	안경 Lens 3
EarringB5_Color	귀걸이 10
LaptopLight2	노트북 불빛 2
PhoneScreenPattern1	핸드폰 화면 1
TailF2_Color	꼬리 16
LaptopLight1	노트북 불빛 1
AnimalEar7_Color	 동물 귀 7
AnimalEar9_Color	 동물 귀 9
HairBang7_Middle_Outline	앞머리 >< 외곽선 13 + 14
Hairband6_Color	머리띠 B 4
AnimalEar2_Back_Outline	동물 귀 외곽선 2 .1
HairClip1_Color	머리핀 1
EarringB2_Outline	귀걸이 개요 7
Middle_Color	손 1 .7
AnimalEar5_Outline	동물 귀 외곽선 5
Hairband2_Color	머리띠 A 2
AnimalEar1_Front_Color	 동물 귀 1
Chopstick	젓가락
AnimalEar2_Front_Color	 동물 귀 2
EarringB3_Outline	귀걸이 개요 8
TailF1_Color	꼬리 15
AnimalEar4_Color	 동물 귀 4
HairBang4_Side_Color	앞머리 7
SideHairB7_Gradient	옆머리(전체) 30
SideHairB1_Color	옆머리(전체) 17
FacialHair_A7_Color	얼굴 털 A 7
HairClip4_Outline	머리핀 외곽선 4
EarringB1_Outline	귀걸이 개요 6
Index_Color	손 1 .8
PiercingA5_Outline	피어싱 개요 5
TailF1_Outline	꼬리 외곽선 15
AnimalEar1_Fur_Outline	동물 귀 털 외곽선 1
TailE3_Color	꼬리 14
AnimalEar1_Back_Color	 동물 귀 1 .1
AnimalEar2_Fur_Outline	동물 귀 털 외곽선 2
CupSteam	컵 수증기
AnimalEar2_Back_Color	 동물 귀 2 .1
AnimalEar8_Color	 동물 귀 8
EarringB4_Outline	귀걸이 개요 9
FacialHair_A8_Outline	얼굴 털 A 윤곽선 8
SideHairB7_Color	옆머리(전체) 29
SideHairA4_Color	옆머리(전체) 7
SideHairB1_Gradient	옆머리(전체) 18
BackHair3_Color	뒷머리 5
Pigtail_A5_Color	양갈래 머리 9
Pigtail_A5_Gradient	양갈래 머리 10
Pigtail_A2_Outline	양갈래 머리 외곽선 3 + 4
HairShine6_Outline	머리 하이라이트 외곽선 12
Antenna1_Outline	안테나 외곽선 1
AlertLike_Outline	경고 스티커 외곽선 4
FacialHair_A5_Outline	얼굴 털 A 윤곽선 5
Horn5_Outline	뿔 외곽선 5
FrameHair_A8_Color	옆머리 15
FrameHair_A8_Gradient	옆머리 16
FrameHair_Top_Color	옆머리 top
HairBang5_Middle_Color	앞머리 >< 9
HairShine1_Outline	머리 하이라이트 외곽선 2
WingG1_Inner_Outline	날개 외곽선 10 .2
VideoCamera	비디오 카메라
FrameHair_A7_Gradient	옆머리 14
FrameHair_A7_Color	옆머리 13
Index_Outline	손 1 .9
Mouth	입
TailC3_Outline	꼬리 외곽선 10
Wing2_Outline	날개 귀 외곽선 2
Wing1_Color	날개 귀 외곽선 1
WingC1_Upper_Color	날개 외곽선 5 .1
Main7_Color	의상 7
HairHighlight3_Color	머리 브릿지 3 << + 3 >>
HairHighlight4_Outline	머리 브릿지 >< 외곽선 1 + 2
ErrorPopup	작동이 중지됨
TrashBinLid	쓰레기통 2
BackHair1_Outline	뒷머리 외곽선 1 + 2
BackHair2_Outline	뒷머리 외곽선 3 + 4
Horn6_Color	뿔 6
HairBang7_Middle_Color	앞머리 >< 13
little_Outline	손 1 .10
HornF1_Outline	뿔 (앞) 외곽선 1
TailC2_Outline	꼬리 외곽선 9
Outer2_Outline	겉옷 외곽선 2
BackHair3_Outline	뒷머리 외곽선 5 + 6
Tongue_Shadow	혀 음영
Blush	볼터치
FacialHair_B5_Color	얼굴 털 B 5 
Knife	침흘림(포크&나이프) 2
HairBang3_Side_Outline	앞머리 외곽선 5 + 6
HairBang5_Side_Outline	앞머리 외곽선 9 + 10
Horn7_Outline	뿔 외곽선 7
PopcornBucket	먹다 (팝콘) 1
Pigtail_A3_Outline	양갈래 머리 외곽선 5 + 6
Collar7_Color	의상 옷깃 안쪽 8
Hairband3_Color	머리띠 B 1
Hammer	망치
TailE3_Outline	꼬리 외곽선 14
HairBang6_Side_Outline	앞머리 외곽선 11 + 12
HairBang2_Side_Outline	앞머리 외곽선 3 + 4
HairShine7_Outline	머리 하이라이트 외곽선 14
EyepatchBandage_Color	안대 5 + 6
EyepatchBandage_Outline	안대 개요 5 + 6
HairbandBack1_Color	머리띠 D 1
Hairband4_Outline	머리띠 B 외곽선 2
KeyboardKeyA	타이핑(일반) 1
Thumb_Outline	손 1 .11
FacialHair_B3_Color	얼굴 털 B 3
Hairband2_Outline	머리띠 A 외곽선 2
HairbandBack1_Outline	머리띠 D 외곽선 1
TailB3_Color	꼬리 5
FrameHair_A7_Outline	옆머리 외곽선 13 + 14
FrameHair_A10_Color	옆머리 19
FrameHair_A10_Gradient	옆머리 20
FrameHair_A11_Outline	옆머리 외곽선 21 + 22
FrameHair_A9_Color	옆머리 17
FacialHair_A3_Color	얼굴 털 A 3
BackHair1_Color	뒷머리 1
Laptop	노트북
SignRound	원형 팻말
HairBang1_Side_Color	앞머리 1
HairBang4_Side_Gradient	앞머리 8
HairBang5_Side_Color	앞머리 9
BackHair2_Color	뒷머리 3
Pigtail_A6_Outline	양갈래 머리 외곽선 11 + 12
Pigtail_A7_Outline	양갈래 머리 외곽선 13 + 14
Watermelon	먹다(수박)
Cheek2	볼 2
HairClip6_Color	머리핀 6
Spoon	등장(숟가락)
Tape	줄자
HatB2_Outline	모자 외곽선 4
HairShine2_Outline	머리 하이라이트 외곽선 4
HairBang1_Side_Gradient	앞머리 2
HairBang2_Side_Color	앞머리 3
HairBang5_Side_Gradient	앞머리 10
BackHair2_Gradient	뒷머리 4
FrameHair_B3_Outline	옆머리 외곽선 28
FaceFeatureC1	얼굴 특징 C 1
Pigtail_A8_Color	양갈래 머리 15
NeckwearB4_Color	목장식 B 4
WingE1_Lower_Color	날개 8 .3
PhoneScreen	핸드폰 화면 3
AngrySteam	콧김 스티커
Outer1_Color	겉옷 1
SideHair_Branch_C2_Outline	옆머리 가닥 C 외곽선 2
Hairband4_Color	머리띠 B 2
Pigtail_A3_Color	양갈래 머리 5
BackHair3_Gradient	뒷머리 6
HairBang2_Side_Gradient	앞머리 4
PixelSunglasses	픽셀 선글라스
HatB1_Color	모자 3
FacialHair_B3_Outline	얼굴 털 B 윤곽선 3
CapeBack1_Color	케이프 백 1
HairShine1_Color	머리 하이라이트 1 + 2
Palmar_Color	손 1 .12
Ahoge_B1_Color	바보털 5
HatA2_Outline	모자 외곽선 2
Pigtail_A5_Outline	양갈래 머리 외곽선 9 + 10
Pigtail_A3_Gradient	양갈래 머리 6
HairBang3_Side_Color	앞머리 5
HairBang3_Side_Gradient	앞머리 6
HairShine4_Outline	머리 하이라이트 외곽선 8
BackHair1_Gradient	뒷머리 2
SignSquare	사각형 팻말
Horn4_Outline	뿔 4
PonytailB1_Gradient	헤어 포니테일 12
PonytailB1_Color	헤어 포니테일 11
FrameHair_A1_Outline	옆머리 외곽선 1 + 2
Collar7_Outline	의상 옷깃 외곽선 8
NeckwearA3_Outline	목장식 A 외곽선 3
NeckwearA2_Outline	목장식 A 외곽선 2
TailA1_Outline	꼬리 외곽선 1
Horn3_Outline	뿔 외곽선 3
Pigtail_A8_Gradient	양갈래 머리 16
SunglassesReflection	선글라스 반사
NeckwearA6_Color	목장식 A 6
Tie2_Outline	목장식 C 외곽선 2
Halo4_Color	헤일로 5 + 6
FrameHair_A6_Color	옆머리 11
Middle_Outline	손 1 .13
RedPacketCoin2	용돈 봉투 3
NeckwearB5_Color	목장식 B 5
Eye1_HighlightCry	눈 1 | 울음
Collar3_Color	의상 옷깃 안쪽 3
TailC3_Color	꼬리 10
ElfEar_Color	귀 1.1
Surprise	깜짝 스티커
Gill3_Outline	아가미 외곽선 1 .3
Pigtail_A4_Gradient	양갈래 머리 8
Pigtail_A1_Color	양갈래 머리 1
Eye_U	수면(UU)
Cockroach	바퀴벌레
Halo3_Outline	헤일로 외곽선 3
Wing3_Outline	날개 귀 외곽선 3
Halo4_Outline	헤일로 외곽선 5 + 6
Wing3_Color	날개 귀 3
WingD1_Outline	날개 외곽선 6
FacialHair_A1_Color	얼굴 털 A 1
Ghost	유령 스티커
Hairband7_Outline	머리띠 C 외곽선 1
Horn6_Outline	뿔 외곽선 6
HairHighlight3_Outline	머리 브릿지 외곽선 3 << + 3 >>
Glasses_Frame2	안경 2
NeckwearA4_Outline	목장식 A 외곽선 4
Ear_Color	귀 1
HatB2_Color	모자 4
FacialHair_A4_Outline	얼굴 털 A 윤곽선 4
PonytailB1_Outline	헤어 포니테일 외곽선 11 + 12
Collar1_Color	의상 옷깃 안쪽 1
CapeBack3_Outline	케이프 백 | 케이프 아웃라인 3
Pigtail_A1_Outline	양갈래 머리 외곽선 1 + 2
Tie2_Color	목장식 C 2
TailE1_Color	꼬리 12
PatHand	쓰다듬는 손
Main6_Outline	의상 외곽선 6
Pigtail_A6_Color	양갈래 머리 11
Card	뒤집다
FacialHair_A8_Color	얼굴 털 A 8
CapeBack2_Outline	케이프 백 | 케이프 아웃라인 2
CapeFront6_Color	케이프 프론트 6
PonytailB2_Gradient	헤어 포니테일 14
Megaphone	메가폰
Glasses_Frame1	안경 1
Pigtail_B1_Outline	양갈래 머리 외곽선 17 + 18
Eye1_Dollar	달러($) 눈 1 + 2
FaceFeatureA1	얼굴 특징 A 1
Eye1_Heart	하트 눈 1 + 2
Collar2_Color	의상 옷깃 안쪽 2
Pigtail_A6_Gradient	양갈래 머리 12
FrameHair_B3_Gradient	옆머리 28
FrameHair_B3_Color	옆머리 27
FrameHair_TopBack_Outline	옆머리 top 외곽선 2
Horn5_Color	뿔 5
Fork	침흘림(포크&나이프) 1
SteeringWheel	운전대
Hairband1_Color	머리띠 A 1
HatB3_Outline	모자 외곽선 5
FrameHair_A4_Color	옆머리 7
NeckwearB3_Color	목장식 B 3
HammerEffect1	망치 1
HairHighlight6_Color	머리 브릿지 >< 5 + 6
Pigtail_B2_Outline	양갈래 머리 외곽선 19 + 20
WingF1_Upper_Outline	날개 외곽선 9 .1
Pigtail_A2_Gradient	양갈래 머리 4
RedPacketCoin3	용돈 봉투 2
FrameHair_A9_Gradient	옆머리 18
TrashBin	쓰레기통 1
FacialHair_A2_Outline	얼굴 털 A 윤곽선 2
Tongue1	핥기 | 혀
HairShine4_Color	머리 하이라이트 7 + 8
Toilet	화장실
FrameHair_A5_Gradient	옆머리 10
CapeFront6_Outline	케이프 프론트 | 케이프 아웃라인 6
FrameHair_A5_Color	옆머리 9
CapeBack2_Color	케이프 백 2
SunGlasses_Lens	색안경 Lens
FrameHair_A9_Outline	옆머리 외곽선 17 + 18
Main8_Outline	의상 외곽선 8
Pigtail_A4_Color	양갈래 머리 7
KeyboardKeyB	타이핑(일반) 2
Tie3_Color	목장식 C 3
Nose2	코 2
FacialHair_A5_Color	얼굴 털 A 5
AlertCustom_Color	경고 스티커 2
AlertCustom_Outline	경고 스티커 외곽선 2
SideHair_Branch_A2_Outline	옆머리 가닥 A 외곽선 2
Horn1_Color	뿔 1
Outer3_Outline	겉옷 외곽선 3
SideHair_Branch_B1_Outline	옆머리 가닥 B 외곽선 1
ElfEar_Outline	귀 외곽선 1.1
Outer4_Color	겉옷 4
Outer3_Color	겉옷 3
HairHighlight5_Outline	머리 브릿지 >< 외곽선 3 +4
SideHair_Branch_C1_Outline	옆머리 가닥 C 외곽선 1
Stylus	타블렛 펜
Tear2_Outline	눈물 3
Donut1	도넛 1
Donut2	도넛 2
SideHair_Branch_A1_Outline	옆머리 가닥 A 외곽선 1
Eye1_Light	눈동자 반사광 1 + 2
Angry2	화남 스티커 2
WingF1_Upper_Color	날개 9 .1
NeckwearB2_Color	목장식 B 1 + 2
SideHair_Branch_A1_Color	옆머리 가닥 A 1
SignRoundText1	원형 팻말 텍스트
Collar2_Outline	의상 옷깃 외곽선 2
MusicalNote2	음표 2
FacialHair_B4_Color	얼굴 털 B 4
Mecha2_Color	메카 2
Six	넘버 육
PointHand	가르키는 손
HairClip8_Color	머리핀 8
FaceFeatureB1	얼굴 특징 B 1
Pigtail_B2_Gradient	양갈래 머리 20
Main8_Color	의상 8
Tear2_Color	눈물 2
Eye3_Dark	눈동자 음영 3
Outer4_Outline	겉옷 외곽선 4
Glasses_Lens1	안경 Lens 1
WingA3_Outline	날개 외곽선 3
Ahoge_B2_Color	바보털 6
CapeFront1_Outline	케이프 프론트 | 케이프 아웃라인 1
Cake	케이크
WingD1_Color	날개 6
Pigtail_B1_Gradient	양갈래 머리 18
Outer7_Color	겉옷 7
Ahoge_B1_Outline	바보털 외곽선 5
HornM1_Outline	뿔 (앞) >< 외곽선 1
HornF2_Color	뿔 (앞) 2
CapeFront4_Color	케이프 프론트 4
FrameHair_Branch_A3_Color	머리 가닥 3
Main2_Outline	의상 외곽선 2
Wing1_Outline	날개 귀 외곽선 1
WingD2_Upper_Outline	날개 외곽선 7 .1
Mecha4_Color	메카 4
Horn1_Outline	뿔 외곽선 1
WingA2_Color	날개 2
EasterEggBasket	부활절 4
Mecha4_Outline	메카 외곽선 4
Antenna2_Color	안테나 2
Mecha1_Color	메카 1
Ahoge_A3_Outline	바보털 외곽선 3
Main1_Outline	의상 외곽선 1
Horn2_Color	뿔 2
HairBang4_Middle_Gradient	앞머리 >< 8
CapeFront3_Color	케이프 프론트 3
Notepad	수첩
Outer5_Color	겉옷 5
WingA3_Color	날개 3
WingB1_Color	날개 4
Pistol	총
Horn7_Color	뿔 7
Bottle	콜라쉐이크
Outer6_Color	겉옷 6
Laugh2	웃음 스티커 2
FrameHair_B1_Gradient	옆머리 24
Outer5_Outline	겉옷 외곽선 5
FrameHair_Top_Outline	옆머리 top 외곽선
WingG1_Inner_Color	날개 10 .2
HairBang5_Middle_Outline	앞머리 >< 외곽선 9 + 10
Beer	건배
HairBang4_Middle_Color	앞머리 >< 7
TailE1_Outline	꼬리 외곽선 12
TailC2_Color	꼬리 9
HornF2_Outline	뿔 외곽선 9
HairBang2_Middle_Outline	앞머리 >< 외곽선 3 + 4
Ahoge_B2_Outline	바보털 외곽선 6
Bell	종 2
FrameHair_Branch_A3_Outline	머리 가닥 외곽선 3
FrameHair_A3_Color	옆머리 5
FrameHair_A3_Gradient	옆머리 6
Horn2_Outline	뿔 외곽선 2
Outer6_Outline	겉옷 외곽선 6
WingD2_Upper_Color	날개 7 .1
Antenna2_Outline	안테나 외곽선 2
TailB5_Outline	꼬리 외곽선 7
