SpriteName	Ru
PopperConfetti1	Конфетти 1
Collar1_Outline	Воротник Контур 1
FacialHair_B5_Outline	Волосы на лице B Контур 5
EarringA2_Outline	Серьга Контур 2
TailF4_Outline	Хвост Контур 18
LightStickLight	Лайтстик
HatA1_Outline	Шляпа Контур 1 + 2
SideHairB1_Outline	Боковые волосы Контур 17 + 18
HairClip3_Color	Заколка 3
NeckwearA4_Color	Галстук A 4
NeckwearA5_Color	Галстук A 5
WingC1_Lower_Outline	Крылья Контур 5 .2
FrameHair_A2_Outline	Прядь волос Контур 3 + 4
HatB1_Outline	Шляпа Контур 3
MagicWand	Магия
HairBang2_Middle_Color	Челка >< 3
HairBang2_Middle_Gradient	Челка >< 4
Hairband5_Color	Повязки на голову Б 3
TailE2_Outline	Хвост Контур 13
Brow5	Бровь 5
Tie1_Color	Галстук C 1
WingF1_Lower_Color	Крылья 9 .2
FrameHair_A4_Outline	Прядь волос Контур 7 + 8
PryBar	Лом
FacialHair_A2_Color	Волосы на лице A 2
Outer2_Color	Верхняя одежда 2
Tie3_Outline	Галстук C Контур 3
TailB4_Outline	Хвост Контур 6
HairShine3_Outline	Волосы Сияние Контур 6
AlertHeart_Color	Стикер Оповещение 1
WingD2_Lower_Outline	Крылья Контур 7 .2
SideHairA1_Color	Боковые волосы 1
HatA1_Color	Шляпа 1 + 2
SideHairB3_Color	Боковые волосы 21
FrameHair_A11_Gradient	Прядь волос 22
FrameHair_A11_Color	Прядь волос 21
SideHairB4_Gradient	Боковые волосы 24
SideHairA4_Outline	Боковые волосы Контур 7 + 8
SideHairA1_Gradient	Боковые волосы 2
CapeFront2_Color	Мыс Фронт 2
CapeFront5_Color	Мыс Фронт 5
CapeFront2_Outline	Мыс Фронт | Контур мыса 2
SideHairB3_Outline	Боковые волосы Контур 21 + 22
SideHairB4_Color	Боковые волосы 23
SideHairB5_Gradient	Боковые волосы 26
TailB5_Color	Хвост 7
WingC1_Upper_Outline	Крылья Контур 5 .1
Mecha3_Outline	Меха Контур 3
HairHighlight1_Color	Торчащий волос 1 << + 1 >> 
LoveLetter	Любовное письмо
Hairband6_Outline	Повязки на голову B Контур 4
MusicalNote1	Музыкальная нота 1
PiercingA2_Outline	Пирсинг Схема 2
StrawLiquid_Outline	Стаканчик 2
Eyepatch2_Color	Повязка на глазу 3 + 4
AnimalEar2_Front_Outline	Звериные уши Контур 2
AnimalEar1_Fur_Color	Звериные уши (Мех) 1
EarringB3_Color	Серьга 8
Pigtail_A7_Gradient	Волосы Хвостик 14
AnimalEar5_Color	Звериные уши 5
EarringB4_Color	Серьга 4
HairClip2_Color	Заколка 2
Glasses_Lens2	Очки Lens 2
HairBang6_Side_Gradient	Челка 12
HairBang3_Middle_Outline	Челка >< Контур 5 + 6
AnimalEar9_Outline	Звериные уши Контур 9
HatB3_Color	Шляпа 5
PiercingA1_Outline	Пирсинг Схема 1
Brow8	Бровь 8
HairClip1_Outline	Заколка Контур 1
Eyepatch1_Color	Повязка на глазу 1 + 2
NeckwearA1_Color	Галстук A 1
Eye1_Eyelash	Ресницы 1 + 2
ShakeLine3	Испугался 3
WingE1_Upper_Outline	Крылья Контур 8 .1
PopperConfetti3	Конфетти 3
Star	Стикер Звезда
HairBang1_Middle_Outline	Челка >< Контур 1 + 2
SideHairA4_Gradient	Боковые волосы 8
PiercingA3_Outline	Пирсинг Схема 3
FaceFeatureB4	Черта лица B 4
EarringA3_Outline	Серьга Контур 3
TailF4_Color	Хвост 18
AnimalEar2_Fur_Color	Звериные уши (Мех) 2
AnimalEar3_Outline	Звериные уши Контур 3
Straw	Стаканчик 4
AnimalEar8_Outline	Звериные уши Контур 8
AnimalEar6_Color	Звериные уши 6
TailF3_Color	Хвост 17
EarringB5_Outline	Серьга Контур 10
HairClip12_Color	Заколка 12
Collar6_Color	Воротник одежды 6 + 7
AnimalEar6_Outline	Звериные уши Контур 6
AnimalEar3_Color	Звериные уши 3
Brow3	Бровь 3
Glasses_Lens3	Очки Lens 3
EarringB5_Color	Серьга 10
LaptopLight2	Ноутбук Свечение 2
PhoneScreenPattern1	Экран телефона 1
TailF2_Color	Хвост 16
LaptopLight1	Ноутбук Свечение 1
AnimalEar7_Color	Звериные уши 7
AnimalEar9_Color	Звериные уши 9
HairBang7_Middle_Outline	Челка >< Контур 13 + 14
Hairband6_Color	Повязки на голову Б 4
AnimalEar2_Back_Outline	Звериные уши Контур 2 .1
HairClip1_Color	Заколка 1
EarringB2_Outline	Серьга Контур 7
Middle_Color	Рука 1 .7
AnimalEar5_Outline	Звериные уши Контур 5
Hairband2_Color	Банты А 2
AnimalEar1_Front_Color	Звериные уши 1
Chopstick	Палочки для еды
AnimalEar2_Front_Color	Звериные уши 2
EarringB3_Outline	Серьга Контур 8
TailF1_Color	Хвост 15
AnimalEar4_Color	Звериные уши 4
HairBang4_Side_Color	Челка 7
SideHairB7_Gradient	Боковые волосы 30
SideHairB1_Color	Боковые волосы 17
FacialHair_A7_Color	Волосы на лице A 7
HairClip4_Outline	Заколка Контур 4
EarringB1_Outline	Серьга Контур 6
Index_Color	Рука 1 .8
PiercingA5_Outline	Пирсинг Схема 5
TailF1_Outline	Хвост Контур 15
AnimalEar1_Fur_Outline	Звериные уши (Мех) Контур 1
TailE3_Color	Хвост 14
AnimalEar1_Back_Color	Звериные уши 1 .1
AnimalEar2_Fur_Outline	Звериные уши (Мех) Контур 2
CupSteam	Пар из чашки
AnimalEar2_Back_Color	Звериные уши 2 .1
AnimalEar8_Color	Звериные уши 8
EarringB4_Outline	Серьга Контур 9
FacialHair_A8_Outline	Волосы на лице A Контур 8
SideHairB7_Color	Боковые волосы 29
SideHairA4_Color	Боковые волосы 7
SideHairB1_Gradient	Боковые волосы 18
BackHair3_Color	Задние волосы 5
Pigtail_A5_Color	Волосы Хвостик 9
Pigtail_A5_Gradient	Волосы Хвостик 10
Pigtail_A2_Outline	Волосы Хвостик Контур 3 + 4
HairShine6_Outline	Волосы Сияние Контур 12
Antenna1_Outline	Антенна Контур 1
AlertLike_Outline	Стикер Уведомление Контур 4
FacialHair_A5_Outline	Волосы на лице A Контур 5
Horn5_Outline	Рог Контур 5
FrameHair_A8_Color	Прядь волос 15
FrameHair_A8_Gradient	Прядь волос 16
FrameHair_Top_Color	Прядь волос top
HairBang5_Middle_Color	Челка >< 9
HairShine1_Outline	Волосы Сияние Контур 2
WingG1_Inner_Outline	Крылья Контур 10 .2
VideoCamera	Видеокамера
FrameHair_A7_Gradient	Прядь волос 14
FrameHair_A7_Color	Прядь волос 13
Index_Outline	Рука 1 .9
Mouth	Рот
TailC3_Outline	Хвост Контур 10
Wing2_Outline	Крыло-ухо Контур 2
Wing1_Color	Крыло-ухо Контур 1
WingC1_Upper_Color	Крылья Контур 5 .1
Main7_Color	Плечевая одежда 7
HairHighlight3_Color	Торчащий волос 3 << + 3 >>
HairHighlight4_Outline	Торчащий волос >< Контур 1 + 2
ErrorPopup	Перестает работать
TrashBinLid	мусорное ведро 2
BackHair1_Outline	Задние волосы - Контур 1 + 2
BackHair2_Outline	Задние волосы - Контур 3 + 4
Horn6_Color	Рог 6
HairBang7_Middle_Color	Челка >< 13
little_Outline	Рука 1 .10
HornF1_Outline	Рога спереди Контур 1
TailC2_Outline	Хвост Контур 9
Outer2_Outline	Верхняя одежда Контур 2
BackHair3_Outline	Задние волосы - Контур 5 + 6
Tongue_Shadow	Язык Тень
Blush	Румянец
FacialHair_B5_Color	Волосы на лице B 5 
Knife	Слюни (Вилка и нож) 2
HairBang3_Side_Outline	Челка Контур 5 + 6
HairBang5_Side_Outline	Челка Контур 9 + 10
Horn7_Outline	Рог Контур 7
PopcornBucket	Ешьте (попкорн) 1
Pigtail_A3_Outline	Волосы Хвостик Контур 5 + 6
Collar7_Color	Воротник одежды 8
Hairband3_Color	Повязки на голову Б 1
Hammer	Молоток
TailE3_Outline	Хвост Контур 14
HairBang6_Side_Outline	Челка Контур 11 + 12
HairBang2_Side_Outline	Челка Контур 3 + 4
HairShine7_Outline	Волосы Сияние Контур 14
EyepatchBandage_Color	Повязка на глазу 5 + 6
EyepatchBandage_Outline	Контур повязки на глазу 5 + 6
HairbandBack1_Color	Бант сзади D 1
Hairband4_Outline	Повязки на голову B Контур 2
KeyboardKeyA	Печатание нормальное 1
Thumb_Outline	Рука 1 .11
FacialHair_B3_Color	Волосы на лице B 3
Hairband2_Outline	Банты A Контур 2
HairbandBack1_Outline	Бант сзади D Контур 1
TailB3_Color	Хвост 5
FrameHair_A7_Outline	Прядь волос Контур 13 + 14
FrameHair_A10_Color	Прядь волос 19
FrameHair_A10_Gradient	Прядь волос 20
FrameHair_A11_Outline	Прядь волос Контур 21 + 22
FrameHair_A9_Color	Прядь волос 17
FacialHair_A3_Color	Волосы на лице A 3
BackHair1_Color	Задние волосы 1
Laptop	Ноутбук
SignRound	Круглый знак
HairBang1_Side_Color	Челка 1
HairBang4_Side_Gradient	Челка 8
HairBang5_Side_Color	Челка 9
BackHair2_Color	Задние волосы 3
Pigtail_A6_Outline	Волосы Хвостик Контур 11 + 12
Pigtail_A7_Outline	Волосы Хвостик Контур 13 + 14
Watermelon	Ешьте (арбуз)
Cheek2	Щека 2
HairClip6_Color	Заколка 6
Spoon	Arrive (with Spoon)
Tape	Лента
HatB2_Outline	Шляпа Контур 4
HairShine2_Outline	Волосы Сияние Контур 4
HairBang1_Side_Gradient	Челка 2
HairBang2_Side_Color	Челка 3
HairBang5_Side_Gradient	Челка 10
BackHair2_Gradient	Задние волосы 4
FrameHair_B3_Outline	Прядь волос Контур 28
FaceFeatureC1	Черта лица C 1
Pigtail_A8_Color	Волосы Хвостик 15
NeckwearB4_Color	Галстук B 4
WingE1_Lower_Color	Крылья 8 .3
PhoneScreen	Экран телефона 3
AngrySteam	Стикер Пар
Outer1_Color	Верхняя одежда 1
SideHair_Branch_C2_Outline	Боковая прядь волос C Контур 2
Hairband4_Color	Повязки на голову Б 2
Pigtail_A3_Color	Волосы Хвостик 5
BackHair3_Gradient	Задние волосы 6
HairBang2_Side_Gradient	Челка 4
PixelSunglasses	Пиксельные солнцезащитные очки
HatB1_Color	Шляпа 3
FacialHair_B3_Outline	Волосы на лице B Контур 3
CapeBack1_Color	Мыс Назад 1
HairShine1_Color	Волосы Сияние 1 + 2
Palmar_Color	Рука 1 .12
Ahoge_B1_Color	Волосы Ахоге 5
HatA2_Outline	Шляпа Контур 2
Pigtail_A5_Outline	Волосы Хвостик Контур 9 + 10
Pigtail_A3_Gradient	Волосы Хвостик 6
HairBang3_Side_Color	Челка 5
HairBang3_Side_Gradient	Челка 6
HairShine4_Outline	Волосы Сияние Контур 8
BackHair1_Gradient	Задние волосы 2
SignSquare	Квадратный знак
Horn4_Outline	Рог 4
PonytailB1_Gradient	Волосы 12
PonytailB1_Color	Волосы 11
FrameHair_A1_Outline	Прядь волос Контур 1 + 2
Collar7_Outline	Воротник Контур 8
NeckwearA3_Outline	Галстук A Контур 3
NeckwearA2_Outline	Галстук A Контур 2
TailA1_Outline	Хвост Контур 1
Horn3_Outline	Рог Контур 3
Pigtail_A8_Gradient	Волосы Хвостик 16
SunglassesReflection	Солнцезащитные очки Отражение
NeckwearA6_Color	Галстук A 6
Tie2_Outline	Галстук C Контур 2
Halo4_Color	Нимб 5 + 6
FrameHair_A6_Color	Прядь волос 11
Middle_Outline	Рука 1 .13
RedPacketCoin2	Конверт 3
NeckwearB5_Color	Галстук B 5
Eye1_HighlightCry	Глаз 1 | Плач
Collar3_Color	Воротник одежды 3
TailC3_Color	Хвост 10
ElfEar_Color	Ухо 1.1
Surprise	Стикер Сюрприз
Gill3_Outline	Жабры Контур 1 .3
Pigtail_A4_Gradient	Волосы Хвостик 8
Pigtail_A1_Color	Волосы Хвостик 1
Eye_U	Сон (UwU)
Cockroach	Таракан
Halo3_Outline	Нимб Контур 3
Wing3_Outline	Крыло-ухо Контур 3
Halo4_Outline	Нимб Контур 5 + 6
Wing3_Color	Крыло-ухо 3
WingD1_Outline	Крылья Контур 6
FacialHair_A1_Color	Волосы на лице A 1
Ghost	Стикер Призрак
Hairband7_Outline	Ободок C Контур 1
Horn6_Outline	Рог Контур 6
HairHighlight3_Outline	Торчащий волос Контур 3 << + 3 >>
Glasses_Frame2	Очки 2
NeckwearA4_Outline	Галстук A Контур 4
Ear_Color	Ухо 1
HatB2_Color	Шляпа 4
FacialHair_A4_Outline	Волосы на лице A Контур 4
PonytailB1_Outline	Контур волос 11 + 12
Collar1_Color	Воротник одежды 1
CapeBack3_Outline	Мыс Назад | Контур мыса 3
Pigtail_A1_Outline	Волосы Хвостик Контур 1 + 2
Tie2_Color	Галстук C 2
TailE1_Color	Хвост 12
PatHand	Гладящая рука
Main6_Outline	Плечевая одежда Контур 6
Pigtail_A6_Color	Волосы Хвостик 11
Card	Обеспечить регресс
FacialHair_A8_Color	Волосы на лице A 8
CapeBack2_Outline	Мыс Назад | Контур мыса 2
CapeFront6_Color	Мыс Фронт 6
PonytailB2_Gradient	Волосы 14
Megaphone	Мегафон
Glasses_Frame1	Очки 1
Pigtail_B1_Outline	Волосы Хвостик Контур 17 + 18
Eye1_Dollar	Глаз Доллар 1 + 2
FaceFeatureA1	Черта лица A 1
Eye1_Heart	Глаз Сердце 1 + 2
Collar2_Color	Воротник одежды 2
Pigtail_A6_Gradient	Волосы Хвостик 12
FrameHair_B3_Gradient	Прядь волос 28
FrameHair_B3_Color	Прядь волос 27
FrameHair_TopBack_Outline	Прядь волос top Контур 2
Horn5_Color	Рог 5
Fork	Слюни (Вилка и нож) 1
SteeringWheel	Руль
Hairband1_Color	Банты А 1
HatB3_Outline	Шляпа Контур 5
FrameHair_A4_Color	Прядь волос 7
NeckwearB3_Color	Галстук B 3
HammerEffect1	Молоток 1
HairHighlight6_Color	Торчащий волос >< 5 + 6
Pigtail_B2_Outline	Волосы Хвостик Контур 19 + 20
WingF1_Upper_Outline	Крылья Контур 9 .1
Pigtail_A2_Gradient	Волосы Хвостик 4
RedPacketCoin3	Конверт 2
FrameHair_A9_Gradient	Прядь волос 18
TrashBin	мусорное ведро 1
FacialHair_A2_Outline	Волосы на лице A Контур 2
Tongue1	Лизь языком | Язык
HairShine4_Color	Волосы Сияние 7 + 8
Toilet	Туалет
FrameHair_A5_Gradient	Прядь волос 10
CapeFront6_Outline	Мыс Фронт | Контур мыса 6
FrameHair_A5_Color	Прядь волос 9
CapeBack2_Color	Мыс Назад 2
SunGlasses_Lens	Солнцезащитные очки Lens
FrameHair_A9_Outline	Прядь волос Контур 17 + 18
Main8_Outline	Плечевая одежда Контур 8
Pigtail_A4_Color	Волосы Хвостик 7
KeyboardKeyB	Печатание нормальное 2
Tie3_Color	Галстук C 3
Nose2	Нос 2
FacialHair_A5_Color	Волосы на лице A 5
AlertCustom_Color	Стикер Оповещение 2
AlertCustom_Outline	Стикер Уведомление Контур 2
SideHair_Branch_A2_Outline	Боковая прядь волос A Контур 2
Horn1_Color	Рог 1
Outer3_Outline	Верхняя одежда Контур 3
SideHair_Branch_B1_Outline	Боковая прядь волос B Контур 1
ElfEar_Outline	Ухо Контур 1.1
Outer4_Color	Верхняя одежда 4
Outer3_Color	Верхняя одежда 3
HairHighlight5_Outline	Торчащий волос >< Контур 3 +4
SideHair_Branch_C1_Outline	Боковая прядь волос C Контур 1
Stylus	Stylus
Tear2_Outline	Глаз слеза 3
Donut1	Пончик 1
Donut2	Пончик 2
SideHair_Branch_A1_Outline	Боковая прядь волос A Контур 1
Eye1_Light	Глаза Радужка Светлая 1 + 2
Angry2	Стикер Злой 2
WingF1_Upper_Color	Крылья 9 .1
NeckwearB2_Color	Галстук B 1 + 2
SideHair_Branch_A1_Color	Боковая прядь волос A 1
SignRoundText1	Круглый знак Текст
Collar2_Outline	Воротник Контур 2
MusicalNote2	Музыкальная нота 2
FacialHair_B4_Color	Волосы на лице B 4
Mecha2_Color	Меха 2
Six	Номер шесть
PointHand	Указывающая рука
HairClip8_Color	Заколка 8
FaceFeatureB1	Черта лица B 1
Pigtail_B2_Gradient	Волосы Хвостик 20
Main8_Color	Плечевая одежда 8
Tear2_Color	Глаз слеза 2
Eye3_Dark	Глаза Радужка Темная 3
Outer4_Outline	Верхняя одежда Контур 4
Glasses_Lens1	Очки Lens 1
WingA3_Outline	Крылья Контур 3
Ahoge_B2_Color	Волосы Ахоге 6
CapeFront1_Outline	Мыс Фронт | Контур мыса 1
Cake	Торт
WingD1_Color	Крылья 6
Pigtail_B1_Gradient	Волосы Хвостик 18
Outer7_Color	Верхняя одежда 7
Ahoge_B1_Outline	Волосы Ахоге Контур 5
HornM1_Outline	Рога спереди >< Контур 1
HornF2_Color	Рога спереди 2
CapeFront4_Color	Мыс Фронт 4
FrameHair_Branch_A3_Color	Прядь волос 3
Main2_Outline	Плечевая одежда Контур 2
Wing1_Outline	Крыло-ухо Контур 1
WingD2_Upper_Outline	Крылья Контур 7 .1
Mecha4_Color	Меха 4
Horn1_Outline	Рог Контур 1
WingA2_Color	Крылья 2
EasterEggBasket	Пасха 4
Mecha4_Outline	Меха Контур 4
Antenna2_Color	Антенна 2
Mecha1_Color	Меха 1
Ahoge_A3_Outline	Волосы Ахоге Контур 3
Main1_Outline	Плечевая одежда Контур 1
Horn2_Color	Рог 2
HairBang4_Middle_Gradient	Челка >< 8
CapeFront3_Color	Мыс Фронт 3
Notepad	Блокнот
Outer5_Color	Верхняя одежда 5
WingA3_Color	Крылья 3
WingB1_Color	Крылья 4
Pistol	Пистолет
Horn7_Color	Рог 7
Bottle	Кокс-коктейль
Outer6_Color	Верхняя одежда 6
Laugh2	Стикер Смех 2
FrameHair_B1_Gradient	Прядь волос 24
Outer5_Outline	Верхняя одежда Контур 5
FrameHair_Top_Outline	Прядь волос top Контур
WingG1_Inner_Color	Крылья 10 .2
HairBang5_Middle_Outline	Челка >< Контур 9 + 10
Beer	Ваше здоровье
HairBang4_Middle_Color	Челка >< 7
TailE1_Outline	Хвост Контур 12
TailC2_Color	Хвост 9
HornF2_Outline	Рог Контур 9
HairBang2_Middle_Outline	Челка >< Контур 3 + 4
Ahoge_B2_Outline	Волосы Ахоге Контур 6
Bell	Колокольчик 2
FrameHair_Branch_A3_Outline	Прядь волос Контур 3
FrameHair_A3_Color	Прядь волос 5
FrameHair_A3_Gradient	Прядь волос 6
Horn2_Outline	Рог Контур 2
Outer6_Outline	Верхняя одежда Контур 6
WingD2_Upper_Color	Крылья 7 .1
Antenna2_Outline	Антенна Контур 2
