SpriteName	Sk
FaceFeatureA3	Funkcia tváre A 3
AnimalEar4_Outline	Ucho zvieraťa Obrys 4
SideHairB8_Gradient	Vlasová strana 32
PonytailA4_Outline	Obrys chvosta vlasov 7 + 8
HatD1_Outline	Obrys klobúka 8
GasBottle	Plynová fľaša
SideHairA2_Outline	Vlasová strana Obrys 3 + 4
SideHairB5_Outline	Vlasová strana Obrys 25 + 26
FacialHair_A4_Color	Vlasy na tvári A 4
EarringA2_Color	Náušnica 2
Eye3_Light	Svetlo očnej dúhovky 3
AnimalEar1_Back_Outline	Ucho zvieraťa Obrys 1 .1
CapeFront5_Outline	Predná časť mysu | Obrys mysu 5
SideHairB8_Color	Vlasová strana 31
HairShine6_Color	Lesk vlasov 11 + 12
Hairband5_Outline	Čelenka do vlasov B Obrys 3
CapeBack1_Outline	Zadná časť mysu | Obrys mysu 1
Halo3_Color	Svätožiara 3
Eye3_Eyelash	Mihalnice 3
Leg	Noha 1
Thumb_Color	Ruka 1 .3
HairShine2_Color	Lesk vlasov 3 + 4
Hairband1_Outline	Čelenka do vlasov A Obrys 1
Brow7	Obočie 7
Palmar_Line1	Ruka 1 .4
PiercingA3_Color	Piercing 3
Pigtail_A7_Color	Vlasový vrkoč 13
SideHairA3_Gradient	Vlasová strana 6
SideHairA8_Outline	Vlasová strana Obrys 15 + 16
PonytailA3_Outline	Obrys chvosta vlasov 5 + 6
TailF2_Outline	Obrys chvosta 16
Ear_Outline	Ucho Obrys 1
HairClip11_Color	Spona do vlasov 11
TailC1_Outline	Obrys chvosta 8
Cheek3	Líca 3
Eye_Popcat_Light	Dum 3 | Oko | Popcat
CandleFire	Oheň sviečky
PiercingA4_Outline	Piercing Obrys 4
NeckwearA2_Color	Oblečenie na krk A 2
little_Color	Ruka 1 .5
PiercingA1_Color	Piercing 1
PhoneLight	Svetlo telefónu
ShakeLine1	Vystrašený 1
Eye2_Upperlid	Mihalnice 2 .1
NeckwearA3_Color	Oblečenie na krk A 3
Brow9	Obočie 9
EarringA1_Outline	Náušnica Obrys 1
TailA2_Outline	Obrys chvosta 2
Drooling	Slintanie
PiercingA4_Color	Piercing 4
PonytailA3_Color	Vlasový chvost 5
PonytailA2_Gradient	Vlasový chvost 4
AnimalEar7_Outline	Ucho zvieraťa Obrys 7
Brow6	Obočie 6
PopperConfetti2	Konfety 2
Swatter	Splácačka
Fin1_Outline	Plutva Obrys
HairShine3_Color	Lesk vlasov 5 + 6
TailB1_Color	Chvost 3
HammerEffect2	Kladivo 2
Mecha1_Outline	Mecha Obrys 1
Pigtail_A4_Outline	Vlasový vrkoč Obrys 7 + 8
HatC1_Outline	Obrys klobúka 6 + 7
Pigtail_B1_Color	Vlasový vrkoč 17
Flash	Blesk z pištole
Brow4	Obočie 4
CortisolMeterPointer	Tanec (nízky kortizol) 1
Hand_Line1	Ruka 1 .6
RedPacketCoin4	Červený paket 4
Cheek4	Líca 4
FaceFeatureB3	Funkcia tváre B 3
Brow2	Obočie 2
StickyNote	lepiacej poznámky
Loading_Outline	Načítava sa nálepka 2
Collar6_Outline	Obrys goliera oblečenia 6 + 7
CapeBack3_Color	Zadná časť mysu 3
SideHairB6_Outline	Vlasová strana Obrys 27 + 28
PonytailA1_Outline	Obrys chvosta vlasov 1 + 2
PonytailA2_Color	Vlasový chvost 3
SideHairA2_Color	Vlasová strana 3
GiftBoxLid	Darček 2
Collar4_Color	Vnútorný golier oblečenia 4
WingE1_Upper_Color	Krídlo 8 .1
WingA1_Color	Krídlo 1
FrameHair_B4_Outline	Rámovanie vlasov Obrys 29 + 30
FrameHair_Branch_A1_Color	Vlasová vetva 1
SideHairA7_Gradient	Vlasová strana 14
Wing2_Color	Krídlo do ucha 2
TailA1_Color	Chvost 1
Eye3_Heart	Oko Srdce 3
FrameHair_A8_Outline	Rámovanie vlasov Obrys 15 + 16
DrawingTablet	Tablet
FaceFeatureA2	Funkcia tváre A 2
PiercingA2_Color	Piercing 2
Eye_Popcat_Highlight	Popcat | Zvýraznenie očí
Hairband3_Outline	Čelenka do vlasov B Obrys 1
NeckwearB6_Color	Oblečenie na krk B 6
Mouth_Popcat1	Popcat | Ústa 1
Rose	Ruža
HairbandBack2_Outline	Čelenka do vlasov D Obrys 2
Mecha2_Outline	Mecha Obrys 2
SideHairA8_Gradient	Vlasová strana 16
NeckwearB7_Color	Oblečenie na krk B 7
Donut3	Šiška 3
NeckwearB5_Outline	Oblečenie na krk B Obrys 5
StickyNoteText	Text lepiacej poznámky
SideHairA6_Gradient	Vlasová strana 12
PonytailA4_Gradient	Vlasový chvost 8
Ahoge_A4_Color	Vlasy Ahoge 4
Gill2_Color	Gill 1 .2
FacialHair_A7_Outline	Vlasy na tvári A Obrys 7
HatC1_Color	Klobúk 6 + 7
SideHairA5_Color	Vlasová strana 9
LightStickHandle	Rukoväť svetelnej tyčinky
Eye1_Spiral	Očná špirála 1 + 2
EasterEgg2	Veľká noc 2
EasterEgg1	Veľká noc 1
HairClip5_Outline	Spona do vlasov Obrys 5
SideHairA8_Color	Vlasová strana 15
HairHighlight2_Outline	Zvýraznenie vlasov Obrys 2 << + 2 >>
Ahoge_A2_Color	Vlasy Ahoge 2
SideHairB7_Outline	Vlasová strana Obrys 29 + 30
AlertBits_Outline	Obrys upozornenia na nálepku 6
SunGlasses_Frame	Slnečné okuliare
PonytailA4_Color	Vlasový chvost 7
HairHighlight2_Color	Zvýraznenie vlasov 2 << + 2 >>
SideHairA5_Gradient	Vlasová strana 10
SideHairA6_Color	Vlasová strana 11
HairbandBack2_Color	Čelenka do vlasov D 2
NeckwearB1_Outline	Oblečenie na krk B Obrys 2
HairClip3_Outline	Spona do vlasov Obrys 3
Bill2	Bankovka 2
Volume	Hlasitosť nálepky
FrameHair_A1_Color	Rámovanie vlasov 1 
FrameHair_A2_Gradient	Rámovanie vlasov 2
Pigtail_C2_Color	Vlasový vrkoč 23
Pigtail_C2_Gradient	Vlasový vrkoč 24
WingF1_Lower_Outline	Krídlo Obrys 9 .2
Glasses_Frame3	Okuliare 3
WingA2_Outline	Krídlo Obrys 2
PalmarGlove1_Outline	Ruka 2 .1
Eye1_Sparkling	Šumivé oči 1
SideHairB2_Color	Vlasová strana 19
SideHairB2_Gradient	Vlasová strana 20
SideHairA1_Outline	Vlasová strana Obrys 1 + 2
EarringA3_Color	Náušnica 3
EarringA4_Color	Náušnica 4
TailF_Outline	Obrys chvosta 15 + 16 + 17 + 18 + 24 + 25
Halo2_Outline	Svätožiara obrys 2
HairBang4_Side_Outline	Účesová ofina Obrys 7 + 8
TailD1_Outline	Obrys chvosta 11
Pigtail_A8_Outline	Vlasový vrkoč Obrys 15 + 16
HairBang4_Middle_Outline	Účesová ofina >< Obrys 4
SideHairB2_Outline	Vlasová strana Obrys 19 + 20
ShakeLine2	Vystrašený 2
EarringB2_Color	Náušnica 7
TailA2_Color	Chvost 2
TailF_Color	Chvost 15 + 16 + 17 + 18 + 24 + 25
SideHairB6_Color	Vlasová strana 27
Controller	Ovládač
HairBang3_Middle_Gradient	Účesová ofina >< 6
HairBang3_Middle_Color	Účesová ofina >< 5
Horn4_Color	Klaksón 4
HatD1_Color	Klobúk 8
PonytailA1_Gradient	Vlasový chvost 2
SideHairB4_Outline	Vlasová strana Obrys 23 + 24
SideHairB6_Gradient	Vlasová strana 28
EarringA4_Outline	Náušnica Obrys 4
PopperConfetti1	Konfety 1
Collar1_Outline	Obrys goliera oblečenia 1
FacialHair_B5_Outline	Vlasy na tvári B Obrys 5
EarringA2_Outline	Náušnica Obrys 2
TailF4_Outline	Obrys chvosta 18
LightStickLight	Svetelná tyč
HatA1_Outline	Obrys klobúka 1 + 2
SideHairB1_Outline	Vlasová strana Obrys 17 + 18
HairClip3_Color	Spona do vlasov 3
NeckwearA4_Color	Oblečenie na krk A 4
NeckwearA5_Color	Oblečenie na krk A 5
WingC1_Lower_Outline	Krídlo Obrys 5 .2
FrameHair_A2_Outline	Rámovanie vlasov Obrys 3 + 4
HatB1_Outline	Obrys klobúka 3
MagicWand	Mágia
HairBang2_Middle_Color	Účesová ofina >< 3
HairBang2_Middle_Gradient	Účesová ofina >< 4
Hairband5_Color	Čelenka do vlasov B 3
TailE2_Outline	Obrys chvosta 13
Brow5	Obočie 5
Tie1_Color	Oblečenie na krk C 1
WingF1_Lower_Color	Krídlo 9 .2
FrameHair_A4_Outline	Rámovanie vlasov Obrys 7 + 8
PryBar	Páčidlo
FacialHair_A2_Color	Vlasy na tvári A 2
Outer2_Color	Mimo outfitu 2
Tie3_Outline	Oblečenie na krk C Obrys 3
TailB4_Outline	Obrys chvosta 6
HairShine3_Outline	Obrys lesku vlasov 6
AlertHeart_Color	Upozornenie na nálepky 1
WingD2_Lower_Outline	Krídlo Obrys 7 .2
SideHairA1_Color	Vlasová strana 1
HatA1_Color	Klobúk 1 + 2
SideHairB3_Color	Vlasová strana 21
FrameHair_A11_Gradient	Rámovanie vlasov 22
FrameHair_A11_Color	Rámovanie vlasov 21
SideHairB4_Gradient	Vlasová strana 24
SideHairA4_Outline	Vlasová strana Obrys 7 + 8
SideHairA1_Gradient	Vlasová strana 2
CapeFront2_Color	Predná časť mysu 2
CapeFront5_Color	Predná časť mysu 5
CapeFront2_Outline	Predná časť mysu | Obrys mysu 2
SideHairB3_Outline	Vlasová strana Obrys 21 + 22
SideHairB4_Color	Vlasová strana 23
SideHairB5_Gradient	Vlasová strana 26
TailB5_Color	Chvost 7
WingC1_Upper_Outline	Krídlo Obrys 5 .1
Mecha3_Outline	Mecha Obrys 3
HairHighlight1_Color	Zvýraznenie vlasov 1 << + 1 >> 
LoveLetter	Milostný list
Hairband6_Outline	Čelenka do vlasov B Obrys 4
MusicalNote1	Hudobná nota 1
PiercingA2_Outline	Piercing Obrys 2
StrawLiquid_Outline	Nápojový pohár 2
Eyepatch2_Color	Páska na oči 3 + 4
AnimalEar2_Front_Outline	Ucho zvieraťa Obrys 2
AnimalEar1_Fur_Color	Zvieracie ucho Kožušina 1
EarringB3_Color	Náušnica 8
Pigtail_A7_Gradient	Vlasový vrkoč 14
AnimalEar5_Color	Zvieracie ucho 5
EarringB4_Color	Náušnica 4
HairClip2_Color	Spona do vlasov 2
Glasses_Lens2	Okuliare Lens 2
HairBang6_Side_Gradient	Účesová ofina 12
HairBang3_Middle_Outline	Účesová ofina >< Obrys 5 + 6
AnimalEar9_Outline	Ucho zvieraťa Obrys 9
HatB3_Color	Klobúk 5
PiercingA1_Outline	Piercing Obrys 1
Brow8	Obočie 8
HairClip1_Outline	Spona do vlasov Obrys 1
Eyepatch1_Color	Páska na oči 1 + 2
NeckwearA1_Color	Oblečenie na krk A 1
Eye1_Eyelash	Mihalnice 1 + 2
ShakeLine3	Vystrašený 3
WingE1_Upper_Outline	Krídlo Obrys 8 .1
PopperConfetti3	Konfety 3
Star	Nálepka Hviezda
HairBang1_Middle_Outline	Účesová ofina >< Obrys 1 + 2
SideHairA4_Gradient	Vlasová strana 8
PiercingA3_Outline	Piercing Obrys 3
FaceFeatureB4	Funkcia tváre B 4
EarringA3_Outline	Náušnica Obrys 3
TailF4_Color	Chvost 18
AnimalEar2_Fur_Color	Zvieracie ucho Kožušina 2
AnimalEar3_Outline	Ucho zvieraťa Obrys 3
Straw	Nápojový pohár 4
AnimalEar8_Outline	Ucho zvieraťa Obrys 8
AnimalEar6_Color	Zvieracie ucho 6
TailF3_Color	Chvost 17
EarringB5_Outline	Náušnica Obrys 10
HairClip12_Color	Spona do vlasov 12
Collar6_Color	Vnútorný golier oblečenia 6 + 7
AnimalEar6_Outline	Ucho zvieraťa Obrys 6
AnimalEar3_Color	Zvieracie ucho 3
Brow3	Obočie 3
Glasses_Lens3	Okuliare Lens 3
EarringB5_Color	Náušnica 10
LaptopLight2	Svetlo notebooku 2
PhoneScreenPattern1	Obrazovka telefónu 1
TailF2_Color	Chvost 16
LaptopLight1	Svetlo notebooku 1
AnimalEar7_Color	Zvieracie ucho 7
AnimalEar9_Color	Zvieracie ucho 9
HairBang7_Middle_Outline	Účesová ofina >< Obrys 13 + 14
Hairband6_Color	Čelenka do vlasov B 4
AnimalEar2_Back_Outline	Ucho zvieraťa Obrys 2 .1
HairClip1_Color	Spona do vlasov 1
EarringB2_Outline	Náušnica Obrys 7
Middle_Color	Ruka 1 .7
AnimalEar5_Outline	Ucho zvieraťa Obrys 5
Hairband2_Color	Čelenka do vlasov A 2
AnimalEar1_Front_Color	Zvieracie ucho 1
Chopstick	Palička
AnimalEar2_Front_Color	Zvieracie ucho 2
EarringB3_Outline	Náušnica Obrys 8
TailF1_Color	Chvost 15
AnimalEar4_Color	Zvieracie ucho 4
HairBang4_Side_Color	Účesová ofina 7
SideHairB7_Gradient	Vlasová strana 30
SideHairB1_Color	Vlasová strana 17
FacialHair_A7_Color	Vlasy na tvári A 7
HairClip4_Outline	Spona do vlasov Obrys 4
EarringB1_Outline	Náušnica Obrys 6
Index_Color	Ruka 1 .8
PiercingA5_Outline	Piercing Obrys 5
TailF1_Outline	Obrys chvosta 15
AnimalEar1_Fur_Outline	Ucho zvieraťa Obrys kožušiny 1
TailE3_Color	Chvost 14
AnimalEar1_Back_Color	Zvieracie ucho 1 .1
AnimalEar2_Fur_Outline	Ucho zvieraťa Obrys kožušiny 2
CupSteam	Pohár Para
AnimalEar2_Back_Color	Zvieracie ucho 2 .1
AnimalEar8_Color	Zvieracie ucho 8
EarringB4_Outline	Náušnica Obrys 9
FacialHair_A8_Outline	Vlasy na tvári A Obrys 8
SideHairB7_Color	Vlasová strana 29
SideHairA4_Color	Vlasová strana 7
SideHairB1_Gradient	Vlasová strana 18
BackHair3_Color	Vlasy vzadu 5
Pigtail_A5_Color	Vlasový vrkoč 9
Pigtail_A5_Gradient	Vlasový vrkoč 10
Pigtail_A2_Outline	Vlasový vrkoč Obrys 3 + 4
HairShine6_Outline	Obrys lesku vlasov 12
Antenna1_Outline	Anténa Obrys 1
AlertLike_Outline	Obrys upozornenia na nálepku 4
FacialHair_A5_Outline	Vlasy na tvári A Obrys 5
Horn5_Outline	Klaksón Obrys 5
FrameHair_A8_Color	Rámovanie vlasov 15
FrameHair_A8_Gradient	Rámovanie vlasov 16
FrameHair_Top_Color	Rámovanie vlasov top
HairBang5_Middle_Color	Účesová ofina >< 9
HairShine1_Outline	Obrys lesku vlasov 2
WingG1_Inner_Outline	Krídlo Obrys 10 .2
VideoCamera	Videokamera
FrameHair_A7_Gradient	Rámovanie vlasov 14
FrameHair_A7_Color	Rámovanie vlasov 13
Index_Outline	Ruka 1 .9
Mouth	Ústa
TailC3_Outline	Obrys chvosta 10
Wing2_Outline	Krídlo do ucha Obrys 2
Wing1_Color	Krídlo do ucha Obrys 1
WingC1_Upper_Color	Krídlo Obrys 5 .1
Main7_Color	Vnútorný oblečenia 7
HairHighlight3_Color	Zvýraznenie vlasov 3 << + 3 >>
HairHighlight4_Outline	Zvýraznenie vlasov >< Obrys 1 + 2
ErrorPopup	Prestane pracovať
TrashBinLid	Odpadkový kôš 2
BackHair1_Outline	Zadný obrys vlasov 1 + 2
BackHair2_Outline	Zadný obrys vlasov 3 + 4
Horn6_Color	Klaksón 6
HairBang7_Middle_Color	Účesová ofina >< 13
little_Outline	Ruka 1 .10
HornF1_Outline	Predný roh Obrys 1
TailC2_Outline	Obrys chvosta 9
Outer2_Outline	Mimo outfitu Obrys 2
BackHair3_Outline	Zadný obrys vlasov 5 + 6
Tongue_Shadow	Tieň v jazyku
Blush	Lícenka na tvár
FacialHair_B5_Color	Vlasy na tvári B 5 
Knife	Slintanie (vidlička a nôž) 2
HairBang3_Side_Outline	Účesová ofina Obrys 5 + 6
HairBang5_Side_Outline	Účesová ofina Obrys 9 + 10
Horn7_Outline	Klaksón Obrys 7
PopcornBucket	Jesť (popcorn) 1
Pigtail_A3_Outline	Vlasový vrkoč Obrys 5 + 6
Collar7_Color	Vnútorný golier oblečenia 8
Hairband3_Color	Čelenka do vlasov B 1
Hammer	Kladivo
TailE3_Outline	Obrys chvosta 14
HairBang6_Side_Outline	Účesová ofina Obrys 11 + 12
HairBang2_Side_Outline	Účesová ofina Obrys 3 + 4
HairShine7_Outline	Obrys lesku vlasov 14
EyepatchBandage_Color	Páska na oči 5 + 6
EyepatchBandage_Outline	Obrys pásky na oči 5 + 6
HairbandBack1_Color	Čelenka do vlasov D 1
Hairband4_Outline	Čelenka do vlasov B Obrys 2
KeyboardKeyA	Typ Normálny 1
Thumb_Outline	Ruka 1 .11
FacialHair_B3_Color	Vlasy na tvári B 3
Hairband2_Outline	Čelenka do vlasov A Obrys 2
HairbandBack1_Outline	Čelenka do vlasov D Obrys 1
TailB3_Color	Chvost 5
FrameHair_A7_Outline	Rámovanie vlasov Obrys 13 + 14
FrameHair_A10_Color	Rámovanie vlasov 19
FrameHair_A10_Gradient	Rámovanie vlasov 20
FrameHair_A11_Outline	Rámovanie vlasov Obrys 21 + 22
FrameHair_A9_Color	Rámovanie vlasov 17
FacialHair_A3_Color	Vlasy na tvári A 3
BackHair1_Color	Vlasy vzadu 1
Laptop	Notebooku
SignRound	Okrúhly znak
HairBang1_Side_Color	Účesová ofina 1
HairBang4_Side_Gradient	Účesová ofina 8
HairBang5_Side_Color	Účesová ofina 9
BackHair2_Color	Vlasy vzadu 3
Pigtail_A6_Outline	Vlasový vrkoč Obrys 11 + 12
Pigtail_A7_Outline	Vlasový vrkoč Obrys 13 + 14
Watermelon	Jesť (vodný melón)
Cheek2	Líca 2
HairClip6_Color	Spona do vlasov 6
Spoon	Prísť (s lyžičkou)
Tape	páska
HatB2_Outline	Obrys klobúka 4
HairShine2_Outline	Obrys lesku vlasov 4
HairBang1_Side_Gradient	Účesová ofina 2
HairBang2_Side_Color	Účesová ofina 3
HairBang5_Side_Gradient	Účesová ofina 10
BackHair2_Gradient	Vlasy vzadu 4
FrameHair_B3_Outline	Rámovanie vlasov Obrys 28
FaceFeatureC1	Funkcia tváre C 1
Pigtail_A8_Color	Vlasový vrkoč 15
NeckwearB4_Color	Oblečenie na krk B 4
WingE1_Lower_Color	Krídlo 8 .3
PhoneScreen	Obrazovka telefónu 3
AngrySteam	Nálepka Para
Outer1_Color	Mimo outfitu 1
SideHair_Branch_C2_Outline	Bočná vetva vlasov C Obrys 2
Hairband4_Color	Čelenka do vlasov B 2
Pigtail_A3_Color	Vlasový vrkoč 5
BackHair3_Gradient	Vlasy vzadu 6
HairBang2_Side_Gradient	Účesová ofina 4
PixelSunglasses	Slnečné okuliare Pixel
HatB1_Color	Klobúk 3
FacialHair_B3_Outline	Vlasy na tvári B Obrys 3
CapeBack1_Color	Zadná časť mysu 1
HairShine1_Color	Lesk vlasov 1 + 2
Palmar_Color	Ruka 1 .12
Ahoge_B1_Color	Vlasy Ahoge 5
HatA2_Outline	Obrys klobúka 2
Pigtail_A5_Outline	Vlasový vrkoč Obrys 9 + 10
Pigtail_A3_Gradient	Vlasový vrkoč 6
HairBang3_Side_Color	Účesová ofina 5
HairBang3_Side_Gradient	Účesová ofina 6
HairShine4_Outline	Obrys lesku vlasov 8
BackHair1_Gradient	Vlasy vzadu 2
SignSquare	Štvorcový znak
Horn4_Outline	Klaksón 4
PonytailB1_Gradient	Vlasový chvost 12
PonytailB1_Color	Vlasový chvost 11
FrameHair_A1_Outline	Rámovanie vlasov Obrys 1 + 2
Collar7_Outline	Obrys goliera oblečenia 8
NeckwearA3_Outline	Oblečenie na krk A Obrys 3
NeckwearA2_Outline	Oblečenie na krk A Obrys 2
TailA1_Outline	Obrys chvosta 1
Horn3_Outline	Klaksón Obrys 3
Pigtail_A8_Gradient	Vlasový vrkoč 16
SunglassesReflection	Reflexné slnečné okuliare
NeckwearA6_Color	Oblečenie na krk A 6
Tie2_Outline	Oblečenie na krk C Obrys 2
Halo4_Color	Svätožiara 5 + 6
FrameHair_A6_Color	Rámovanie vlasov 11
Middle_Outline	Ruka 1 .13
RedPacketCoin2	Červený paket 3
NeckwearB5_Color	Oblečenie na krk B 5
Eye1_HighlightCry	Oko 1 | Plač
Collar3_Color	Vnútorný golier oblečenia 3
TailC3_Color	Chvost 10
ElfEar_Color	Ucho 1.1
Surprise	Nálepka Prekvapenie
Gill3_Outline	Obrys Gill 1 .3
Pigtail_A4_Gradient	Vlasový vrkoč 8
Pigtail_A1_Color	Vlasový vrkoč 1
Eye_U	Spánok (UU)
Cockroach	Šváb
Halo3_Outline	Svätožiara obrys 3
Wing3_Outline	Krídlo do ucha Obrys 3
Halo4_Outline	Svätožiara obrys 5 + 6
Wing3_Color	Krídlo do ucha 3
WingD1_Outline	Krídlo Obrys 6
FacialHair_A1_Color	Vlasy na tvári A 1
Ghost	Nálepka Duch
Hairband7_Outline	Čelenka do vlasov C Obrys 1
Horn6_Outline	Klaksón Obrys 6
HairHighlight3_Outline	Zvýraznenie vlasov Obrys 3 << + 3 >>
Glasses_Frame2	Okuliare 2
NeckwearA4_Outline	Oblečenie na krk A Obrys 4
Ear_Color	Ucho 1
HatB2_Color	Klobúk 4
FacialHair_A4_Outline	Vlasy na tvári A Obrys 4
PonytailB1_Outline	Obrys chvosta vlasov 11 + 12
Collar1_Color	Vnútorný golier oblečenia 1
CapeBack3_Outline	Zadná časť mysu | Obrys mysu 3
Pigtail_A1_Outline	Vlasový vrkoč Obrys 1 + 2
Tie2_Color	Oblečenie na krk C 2
TailE1_Color	Chvost 12
PatHand	Potľapkať Ruka
Main6_Outline	Vnútorný obrys oblečenia 6
Pigtail_A6_Color	Vlasový vrkoč 11
Card	Obrátené
FacialHair_A8_Color	Vlasy na tvári A 8
CapeBack2_Outline	Zadná časť mysu | Obrys mysu 2
CapeFront6_Color	Predná časť mysu 6
PonytailB2_Gradient	Vlasový chvost 14
Megaphone	Megafón
Glasses_Frame1	Okuliare 1
Pigtail_B1_Outline	Vlasový vrkoč Obrys 17 + 18
Eye1_Dollar	Očný dolár 1 + 2
FaceFeatureA1	Funkcia tváre A 1
Eye1_Heart	Oko Srdce 1 + 2
Collar2_Color	Vnútorný golier oblečenia 2
Pigtail_A6_Gradient	Vlasový vrkoč 12
FrameHair_B3_Gradient	Rámovanie vlasov 28
FrameHair_B3_Color	Rámovanie vlasov 27
FrameHair_TopBack_Outline	Rámovanie vlasov top Obrys 2
Horn5_Color	Klaksón 5
Fork	Slintanie (vidlička a nôž) 1
SteeringWheel	Volant
Hairband1_Color	Čelenka do vlasov A 1
HatB3_Outline	Obrys klobúka 5
FrameHair_A4_Color	Rámovanie vlasov 7
NeckwearB3_Color	Oblečenie na krk B 3
HammerEffect1	Kladivo 1
HairHighlight6_Color	Zvýraznenie vlasov >< 5 + 6
Pigtail_B2_Outline	Vlasový vrkoč Obrys 19 + 20
WingF1_Upper_Outline	Krídlo Obrys 9 .1
Pigtail_A2_Gradient	Vlasový vrkoč 4
RedPacketCoin3	Červený paket 2
FrameHair_A9_Gradient	Rámovanie vlasov 18
TrashBin	Odpadkový kôš 1
FacialHair_A2_Outline	Vlasy na tvári A Obrys 2
Tongue1	Lízať | Jazyk
HairShine4_Color	Lesk vlasov 7 + 8
Toilet	Toaleta
FrameHair_A5_Gradient	Rámovanie vlasov 10
CapeFront6_Outline	Predná časť mysu | Obrys mysu 6
FrameHair_A5_Color	Rámovanie vlasov 9
CapeBack2_Color	Zadná časť mysu 2
SunGlasses_Lens	Slnečné okuliare Lens
FrameHair_A9_Outline	Rámovanie vlasov Obrys 17 + 18
Main8_Outline	Vnútorný obrys oblečenia 8
Pigtail_A4_Color	Vlasový vrkoč 7
KeyboardKeyB	Typ Normálny 2
Tie3_Color	Oblečenie na krk C 3
Nose2	Nos 2
FacialHair_A5_Color	Vlasy na tvári A 5
AlertCustom_Color	Upozornenie na nálepky 2
AlertCustom_Outline	Obrys upozornenia na nálepku 2
SideHair_Branch_A2_Outline	Bočná vetva vlasov A Obrys 2
Horn1_Color	Klaksón 1
Outer3_Outline	Mimo outfitu Obrys 3
SideHair_Branch_B1_Outline	Bočná vetva vlasov B Obrys 1
ElfEar_Outline	Ucho Obrys 1.1
Outer4_Color	Mimo outfitu 4
Outer3_Color	Mimo outfitu 3
HairHighlight5_Outline	Zvýraznenie vlasov >< Obrys 3 +4
SideHair_Branch_C1_Outline	Bočná vetva vlasov C Obrys 1
Stylus	Stylus
Tear2_Outline	Slza oka 3
Donut1	Šiška 1
Donut2	Šiška 2
SideHair_Branch_A1_Outline	Bočná vetva vlasov A Obrys 1
Eye1_Light	Svetlo očnej dúhovky 1 + 2
Angry2	Nálepka Nahnevaný 2
WingF1_Upper_Color	Krídlo 9 .1
NeckwearB2_Color	Oblečenie na krk B 1 + 2
SideHair_Branch_A1_Color	Bočná vetva vlasov A 1
SignRoundText1	Text okrúhleho znaku
Collar2_Outline	Obrys goliera oblečenia 2
MusicalNote2	Hudobná nota 2
FacialHair_B4_Color	Vlasy na tvári B 4
Mecha2_Color	Mecha 2
Six	Číslo šesť
PointHand	Ukázať ruku
HairClip8_Color	Spona do vlasov 8
FaceFeatureB1	Funkcia tváre B 1
Pigtail_B2_Gradient	Vlasový vrkoč 20
