SpriteName	It
HatD1_Color	Cappello 8
PonytailA1_Gradient	Coda di cavallo dei capelli 2
SideHairB4_Outline	Contorno laterale dei capelli 23 + 24
SideHairB6_Gradient	Lato dei capelli 28
EarringA4_Outline	Orecchino Contorno 4
PopperConfetti1	Coriandoli 1
Collar1_Outline	Contorno del colletto dell'abito 1
FacialHair_B5_Outline	Peli sul viso B Contorno 5
EarringA2_Outline	Orecchino Contorno 2
TailF4_Outline	Contorno della coda 18
LightStickLight	Bastone luminoso
HatA1_Outline	Profilo del cappello 1 + 2
SideHairB1_Outline	Contorno laterale dei capelli 17 + 18
HairClip3_Color	Fermaglio per capelli 3
NeckwearA4_Color	Completo cravatta A 4
NeckwearA5_Color	Completo cravatta A 5
WingC1_Lower_Outline	Ala Contorno 5 .2
FrameHair_A2_Outline	Inquadratura dei capelli Contorno 3 + 4
HatB1_Outline	Profilo del cappello 3
MagicWand	Magia
HairBang2_Middle_Color	Frangia ai capelli >< 3
HairBang2_Middle_Gradient	Frangia ai capelli >< 4
Hairband5_Color	Fascia per capelli B 3
TailE2_Outline	Contorno della coda 13
Brow5	Sopracciglia 5
Tie1_Color	Completo cravatta C 1
WingF1_Lower_Color	Ala 9 .2
FrameHair_A4_Outline	Inquadratura dei capelli Contorno 7 + 8
PryBar	Piede di porco
FacialHair_A2_Color	Peli sul viso A 2
Outer2_Color	Vestito esterno 2
Tie3_Outline	Completo cravatta C Contorno 3
TailB4_Outline	Contorno della coda 6
HairShine3_Outline	Contorno di lucentezza dei capelli 6
AlertHeart_Color	Avviso adesivo 1
WingD2_Lower_Outline	Ala Contorno 7 .2
SideHairA1_Color	Lato dei capelli 1
HatA1_Color	Cappello 1 + 2
SideHairB3_Color	Lato dei capelli 21
FrameHair_A11_Gradient	Inquadratura dei capelli 22
FrameHair_A11_Color	Inquadratura dei capelli 21
SideHairB4_Gradient	Lato dei capelli 24
SideHairA4_Outline	Contorno laterale dei capelli 7 + 8
SideHairA1_Gradient	Lato dei capelli 2
CapeFront2_Color	Capo anteriore 2
CapeFront5_Color	Capo anteriore 5
CapeFront2_Outline	Capo anteriore | Profilo del Capo 2
SideHairB3_Outline	Contorno laterale dei capelli 21 + 22
SideHairB4_Color	Lato dei capelli 23
SideHairB5_Gradient	Lato dei capelli 26
TailB5_Color	Coda 7
WingC1_Upper_Outline	Ala Contorno 5 .1
Mecha3_Outline	Mecha Contorno 3
HairHighlight1_Color	Capelli evidenziati 1 << + 1 >> 
LoveLetter	Lettera d'amore
Hairband6_Outline	(Fascia per capelli) Cerchietto B Contorno 4
MusicalNote1	Nota musicale 1
PiercingA2_Outline	Perforazione Contorno 2
StrawLiquid_Outline	Tazza per bevande 2
Eyepatch2_Color	Benda sull'occhio 3 + 4
AnimalEar2_Front_Outline	Orecchio di animale Contorno 2
AnimalEar1_Fur_Color	Orecchio di animale Pelliccia 1
EarringB3_Color	Orecchino 8
Pigtail_A7_Gradient	Codino di capelli 14
AnimalEar5_Color	Orecchio di animale 5
EarringB4_Color	Orecchino 4
HairClip2_Color	Fermaglio per capelli 2
Glasses_Lens2	Occhiali Lens 2
HairBang6_Side_Gradient	Frangia ai capelli 12
HairBang3_Middle_Outline	(Fascia per capelli) Cerchietto >< Contorno 5 + 6
AnimalEar9_Outline	Orecchio di animale Contorno 9
HatB3_Color	Cappello 5
PiercingA1_Outline	Perforazione Contorno 1
Brow8	Sopracciglia 8
HairClip1_Outline	Fermaglio per capelli Contorno 1
Eyepatch1_Color	Benda sull'occhio 1 + 2
NeckwearA1_Color	Completo cravatta A 1
Eye1_Eyelash	Ciglia 1 + 2
ShakeLine3	Spaventato 3
WingE1_Upper_Outline	Ala Contorno 8 .1
PopperConfetti3	Coriandoli 3
Star	Stella adesiva
HairBang1_Middle_Outline	(Fascia per capelli) Cerchietto >< Contorno 1 + 2
SideHairA4_Gradient	Lato dei capelli 8
PiercingA3_Outline	Perforazione Contorno 3
FaceFeatureB4	Caratteristica del viso B 4
EarringA3_Outline	Orecchino Contorno 3
TailF4_Color	Coda 18
AnimalEar2_Fur_Color	Orecchio di animale Pelliccia 2
AnimalEar3_Outline	Orecchio di animale Contorno 3
Straw	Tazza per bevande 4
AnimalEar8_Outline	Orecchio di animale Contorno 8
AnimalEar6_Color	Orecchio di animale 6
TailF3_Color	Coda 17
EarringB5_Outline	Orecchino Contorno 10
HairClip12_Color	Fermaglio per capelli 12
Collar6_Color	Colletto interno per outfit 6 + 7
AnimalEar6_Outline	Orecchio di animale Contorno 6
AnimalEar3_Color	Orecchio di animale 3
Brow3	Sopracciglia 3
Glasses_Lens3	Occhiali Lens 3
EarringB5_Color	Orecchino 10
LaptopLight2	Luce per laptop (Computer portatile) 2
PhoneScreenPattern1	Schermo del telefono 1
TailF2_Color	Coda 16
LaptopLight1	Luce per laptop (Computer portatile) 1
AnimalEar7_Color	Orecchio di animale 7
AnimalEar9_Color	Orecchio di animale 9
HairBang7_Middle_Outline	(Fascia per capelli) Cerchietto >< Contorno 13 + 14
Hairband6_Color	Fascia per capelli B 4
AnimalEar2_Back_Outline	Orecchio di animale Contorno 2 .1
HairClip1_Color	Fermaglio per capelli 1
EarringB2_Outline	Orecchino Contorno 7
Middle_Color	Mano 1 .7
AnimalEar5_Outline	Orecchio di animale Contorno 5
Hairband2_Color	Fascia per capelli A 2
AnimalEar1_Front_Color	Orecchio di animale 1
Chopstick	Bacchette
AnimalEar2_Front_Color	Orecchio di animale 2
EarringB3_Outline	Orecchino Contorno 8
TailF1_Color	Coda 15
AnimalEar4_Color	Orecchio di animale 4
HairBang4_Side_Color	Frangia ai capelli 7
SideHairB7_Gradient	Lato dei capelli 30
SideHairB1_Color	Lato dei capelli 17
FacialHair_A7_Color	Peli sul viso A 7
HairClip4_Outline	Fermaglio per capelli Contorno 4
EarringB1_Outline	Orecchino Contorno 6
Index_Color	Mano 1 .8
PiercingA5_Outline	Perforazione Contorno 5
TailF1_Outline	Contorno della coda 15
AnimalEar1_Fur_Outline	Orecchio di animale Contorno di pelliccia 1
TailE3_Color	Coda 14
AnimalEar1_Back_Color	Orecchio di animale 1 .1
AnimalEar2_Fur_Outline	Orecchio di animale Contorno di pelliccia 2
CupSteam	Vapore in tazza
AnimalEar2_Back_Color	Orecchio di animale 2 .1
AnimalEar8_Color	Orecchio di animale 8
EarringB4_Outline	Orecchino Contorno 9
FacialHair_A8_Outline	Peli sul viso A Contorno 8
SideHairB7_Color	Lato dei capelli 29
SideHairA4_Color	Lato dei capelli 7
SideHairB1_Gradient	Lato dei capelli 18
BackHair3_Color	Capelli posteriori 5
Pigtail_A5_Color	Codino di capelli 9
Pigtail_A5_Gradient	Codino di capelli 10
Pigtail_A2_Outline	Codino di capelli Contorno 3 + 4
HairShine6_Outline	Contorno di lucentezza dei capelli 12
Antenna1_Outline	Antenna Contorno 1
AlertLike_Outline	Contorno avviso adesivo 4
FacialHair_A5_Outline	Peli sul viso A Contorno 5
Horn5_Outline	Corno Contorno 5
FrameHair_A8_Color	Inquadratura dei capelli 15
FrameHair_A8_Gradient	Inquadratura dei capelli 16
FrameHair_Top_Color	Inquadratura dei capelli top
HairBang5_Middle_Color	Frangia ai capelli >< 9
HairShine1_Outline	Contorno di lucentezza dei capelli 2
WingG1_Inner_Outline	Ala Contorno 10 .2
VideoCamera	Videocamera
FrameHair_A7_Gradient	Inquadratura dei capelli 14
FrameHair_A7_Color	Inquadratura dei capelli 13
Index_Outline	Mano 1 .9
Mouth	Bocca
TailC3_Outline	Contorno della coda 10
Wing2_Outline	Ala dell'orecchio Contorno 2
Wing1_Color	Ala dell'orecchio Contorno 1
WingC1_Upper_Color	Ala Contorno 5 .1
Main7_Color	Abito interno 7
HairHighlight3_Color	Capelli evidenziati 3 << + 3 >>
HairHighlight4_Outline	Capelli evidenziati >< Contorno 1 + 2
ErrorPopup	Smette di funzionare
TrashBinLid	Cestino 2
BackHair1_Outline	Contorno posteriore dei capelli 1 + 2
BackHair2_Outline	Contorno posteriore dei capelli 3 + 4
Horn6_Color	Corno 6
HairBang7_Middle_Color	Frangia ai capelli >< 13
little_Outline	Mano 1 .10
HornF1_Outline	Corno anteriore Contorno 1
TailC2_Outline	Contorno della coda 9
Outer2_Outline	Contorno esterno del vestito 2
BackHair3_Outline	Contorno posteriore dei capelli 5 + 6
Tongue_Shadow	Ombra della lingua
Blush	Fard per il viso
FacialHair_B5_Color	Peli sul viso B 5 
Knife	Sbavando (forchetta e coltello) 2
HairBang3_Side_Outline	Frangia capelli Contorno 5 + 6
HairBang5_Side_Outline	Frangia capelli Contorno 9 + 10
Horn7_Outline	Corno Contorno 7
PopcornBucket	Mangiare (Popcorn) 1
Pigtail_A3_Outline	Codino di capelli Contorno 5 + 6
Collar7_Color	Colletto interno per outfit 8
Hairband3_Color	Fascia per capelli B 1
Hammer	Martello
TailE3_Outline	Contorno della coda 14
HairBang6_Side_Outline	Frangia capelli Contorno 11 + 12
HairBang2_Side_Outline	Frangia capelli Contorno 3 + 4
HairShine7_Outline	Contorno di lucentezza dei capelli 14
EyepatchBandage_Color	Benda sull'occhio 5 + 6
EyepatchBandage_Outline	Contorno della benda sull'occhio 5 + 6
HairbandBack1_Color	Fascia per capelli D 1
Hairband4_Outline	(Fascia per capelli) Cerchietto B Contorno 2
KeyboardKeyA	Digitare Normale 1
Thumb_Outline	Mano 1 .11
FacialHair_B3_Color	Peli sul viso B 3
Hairband2_Outline	(Fascia per capelli) Cerchietto A Contorno 2
HairbandBack1_Outline	(Fascia per capelli) Cerchietto D Contorno 1
TailB3_Color	Coda 5
FrameHair_A7_Outline	Inquadratura dei capelli Contorno 13 + 14
FrameHair_A10_Color	Inquadratura dei capelli 19
FrameHair_A10_Gradient	Inquadratura dei capelli 20
FrameHair_A11_Outline	Inquadratura dei capelli Contorno 21 + 22
FrameHair_A9_Color	Inquadratura dei capelli 17
FacialHair_A3_Color	Peli sul viso A 3
BackHair1_Color	Capelli posteriori 1
Laptop	Computer portatile
SignRound	Segno rotondo
HairBang1_Side_Color	Frangia ai capelli 1
HairBang4_Side_Gradient	Frangia ai capelli 8
HairBang5_Side_Color	Frangia ai capelli 9
BackHair2_Color	Capelli posteriori 3
Pigtail_A6_Outline	Codino di capelli Contorno 11 + 12
Pigtail_A7_Outline	Codino di capelli Contorno 13 + 14
Watermelon	Mangia (anguria)
Cheek2	Guancia 2
HairClip6_Color	Fermaglio per capelli 6
Spoon	Arrivo (con cucchiaio)
Tape	Nastro
HatB2_Outline	Profilo del cappello 4
HairShine2_Outline	Contorno di lucentezza dei capelli 4
HairBang1_Side_Gradient	Frangia ai capelli 2
HairBang2_Side_Color	Frangia ai capelli 3
HairBang5_Side_Gradient	Frangia ai capelli 10
BackHair2_Gradient	Capelli posteriori 4
FrameHair_B3_Outline	Inquadratura dei capelli Contorno 28
FaceFeatureC1	Caratteristica del viso C 1
Pigtail_A8_Color	Codino di capelli 15
NeckwearB4_Color	Completo cravatta B 4
WingE1_Lower_Color	Ala 8 .3
PhoneScreen	Schermo del telefono 3
AngrySteam	Adesivo vapore
Outer1_Color	Vestito esterno 1
SideHair_Branch_C2_Outline	Ramo laterale dei capelli C Contorno 2
Hairband4_Color	Fascia per capelli B 2
Pigtail_A3_Color	Codino di capelli 5
BackHair3_Gradient	Capelli posteriori 6
HairBang2_Side_Gradient	Frangia ai capelli 4
PixelSunglasses	Occhiali da sole Pixel
HatB1_Color	Cappello 3
FacialHair_B3_Outline	Peli sul viso B Contorno 3
CapeBack1_Color	Capo Indietro 1
HairShine1_Color	Lucentezza dei capelli 1 + 2
Palmar_Color	Mano 1 .12
Ahoge_B1_Color	Capelli Ahoge (ciuffo) 5
HatA2_Outline	Profilo del cappello 2
Pigtail_A5_Outline	Codino di capelli Contorno 9 + 10
Pigtail_A3_Gradient	Codino di capelli 6
HairBang3_Side_Color	Frangia ai capelli 5
HairBang3_Side_Gradient	Frangia ai capelli 6
HairShine4_Outline	Contorno di lucentezza dei capelli 8
BackHair1_Gradient	Capelli posteriori 2
SignSquare	Segno quadrato
Horn4_Outline	Corno 4
PonytailB1_Gradient	Coda di cavallo dei capelli 12
PonytailB1_Color	Coda di cavallo dei capelli 11
FrameHair_A1_Outline	Inquadratura dei capelli Contorno 1 + 2
Collar7_Outline	Contorno del colletto dell'abito 8
NeckwearA3_Outline	Completo cravatta A Contorno 3
NeckwearA2_Outline	Completo cravatta A Contorno 2
TailA1_Outline	Contorno della coda 1
Horn3_Outline	Corno Contorno 3
Pigtail_A8_Gradient	Codino di capelli 16
SunglassesReflection	Riflessione sugli occhiali da sole
NeckwearA6_Color	Completo cravatta A 6
Tie2_Outline	Completo cravatta C Contorno 2
Halo4_Color	Alone 5 + 6
FrameHair_A6_Color	Inquadratura dei capelli 11
Middle_Outline	Mano 1 .13
RedPacketCoin2	Pacchetto Rosso 3
NeckwearB5_Color	Completo cravatta B 5
Eye1_HighlightCry	Occhio 1 | Piangere
Collar3_Color	Colletto interno per outfit 3
TailC3_Color	Coda 10
ElfEar_Color	Orecchio 1.1
Surprise	Adesivo Sorpresa
Gill3_Outline	Contorno delle branchie 1 .3
Pigtail_A4_Gradient	Codino di capelli 8
Pigtail_A1_Color	Codino di capelli 1
Eye_U	Sonno (UU)
Cockroach	Scarafaggio
Halo3_Outline	Contorno dell'alone 3
Wing3_Outline	Ala dell'orecchio Contorno 3
Halo4_Outline	Contorno dell'alone 5 + 6
Wing3_Color	Ala dell'orecchio 3
WingD1_Outline	Ala Contorno 6
FacialHair_A1_Color	Peli sul viso A 1
Ghost	Adesivo fantasma
Hairband7_Outline	(Fascia per capelli) Cerchietto C Contorno 1
Horn6_Outline	Corno Contorno 6
HairHighlight3_Outline	Capelli evidenziati Contorno 3 << + 3 >>
Glasses_Frame2	Occhiali 2
NeckwearA4_Outline	Completo cravatta A Contorno 4
Ear_Color	Orecchio 1
HatB2_Color	Cappello 4
FacialHair_A4_Outline	Peli sul viso A Contorno 4
PonytailB1_Outline	Contorno di coda di cavallo per capelli 11 + 12
Collar1_Color	Colletto interno per outfit 1
CapeBack3_Outline	Capo Indietro | Profilo del Capo 3
Pigtail_A1_Outline	Codino di capelli Contorno 1 + 2
Tie2_Color	Completo cravatta C 2
TailE1_Color	Coda 12
PatHand	Pat Mano
Main6_Outline	Contorno interno del vestito 6
Pigtail_A6_Color	Codino di capelli 11
Card	Inversione
FacialHair_A8_Color	Peli sul viso A 8
CapeBack2_Outline	Capo Indietro | Profilo del Capo 2
CapeFront6_Color	Capo anteriore 6
PonytailB2_Gradient	Coda di cavallo dei capelli 14
Megaphone	Megafono
Glasses_Frame1	Occhiali 1
Pigtail_B1_Outline	Codino di capelli Contorno 17 + 18
Eye1_Dollar	Dollaro degli occhi 1 + 2
FaceFeatureA1	Caratteristica del viso A 1
Eye1_Heart	Occhio Cuore 1 + 2
Collar2_Color	Colletto interno per outfit 2
Pigtail_A6_Gradient	Codino di capelli 12
FrameHair_B3_Gradient	Inquadratura dei capelli 28
FrameHair_B3_Color	Inquadratura dei capelli 27
FrameHair_TopBack_Outline	Inquadratura dei capelli top Contorno 2
Horn5_Color	Corno 5
Fork	Sbavando (forchetta e coltello) 1
SteeringWheel	Volante
Hairband1_Color	Fascia per capelli A 1
HatB3_Outline	Profilo del cappello 5
FrameHair_A4_Color	Inquadratura dei capelli 7
NeckwearB3_Color	Completo cravatta B 3
HammerEffect1	Martello 1
HairHighlight6_Color	Capelli evidenziati >< 5 + 6
Pigtail_B2_Outline	Codino di capelli Contorno 19 + 20
WingF1_Upper_Outline	Ala Contorno 9 .1
Pigtail_A2_Gradient	Codino di capelli 4
RedPacketCoin3	Pacchetto Rosso 2
FrameHair_A9_Gradient	Inquadratura dei capelli 18
TrashBin	Cestino 1
FacialHair_A2_Outline	Peli sul viso A Contorno 2
Tongue1	Leccata | Lingua
HairShine4_Color	Lucentezza dei capelli 7 + 8
Toilet	Toilette
FrameHair_A5_Gradient	Inquadratura dei capelli 10
CapeFront6_Outline	Capo anteriore | Profilo del Capo 6
FrameHair_A5_Color	Inquadratura dei capelli 9
CapeBack2_Color	Capo Indietro 2
SunGlasses_Lens	Occhiali da sole Lens
FrameHair_A9_Outline	Inquadratura dei capelli Contorno 17 + 18
Main8_Outline	Contorno interno del vestito 8
Pigtail_A4_Color	Codino di capelli 7
KeyboardKeyB	Digitare Normale 2
Tie3_Color	Completo cravatta C 3
Nose2	Naso 2
FacialHair_A5_Color	Peli sul viso A 5
AlertCustom_Color	Avviso adesivo 2
AlertCustom_Outline	Contorno avviso adesivo 2
SideHair_Branch_A2_Outline	Ramo laterale dei capelli A Contorno 2
Horn1_Color	Corno 1
Outer3_Outline	Contorno esterno del vestito 3
SideHair_Branch_B1_Outline	Ramo laterale dei capelli B Contorno 1
ElfEar_Outline	Orecchio Contorno 1.1
Outer4_Color	Vestito esterno 4
Outer3_Color	Vestito esterno 3
HairHighlight5_Outline	Capelli evidenziati >< Contorno 3 +4
SideHair_Branch_C1_Outline	Ramo laterale dei capelli C Contorno 1
Stylus	Stilo
Tear2_Outline	Lacrima degli occhi 3
Donut1	Ciambella 1
Donut2	Ciambella 2
SideHair_Branch_A1_Outline	Ramo laterale dei capelli A Contorno 1
Eye1_Light	Luce dell'iride dell'occhio 1 + 2
Angry2	Adesivo Arrabbiato 2
WingF1_Upper_Color	Ala 9 .1
NeckwearB2_Color	Completo cravatta B 1 + 2
SideHair_Branch_A1_Color	Ramo laterale dei capelli A 1
SignRoundText1	Testo del segno rotondo
Collar2_Outline	Contorno del colletto dell'abito 2
MusicalNote2	Nota musicale 2
FacialHair_B4_Color	Peli sul viso B 4
Mecha2_Color	(Mecha) Mecca 2
Six	Numero Sei
PointHand	Puntare la mano
