SpriteName	Th
PonytailA2_Gradient	ผมหางม้า 4
AnimalEar7_Outline	เส้นร่างหูสัตว์ 7
Brow6	คิ้ว 6
PopperConfetti2	คอนเฟตตี้ 2
Swatter	ไม้ตี
Fin1_Outline	เส้นร่างครีบ
HairShine3_Color	ไฮไลต์ผม 5 + 6
TailB1_Color	หาง 3
HammerEffect2	ค้อน 2
Mecha1_Outline	เส้นร่างส่วนหุ่นยนต์ 1
Pigtail_A4_Outline	เส้นร่างมัดผม 7 + 8
HatC1_Outline	เส้นร่างหมวก 6 + 7
Pigtail_B1_Color	มัดผม 17
Flash	ปืนแฟลช
Brow4	คิ้ว 4
CortisolMeterPointer	เต้นรำ (คอร์ติซอลต่ำ) 1
Hand_Line1	มือ 1 .6
RedPacketCoin4	อั่งเปา 4
Cheek4	แก้ม 4
FaceFeatureB3	ลักษณะใบหน้า B 3
Brow2	คิ้ว 2
StickyNote	Sticky Note
Loading_Outline	กำลังโหลดสติ๊กเกอร์ 2
Collar6_Outline	เส้นร่างปกเสื้อ 6 + 7
CapeBack3_Color	เคปแบ็ค 3
SideHairB6_Outline	เส้นร่างผมด้านข้าง 27 + 28
PonytailA1_Outline	โครงร่างผมหางม้า 1 + 2
PonytailA2_Color	ผมหางม้า 3
SideHairA2_Color	ผมด้านข้าง 3
GiftBoxLid	ของขวัญ 2
Collar4_Color	ปกเสื้อด้านใน 4
WingE1_Upper_Color	ปีก 8 .1
WingA1_Color	ปีก 1
FrameHair_B4_Outline	เส้นร่างผมด้านข้าง 29 + 30
FrameHair_Branch_A1_Color	ปอยผม 1
SideHairA7_Gradient	ผมด้านข้าง 14
Wing2_Color	หูปีก 2
TailA1_Color	หาง 1
Eye3_Heart	ตา(หัวใจ) 3
FrameHair_A8_Outline	เส้นร่างผมด้านข้าง 15 + 16
DrawingTablet	แท็บเล็ต
FaceFeatureA2	ลักษณะใบหน้า A 2
PiercingA2_Color	เจาะเอ 2
Eye_Popcat_Highlight	Popcat | ไฮไลท์ตา
Hairband3_Outline	เส้นร่างที่คาดผม B 1
NeckwearB6_Color	เครื่องประดับคอ B 6
Mouth_Popcat1	Popcat | ปาก 1
Rose	ดอกกุหลาบ
HairbandBack2_Outline	เส้นร่างที่คาดผม D 2
Mecha2_Outline	เส้นร่างส่วนหุ่นยนต์ 2
SideHairA8_Gradient	ผมด้านข้าง 16
NeckwearB7_Color	เครื่องประดับคอ B 7
Donut3	โดนัท 3
NeckwearB5_Outline	เส้นร่างเครื่องประดับคอ B 5
StickyNoteText	ข้อความบน Sticky Note
SideHairA6_Gradient	ผมด้านข้าง 12
PonytailA4_Gradient	ผมหางม้า 8
Ahoge_A4_Color	ผม Ahoge 4
Gill2_Color	เหงือก 1 .2
FacialHair_A7_Outline	โครงร่างขนบนใบหน้า A 7
HatC1_Color	หมวก 6 + 7
SideHairA5_Color	ผมด้านข้าง 9
LightStickHandle	ด้ามจับของแท่งไฟ
Eye1_Spiral	ตา(Spiral) 1 + 2
EasterEgg2	อีสเตอร์ 2
EasterEgg1	อีสเตอร์ 1
HairClip5_Outline	เส้นร่างกิ๊บติดผม 5
SideHairA8_Color	ผมด้านข้าง 15
HairHighlight2_Outline	เส้นร่างชิ้นส่วนผม 2 << + 2 >>
Ahoge_A2_Color	ผม Ahoge 2
SideHairB7_Outline	เส้นร่างผมด้านข้าง 29 + 30
AlertBits_Outline	สติกเกอร์ Alert Outline 6
SunGlasses_Frame	แว่นกันแดด
PonytailA4_Color	ผมหางม้า 7
HairHighlight2_Color	ชิ้นส่วนผม 2 << + 2 >>
SideHairA5_Gradient	ผมด้านข้าง 10
SideHairA6_Color	ผมด้านข้าง 11
HairbandBack2_Color	ที่คาดผม D 2
NeckwearB1_Outline	เส้นร่างเครื่องประดับคอ B 2
HairClip3_Outline	เส้นร่างกิ๊บติดผม 3
Bill2	แบงก์เงิน 2
Volume	สติกเกอร์ ระดับเสียง
FrameHair_A1_Color	ผมด้านข้าง 1 
FrameHair_A2_Gradient	ผมด้านข้าง 2 
Pigtail_C2_Color	มัดผม 23
Pigtail_C2_Gradient	มัดผม 24
WingF1_Lower_Outline	เส้นร่างปีก 9 .2
Glasses_Frame3	แว่นตา 3
WingA2_Outline	เส้นร่างปีก 2
PalmarGlove1_Outline	มือ 2 .1
Eye1_Sparkling	ตา(ประกาย) 1
SideHairB2_Color	ผมด้านข้าง 19
SideHairB2_Gradient	ผมด้านข้าง 20
SideHairA1_Outline	เส้นร่างผมด้านข้าง 1 + 2
EarringA3_Color	ต่างหู 3
EarringA4_Color	ต่างหู 4
TailF_Outline	เส้นร่างหาง 15 + 16 + 17 + 18 + 24 + 25
Halo2_Outline	เส้นร่าง Halo 2
HairBang4_Side_Outline	เส้นร่างผมหน้าม้า 7 + 8
TailD1_Outline	เส้นร่างหาง 11
Pigtail_A8_Outline	เส้นร่างมัดผม 15 + 16
HairBang4_Middle_Outline	เส้นร่างผมหน้าม้า >< 4
SideHairB2_Outline	เส้นร่างผมด้านข้าง 19 + 20
ShakeLine2	กลัว 2
EarringB2_Color	ต่างหู 7
TailA2_Color	หาง 2
TailF_Color	หาง 15 + 16 + 17 + 18 + 24 + 25
SideHairB6_Color	ผมด้านข้าง 27
Controller	คอนโทรลเลอร์
HairBang3_Middle_Gradient	ผมหน้าม้า >< 6
HairBang3_Middle_Color	ผมหน้าม้า >< 5
Horn4_Color	เขา 4
HatD1_Color	หมวก 8
PonytailA1_Gradient	ผมหางม้า 2
SideHairB4_Outline	เส้นร่างผมด้านข้าง 23 + 24
SideHairB6_Gradient	ผมด้านข้าง 28
EarringA4_Outline	ต่างหู โครงร่าง 4
PopperConfetti1	คอนเฟตตี้ 1
Collar1_Outline	เส้นร่างปกเสื้อ 1
FacialHair_B5_Outline	โครงร่างขนบนใบหน้า B 5
EarringA2_Outline	ต่างหู โครงร่าง 2
TailF4_Outline	เส้นร่างหาง 18
LightStickLight	แท่งไฟ
HatA1_Outline	เส้นร่างหมวก 1 + 2
SideHairB1_Outline	เส้นร่างผมด้านข้าง 17 + 18
HairClip3_Color	กิ๊บติดผม 3
NeckwearA4_Color	เครื่องประดับคอ A 4
NeckwearA5_Color	เครื่องประดับคอ A 5
WingC1_Lower_Outline	เส้นร่างปีก 5 .2
FrameHair_A2_Outline	เส้นร่างผมด้านข้าง 3 + 4
HatB1_Outline	เส้นร่างหมวก 3
MagicWand	มายากล
HairBang2_Middle_Color	ผมหน้าม้า >< 3
HairBang2_Middle_Gradient	ผมหน้าม้า >< 4
Hairband5_Color	ที่คาดผม B 3
TailE2_Outline	เส้นร่างหาง 13
Brow5	คิ้ว 5
Tie1_Color	เครื่องประดับคอ C 1
WingF1_Lower_Color	ปีก 9 .2
FrameHair_A4_Outline	เส้นร่างผมด้านข้าง 7 + 8
PryBar	ชะแลง
FacialHair_A2_Color	ขนบนใบหน้า A 2
Outer2_Color	ชุดด้านนอก 2
Tie3_Outline	เส้นร่างเครื่องประดับคอ C 3
TailB4_Outline	เส้นร่างหาง 6
HairShine3_Outline	เส้นร่างไฮไลต์ผม 6
AlertHeart_Color	สติกเกอร์ Alert 1
WingD2_Lower_Outline	เส้นร่างปีก 7 .2
SideHairA1_Color	ผมด้านข้าง 1
HatA1_Color	หมวก 1 + 2
SideHairB3_Color	ผมด้านข้าง 21
FrameHair_A11_Gradient	ผมด้านข้าง 22
FrameHair_A11_Color	ผมด้านข้าง 21
SideHairB4_Gradient	ผมด้านข้าง 24
SideHairA4_Outline	เส้นร่างผมด้านข้าง 7 + 8
SideHairA1_Gradient	ผมด้านข้าง 2
CapeFront2_Color	แหลมหน้า 2
CapeFront5_Color	แหลมหน้า 5
CapeFront2_Outline	แหลมหน้า | โครงร่างเคป 2
SideHairB3_Outline	เส้นร่างผมด้านข้าง 21 + 22
SideHairB4_Color	ผมด้านข้าง 23
SideHairB5_Gradient	ผมด้านข้าง 26
TailB5_Color	หาง 7
WingC1_Upper_Outline	เส้นร่างปีก 5 .1
Mecha3_Outline	เส้นร่างส่วนหุ่นยนต์ 3
HairHighlight1_Color	ชิ้นส่วนผม 1 << + 1 >> 
LoveLetter	จดหมายรัก
Hairband6_Outline	เส้นร่างที่คาดผม B 4
MusicalNote1	โน้ตดนตรี 1
PiercingA2_Outline	เจาะ โครงร่าง 2
StrawLiquid_Outline	ถ้วยเครื่องดื่ม 2
Eyepatch2_Color	ผ้าปิดตา 3 + 4
AnimalEar2_Front_Outline	เส้นร่างหูสัตว์ 2
AnimalEar1_Fur_Color	หูสัตว์ ขน 1
EarringB3_Color	ต่างหู 8
Pigtail_A7_Gradient	มัดผม 14
AnimalEar5_Color	หูสัตว์  5
EarringB4_Color	ต่างหู 4
HairClip2_Color	กิ๊บติดผม 2
Glasses_Lens2	แว่นตา Lens 2
HairBang6_Side_Gradient	ผมหน้าม้า 12
HairBang3_Middle_Outline	เส้นร่างผมหน้าม้า >< 5 + 6
AnimalEar9_Outline	เส้นร่างหูสัตว์ 9
HatB3_Color	หมวก 5
PiercingA1_Outline	เจาะ โครงร่าง 1
Brow8	คิ้ว 8
HairClip1_Outline	เส้นร่างกิ๊บติดผม 1
Eyepatch1_Color	ผ้าปิดตา 1 + 2
NeckwearA1_Color	เครื่องประดับคอ A 1
Eye1_Eyelash	ขนตา 1 + 2
ShakeLine3	กลัว 3
WingE1_Upper_Outline	เส้นร่างปีก 8 .1
PopperConfetti3	คอนเฟตตี้ 3
Star	สติกเกอร์ดาว
HairBang1_Middle_Outline	เส้นร่างผมหน้าม้า >< 1 + 2
SideHairA4_Gradient	ผมด้านข้าง 8
PiercingA3_Outline	เจาะ โครงร่าง 3
FaceFeatureB4	ลักษณะใบหน้า B 4
EarringA3_Outline	ต่างหู โครงร่าง 3
TailF4_Color	หาง 18
AnimalEar2_Fur_Color	หูสัตว์ ขน 2
AnimalEar3_Outline	เส้นร่างหูสัตว์ 3
Straw	ถ้วยเครื่องดื่ม 4
AnimalEar8_Outline	เส้นร่างหูสัตว์ 8
AnimalEar6_Color	หูสัตว์  6
TailF3_Color	หาง 17
EarringB5_Outline	ต่างหู โครงร่าง 10
HairClip12_Color	กิ๊บติดผม 12
Collar6_Color	ปกเสื้อด้านใน 6 + 7
AnimalEar6_Outline	เส้นร่างหูสัตว์ 6
AnimalEar3_Color	หูสัตว์  3
Brow3	คิ้ว 3
Glasses_Lens3	แว่นตา Lens 3
EarringB5_Color	ต่างหู 10
LaptopLight2	แสงแล็ปท็อป 2
PhoneScreenPattern1	หน้าจอโทรศัพท์  1
TailF2_Color	หาง 16
LaptopLight1	แสงแล็ปท็อป 1
AnimalEar7_Color	หูสัตว์  7
AnimalEar9_Color	หูสัตว์  9
HairBang7_Middle_Outline	เส้นร่างผมหน้าม้า >< 13 + 14
Hairband6_Color	ที่คาดผม B 4
AnimalEar2_Back_Outline	เส้นร่างหูสัตว์ 2 .1
HairClip1_Color	กิ๊บติดผม 1
EarringB2_Outline	ต่างหู โครงร่าง 7
Middle_Color	มือ 1 .7
AnimalEar5_Outline	เส้นร่างหูสัตว์ 5
Hairband2_Color	ที่คาดผม A 2
AnimalEar1_Front_Color	หูสัตว์  1
Chopstick	ตะเกียบ
AnimalEar2_Front_Color	หูสัตว์  2
EarringB3_Outline	ต่างหู โครงร่าง 8
TailF1_Color	หาง 15
AnimalEar4_Color	หูสัตว์  4
HairBang4_Side_Color	ผมหน้าม้า 7
SideHairB7_Gradient	ผมด้านข้าง 30
SideHairB1_Color	ผมด้านข้าง 17
FacialHair_A7_Color	ขนบนใบหน้า A 7
HairClip4_Outline	เส้นร่างกิ๊บติดผม 4
EarringB1_Outline	ต่างหู โครงร่าง 6
Index_Color	มือ 1 .8
PiercingA5_Outline	เจาะ โครงร่าง 5
TailF1_Outline	เส้นร่างหาง 15
AnimalEar1_Fur_Outline	เส้นร่างหูสัตว์ ขน 1
TailE3_Color	หาง 14
AnimalEar1_Back_Color	หูสัตว์  1 .1
AnimalEar2_Fur_Outline	เส้นร่างหูสัตว์ ขน 2
CupSteam	ไอน้ำจากถ้วยน้ำ
AnimalEar2_Back_Color	หูสัตว์  2 .1
AnimalEar8_Color	หูสัตว์  8
EarringB4_Outline	ต่างหู โครงร่าง 9
FacialHair_A8_Outline	โครงร่างขนบนใบหน้า A 8
SideHairB7_Color	ผมด้านข้าง 29
SideHairA4_Color	ผมด้านข้าง 7
SideHairB1_Gradient	ผมด้านข้าง 18
BackHair3_Color	ผมด้านหลัง 5
Pigtail_A5_Color	มัดผม 9
Pigtail_A5_Gradient	มัดผม 10
Pigtail_A2_Outline	เส้นร่างมัดผม 3 + 4
HairShine6_Outline	เส้นร่างไฮไลต์ผม 12
Antenna1_Outline	เส้นร่างหนวดแมลง 1
AlertLike_Outline	สติกเกอร์ Alert Outline 4
FacialHair_A5_Outline	โครงร่างขนบนใบหน้า A 5
Horn5_Outline	เส้นร่างเขา 5
FrameHair_A8_Color	ผมด้านข้าง 15
FrameHair_A8_Gradient	ผมด้านข้าง 16
FrameHair_Top_Color	ผมด้านข้าง top
HairBang5_Middle_Color	ผมหน้าม้า >< 9
HairShine1_Outline	เส้นร่างไฮไลต์ผม 2
WingG1_Inner_Outline	เส้นร่างปีก 10 .2
VideoCamera	กล้องวิดีโอ
FrameHair_A7_Gradient	ผมด้านข้าง 14
FrameHair_A7_Color	ผมด้านข้าง 13
Index_Outline	มือ 1 .9
Mouth	ปาก
TailC3_Outline	เส้นร่างหาง 10
Wing2_Outline	เส้นร่างหูปีก 2
Wing1_Color	เส้นร่างหูปีก 1
WingC1_Upper_Color	เส้นร่างปีก 5 .1
Main7_Color	ชุดด้านใน 7
HairHighlight3_Color	ชิ้นส่วนผม 3 << + 3 >>
HairHighlight4_Outline	เส้นร่างชิ้นส่วนผม >< 1 + 2
ErrorPopup	หยุดทำงาน
TrashBinLid	ถังขยะ 2
BackHair1_Outline	เส้นร่างผมด้านหลัง 1 + 2
BackHair2_Outline	เส้นร่างผมด้านหลัง 3 + 4
Horn6_Color	เขา 6
HairBang7_Middle_Color	ผมหน้าม้า >< 13
little_Outline	มือ 1 .10
HornF1_Outline	เส้นร่าง เขาด้านหน้า 1
TailC2_Outline	เส้นร่างหาง 9
Outer2_Outline	เส้นร่างชุดด้านนอก 2
BackHair3_Outline	เส้นร่างผมด้านหลัง 5 + 6
Tongue_Shadow	เงาลิ้น
Blush	แก้มแดง
FacialHair_B5_Color	ขนบนใบหน้า B 5 
Knife	น้ำลายไหล (ส้อมและมีด) 2
HairBang3_Side_Outline	เส้นร่างผมหน้าม้า 5 + 6
HairBang5_Side_Outline	เส้นร่างผมหน้าม้า 9 + 10
Horn7_Outline	เส้นร่างเขา 7
PopcornBucket	กิน (ป๊อปคอร์น) 1
Pigtail_A3_Outline	เส้นร่างมัดผม 5 + 6
Collar7_Color	ปกเสื้อด้านใน 8
Hairband3_Color	ที่คาดผม B 1
Hammer	ค้อน
TailE3_Outline	เส้นร่างหาง 14
HairBang6_Side_Outline	เส้นร่างผมหน้าม้า 11 + 12
HairBang2_Side_Outline	เส้นร่างผมหน้าม้า 3 + 4
HairShine7_Outline	เส้นร่างไฮไลต์ผม 14
EyepatchBandage_Color	ผ้าปิดตา 5 + 6
EyepatchBandage_Outline	โครงร่างผ้าปิดตา 5 + 6
HairbandBack1_Color	ที่คาดผม D 1
Hairband4_Outline	เส้นร่างที่คาดผม B 2
KeyboardKeyA	พิมพ์ (ปกติ) 1
Thumb_Outline	มือ 1 .11
FacialHair_B3_Color	ขนบนใบหน้า B 3
Hairband2_Outline	เส้นร่างที่คาดผม A 2
HairbandBack1_Outline	เส้นร่างที่คาดผม D 1
TailB3_Color	หาง 5
FrameHair_A7_Outline	เส้นร่างผมด้านข้าง 13 + 14
FrameHair_A10_Color	ผมด้านข้าง 19
FrameHair_A10_Gradient	ผมด้านข้าง 20
FrameHair_A11_Outline	เส้นร่างผมด้านข้าง 21 + 22
FrameHair_A9_Color	ผมด้านข้าง 17
FacialHair_A3_Color	ขนบนใบหน้า A 3
BackHair1_Color	ผมด้านหลัง 1
Laptop	แล็ปท็อป
SignRound	ป้ายกลม
HairBang1_Side_Color	ผมหน้าม้า 1
HairBang4_Side_Gradient	ผมหน้าม้า 8
HairBang5_Side_Color	ผมหน้าม้า 9
BackHair2_Color	ผมด้านหลัง 3
Pigtail_A6_Outline	เส้นร่างมัดผม 11 + 12
Pigtail_A7_Outline	เส้นร่างมัดผม 13 + 14
Watermelon	กิน (แตงโม)
Cheek2	แก้ม 2
HairClip6_Color	กิ๊บติดผม 6
Spoon	เดินมาหา (ช้อน)
Tape	เทป
HatB2_Outline	เส้นร่างหมวก 4
HairShine2_Outline	เส้นร่างไฮไลต์ผม 4
HairBang1_Side_Gradient	ผมหน้าม้า 2
HairBang2_Side_Color	ผมหน้าม้า 3
HairBang5_Side_Gradient	ผมหน้าม้า 10
BackHair2_Gradient	ผมด้านหลัง 4
FrameHair_B3_Outline	เส้นร่างผมด้านข้าง 28
FaceFeatureC1	ลักษณะใบหน้า C 1
Pigtail_A8_Color	มัดผม 15
NeckwearB4_Color	เครื่องประดับคอ B 4
WingE1_Lower_Color	ปีก 8 .3
PhoneScreen	หน้าจอโทรศัพท์  3
AngrySteam	สติกเกอร์ไอน้ำ
Outer1_Color	ชุดด้านนอก 1
SideHair_Branch_C2_Outline	เส้นร่างปอยผมด้านหลัง C 2
Hairband4_Color	ที่คาดผม B 2
Pigtail_A3_Color	มัดผม 5
BackHair3_Gradient	ผมด้านหลัง 6
HairBang2_Side_Gradient	ผมหน้าม้า 4
PixelSunglasses	แว่นกันแดดพิกเซล
HatB1_Color	หมวก 3
FacialHair_B3_Outline	โครงร่างขนบนใบหน้า B 3
CapeBack1_Color	เคปแบ็ค 1
HairShine1_Color	ไฮไลต์ผม 1 + 2
Palmar_Color	มือ 1 .12
Ahoge_B1_Color	ผม Ahoge 5
HatA2_Outline	เส้นร่างหมวก 2
Pigtail_A5_Outline	เส้นร่างมัดผม 9 + 10
Pigtail_A3_Gradient	มัดผม 6
HairBang3_Side_Color	ผมหน้าม้า 5
HairBang3_Side_Gradient	ผมหน้าม้า 6
HairShine4_Outline	เส้นร่างไฮไลต์ผม 8
BackHair1_Gradient	ผมด้านหลัง 2
SignSquare	ป้ายสี่เหลี่ยม
Horn4_Outline	เขา 4
PonytailB1_Gradient	ผมหางม้า 12
PonytailB1_Color	ผมหางม้า 11
FrameHair_A1_Outline	เส้นร่างผมด้านข้าง 1 + 2
Collar7_Outline	เส้นร่างปกเสื้อ 8
NeckwearA3_Outline	เส้นร่างเครื่องประดับคอ A 3
NeckwearA2_Outline	เส้นร่างเครื่องประดับคอ A 2
TailA1_Outline	เส้นร่างหาง 1
Horn3_Outline	เส้นร่างเขา 3
Pigtail_A8_Gradient	มัดผม 16
SunglassesReflection	แว่นกันแดดสะท้อนแสง
NeckwearA6_Color	เครื่องประดับคอ A 6
Tie2_Outline	เส้นร่างเครื่องประดับคอ C 2
Halo4_Color	Halo 5 + 6
FrameHair_A6_Color	ผมด้านข้าง 11
Middle_Outline	มือ 1 .13
RedPacketCoin2	อั่งเปา 3
NeckwearB5_Color	เครื่องประดับคอ B 5
Eye1_HighlightCry	ตา 1 | ร้องไห้ 
Collar3_Color	ปกเสื้อด้านใน 3
TailC3_Color	หาง 10
ElfEar_Color	หู 1.1
Surprise	สติกเกอร์เซอร์ไพรส์
Gill3_Outline	เส้นร่างเหงือก 1 .3
Pigtail_A4_Gradient	มัดผม 8
Pigtail_A1_Color	มัดผม 1
Eye_U	นอนหลับ (UU)
Cockroach	แมลงสาบ
Halo3_Outline	เส้นร่าง Halo 3
Wing3_Outline	เส้นร่างหูปีก 3
Halo4_Outline	เส้นร่าง Halo 5 + 6
Wing3_Color	หูปีก 3
WingD1_Outline	เส้นร่างปีก 6
FacialHair_A1_Color	ขนบนใบหน้า A 1
Ghost	สติกเกอร์วิญญาณ
Hairband7_Outline	เส้นร่างที่คาดผม C 1
Horn6_Outline	เส้นร่างเขา 6
HairHighlight3_Outline	เส้นร่างชิ้นส่วนผม 3 << + 3 >>
Glasses_Frame2	แว่นตา 2
NeckwearA4_Outline	เส้นร่างเครื่องประดับคอ A 4
Ear_Color	หู 1
HatB2_Color	หมวก 4
FacialHair_A4_Outline	โครงร่างขนบนใบหน้า A 4
PonytailB1_Outline	โครงร่างผมหางม้า 11 + 12
Collar1_Color	ปกเสื้อด้านใน 1
CapeBack3_Outline	เคปแบ็ค | โครงร่างเคป 3
Pigtail_A1_Outline	เส้นร่างมัดผม 1 + 2
Tie2_Color	เครื่องประดับคอ C 2
TailE1_Color	หาง 12
PatHand	มือลูบหัว
Main6_Outline	เส้นร่างชุดด้านใน 6
Pigtail_A6_Color	มัดผม 11
Card	ย้อนกลับ
FacialHair_A8_Color	ขนบนใบหน้า A 8
CapeBack2_Outline	เคปแบ็ค | โครงร่างเคป 2
CapeFront6_Color	แหลมหน้า 6
PonytailB2_Gradient	ผมหางม้า 14
Megaphone	โทรโข่ง
Glasses_Frame1	แว่นตา 1
Pigtail_B1_Outline	เส้นร่างมัดผม 17 + 18
Eye1_Dollar	ตา(ดอลลาร์) 1 + 2
FaceFeatureA1	ลักษณะใบหน้า A 1
Eye1_Heart	ตา(หัวใจ) 1 + 2
Collar2_Color	ปกเสื้อด้านใน 2
Pigtail_A6_Gradient	มัดผม 12
FrameHair_B3_Gradient	ผมด้านข้าง 28
FrameHair_B3_Color	ผมด้านข้าง 27
FrameHair_TopBack_Outline	เส้นร่างผมด้านข้าง top 2
Horn5_Color	เขา 5
Fork	น้ำลายไหล (ส้อมและมีด) 1
SteeringWheel	พวงมาลัย
Hairband1_Color	ที่คาดผม A 1
HatB3_Outline	เส้นร่างหมวก 5
FrameHair_A4_Color	ผมด้านข้าง 7
NeckwearB3_Color	เครื่องประดับคอ B 3
HammerEffect1	ค้อน 1
HairHighlight6_Color	ชิ้นส่วนผม >< 5 + 6
Pigtail_B2_Outline	เส้นร่างมัดผม 19 + 20
WingF1_Upper_Outline	เส้นร่างปีก 9 .1
Pigtail_A2_Gradient	มัดผม 4
RedPacketCoin3	อั่งเปา 2
FrameHair_A9_Gradient	ผมด้านข้าง 18
TrashBin	ถังขยะ 1
FacialHair_A2_Outline	โครงร่างขนบนใบหน้า A 2
Tongue1	เลีย | ลิ้น
HairShine4_Color	ไฮไลต์ผม 7 + 8
Toilet	ห้องน้ำ
