SpriteName	Fr
SideHairA8_Outline	Contour Cheveux Côtés 15 + 16
PonytailA3_Outline	Aperçu de la queue de cheval 5 + 6
TailF2_Outline	Contour Queue 16
Ear_Outline	Contour Oreilles 1
HairClip11_Color	Pince à Cheveux 11
TailC1_Outline	Contour Queue 8
Cheek3	Joues 3
Eye_Popcat_Light	Teuteu 3 | Œil | Popcat
CandleFire	Feu de Bougie
PiercingA4_Outline	Contour Piercing 4
NeckwearA2_Color	Cravate A 2
little_Color	Main 1 .5
PiercingA1_Color	Piercing 1
PhoneLight	Lumière du Téléphone
ShakeLine1	Peur 1
Eye2_Upperlid	Cils 2 .1
NeckwearA3_Color	Cravate A 3
Brow9	Sourcil 9
EarringA1_Outline	Contour Boucle d'Oreille 1
TailA2_Outline	Contour Queue 2
Drooling	Bave
PiercingA4_Color	Piercing 4
PonytailA3_Color	Queue de cheval 5
PonytailA2_Gradient	Queue de cheval 4
AnimalEar7_Outline	Oreille d'Animal Contour 7
Brow6	Sourcil 6
PopperConfetti2	Confetti 2
Swatter	Tapette à Mouche
Fin1_Outline	Contour Nageoires
HairShine3_Color	Lumière Cheveux 5 + 6
TailB1_Color	Queue 3
HammerEffect2	Marteau 2
Mecha1_Outline	Contour Mecha 1
Pigtail_A4_Outline	Contour Couettes 7 + 8
HatC1_Outline	Contour Chapeau 6 + 7
Pigtail_B1_Color	Couettes 17
Flash	Flash de Pistolet
Brow4	Sourcil 4
CortisolMeterPointer	Danse (Faible Taux de Cortisol) 1
Hand_Line1	Main 1 .6
RedPacketCoin4	Enveloppe Rouge 4
Cheek4	Joues 4
FaceFeatureB3	Caractéristique Faciale B 3
Brow2	Sourcil 2
StickyNote	Post-it
Loading_Outline	Chargement 2
Collar6_Outline	Contour Tenue Col 6 + 7
CapeBack3_Color	Cape Arrière 3
SideHairB6_Outline	Contour Cheveux Côtés 27 + 28
PonytailA1_Outline	Aperçu de la queue de cheval 1 + 2
PonytailA2_Color	Queue de cheval 3
SideHairA2_Color	Cheveux Côtés 3
GiftBoxLid	Cadeau 2
Collar4_Color	Tenue Col Intérieur 4
WingE1_Upper_Color	Aile 8 .1
WingA1_Color	Aile 1
FrameHair_B4_Outline	Contour Mèche Visage Côté 29 + 30
FrameHair_Branch_A1_Color	Épi 1
SideHairA7_Gradient	Cheveux Côtés 14
Wing2_Color	Aile d'Oreille 2
TailA1_Color	Queue 1
Eye3_Heart	Yeux Coeurs 3
FrameHair_A8_Outline	Contour Mèche Visage Côté 15 + 16
DrawingTablet	Tablette
FaceFeatureA2	Caractéristique Faciale A 2
PiercingA2_Color	Piercing 2
Eye_Popcat_Highlight	Popcat | Œil Lumière
Hairband3_Outline	Contour Bandeau B 1
NeckwearB6_Color	Cravate B 6
Mouth_Popcat1	Popcat | Bouche 1
Rose	Rose
HairbandBack2_Outline	Contour Bandeau D 2
Mecha2_Outline	Contour Mecha 2
SideHairA8_Gradient	Cheveux Côtés 16
NeckwearB7_Color	Cravate B 7
Donut3	Donut 3
NeckwearB5_Outline	Contour Cravate B 5
StickyNoteText	Texte Post-it
SideHairA6_Gradient	Cheveux Côtés 12
PonytailA4_Gradient	Queue de cheval 8
Ahoge_A4_Color	Ahoge 4
Gill2_Color	Branchies 1 .2
FacialHair_A7_Outline	Contour Barbe 7
HatC1_Color	Chapeau 6 + 7
SideHairA5_Color	Cheveux Côtés 9
LightStickHandle	Bâton Lumineux Poignée
Eye1_Spiral	Yeux en Spirales 1 + 2
EasterEgg2	Pâques 2
EasterEgg1	Pâques 1
HairClip5_Outline	Contour Pince à Cheveux 5
SideHairA8_Color	Cheveux Côtés 15
HairHighlight2_Outline	Contour Mèches Individuelle 2 << + 2 >>
Ahoge_A2_Color	Ahoge 2
SideHairB7_Outline	Contour Cheveux Côtés 29 + 30
AlertBits_Outline	Contour Alerte (Coeur, Pouce etc...) 6
SunGlasses_Frame	Lunettes de Soleil
PonytailA4_Color	Queue de cheval 7
HairHighlight2_Color	Mèches Individuelle 2 << + 2 >>
SideHairA5_Gradient	Cheveux Côtés 10
SideHairA6_Color	Cheveux Côtés 11
HairbandBack2_Color	Bandeau D 2
NeckwearB1_Outline	Contour Cravate B 2
HairClip3_Outline	Contour Pince à Cheveux 3
Bill2	Facture 2
Volume	Volume
FrameHair_A1_Color	Mèche Visage Côté 1 
FrameHair_A2_Gradient	Mèche Visage Côté 2 
Pigtail_C2_Color	Couettes 23
Pigtail_C2_Gradient	Couettes 24
WingF1_Lower_Outline	Contour Aile 9 .2
Glasses_Frame3	Lunettes 3
WingA2_Outline	Contour Aile 2
PalmarGlove1_Outline	Main 2 .1
Eye1_Sparkling	Yeux en Étoiles 1
SideHairB2_Color	Cheveux Côtés 19
SideHairB2_Gradient	Cheveux Côtés 20
SideHairA1_Outline	Contour Cheveux Côtés 1 + 2
EarringA3_Color	Boucle d'Oreille 3
EarringA4_Color	Boucle d'Oreille 4
TailF_Outline	Contour Queue 15 + 16 + 17 + 18 + 24 + 25
Halo2_Outline	Contour du Halo 2
HairBang4_Side_Outline	Contour Frange Côté >> 7 + 8
TailD1_Outline	Contour Queue 11
Pigtail_A8_Outline	Contour Couettes 15 + 16
HairBang4_Middle_Outline	Contour Frange >< 4
SideHairB2_Outline	Contour Cheveux Côtés 19 + 20
ShakeLine2	Peur 2
EarringB2_Color	Boucle d'Oreille 7
TailA2_Color	Queue 2
TailF_Color	Queue 15 + 16 + 17 + 18 + 24 + 25
SideHairB6_Color	Cheveux Côtés 27
Controller	Manette
HairBang3_Middle_Gradient	Frange Côté >< 6
HairBang3_Middle_Color	Frange Côté >< 5
Horn4_Color	Corne 4
HatD1_Color	Chapeau 8
PonytailA1_Gradient	Queue de cheval 2
SideHairB4_Outline	Contour Cheveux Côtés 23 + 24
SideHairB6_Gradient	Cheveux Côtés 28
EarringA4_Outline	Contour Boucle d'Oreille 4
PopperConfetti1	Confetti 1
Collar1_Outline	Contour Tenue Col 1
FacialHair_B5_Outline	Contour Moustache 5
EarringA2_Outline	Contour Boucle d'Oreille 2
TailF4_Outline	Contour Queue 18
LightStickLight	Bâton lumineux
HatA1_Outline	Contour Chapeau 1 + 2
SideHairB1_Outline	Contour Cheveux Côtés 17 + 18
HairClip3_Color	Pince à Cheveux 3
NeckwearA4_Color	Cravate A 4
NeckwearA5_Color	Cravate A 5
WingC1_Lower_Outline	Contour Aile 5 .2
FrameHair_A2_Outline	Contour Mèche Visage Côté 3 + 4
HatB1_Outline	Contour Chapeau 3
MagicWand	Magie
HairBang2_Middle_Color	Frange Côté >< 3
HairBang2_Middle_Gradient	Frange Côté >< 4
Hairband5_Color	Bandeau B 3
TailE2_Outline	Contour Queue 13
Brow5	Sourcil 5
Tie1_Color	Cravate C 1
WingF1_Lower_Color	Aile 9 .2
FrameHair_A4_Outline	Contour Mèche Visage Côté 7 + 8
PryBar	Pied de Biche
FacialHair_A2_Color	Barbe 2
Outer2_Color	Tenue Extérieure 2
Tie3_Outline	Contour Cravate C 3
TailB4_Outline	Contour Queue 6
HairShine3_Outline	Contour Lumière Cheveux 6
AlertHeart_Color	Alerte (Coeur, Pouce etc...) 1
WingD2_Lower_Outline	Contour Aile 7 .2
SideHairA1_Color	Cheveux Côtés 1
HatA1_Color	Chapeau 1 + 2
SideHairB3_Color	Cheveux Côtés 21
FrameHair_A11_Gradient	Mèche Visage Côté 22
FrameHair_A11_Color	Mèche Visage Côté 21
SideHairB4_Gradient	Cheveux Côtés 24
SideHairA4_Outline	Contour Cheveux Côtés 7 + 8
SideHairA1_Gradient	Cheveux Côtés 2
CapeFront2_Color	Cape Avant 2
CapeFront5_Color	Cape Avant 5
CapeFront2_Outline	Cape Avant | Contour Cape 2
SideHairB3_Outline	Contour Cheveux Côtés 21 + 22
SideHairB4_Color	Cheveux Côtés 23
SideHairB5_Gradient	Cheveux Côtés 26
TailB5_Color	Queue 7
WingC1_Upper_Outline	Contour Aile 5 .1
Mecha3_Outline	Contour Mecha 3
HairHighlight1_Color	Mèches Individuelle 1 << + 1 >> 
LoveLetter	Lettre d'Amour
Hairband6_Outline	Contour Bandeau B 4
MusicalNote1	Note de Musique 1
PiercingA2_Outline	Contour Piercing 2
StrawLiquid_Outline	Tasse 2
Eyepatch2_Color	Cache-œil 3 + 4
AnimalEar2_Front_Outline	Oreille d'Animal Contour 2
AnimalEar1_Fur_Color	Oreille d'Animal Fourrure 1
EarringB3_Color	Boucle d'Oreille 8
Pigtail_A7_Gradient	Couettes 14
AnimalEar5_Color	Oreille d'Animal 5
EarringB4_Color	Boucle d'Oreille 4
HairClip2_Color	Pince à Cheveux 2
Glasses_Lens2	Lunettes Lens 2
HairBang6_Side_Gradient	Frange Côté 12
HairBang3_Middle_Outline	Contour Frange >< 5 + 6
AnimalEar9_Outline	Oreille d'Animal Contour 9
HatB3_Color	Chapeau 5
PiercingA1_Outline	Contour Piercing 1
Brow8	Sourcil 8
HairClip1_Outline	Contour Pince à Cheveux 1
Eyepatch1_Color	Cache-œil 1 + 2
NeckwearA1_Color	Cravate A 1
Eye1_Eyelash	Cils 1 + 2
ShakeLine3	Peur 3
WingE1_Upper_Outline	Contour Aile 8 .1
PopperConfetti3	Confetti 3
Star	Étoile
HairBang1_Middle_Outline	Contour Frange >< 1 + 2
SideHairA4_Gradient	Cheveux Côtés 8
PiercingA3_Outline	Contour Piercing 3
FaceFeatureB4	Caractéristique Faciale B 4
EarringA3_Outline	Contour Boucle d'Oreille 3
TailF4_Color	Queue 18
AnimalEar2_Fur_Color	Oreille d'Animal Fourrure 2
AnimalEar3_Outline	Oreille d'Animal Contour 3
Straw	Tasse 4
AnimalEar8_Outline	Oreille d'Animal Contour 8
AnimalEar6_Color	Oreille d'Animal 6
TailF3_Color	Queue 17
EarringB5_Outline	Contour Boucle d'Oreille 10
HairClip12_Color	Pince à Cheveux 12
Collar6_Color	Tenue Col Intérieur 6 + 7
AnimalEar6_Outline	Oreille d'Animal Contour 6
AnimalEar3_Color	Oreille d'Animal 3
Brow3	Sourcil 3
Glasses_Lens3	Lunettes Lens 3
EarringB5_Color	Boucle d'Oreille 10
LaptopLight2	Lumière Ordinateur Portable 2
PhoneScreenPattern1	Écran de Téléphone 1
TailF2_Color	Queue 16
LaptopLight1	Lumière Ordinateur Portable 1
AnimalEar7_Color	Oreille d'Animal 7
AnimalEar9_Color	Oreille d'Animal 9
HairBang7_Middle_Outline	Contour Frange >< 13 + 14
Hairband6_Color	Bandeau B 4
AnimalEar2_Back_Outline	Oreille d'Animal Contour 2 .1
HairClip1_Color	Pince à Cheveux 1
EarringB2_Outline	Contour Boucle d'Oreille 7
Middle_Color	Main 1 .7
AnimalEar5_Outline	Oreille d'Animal Contour 5
Hairband2_Color	Bandeau A 2
AnimalEar1_Front_Color	Oreille d'Animal 1
Chopstick	Baguettes
AnimalEar2_Front_Color	Oreille d'Animal 2
EarringB3_Outline	Contour Boucle d'Oreille 8
TailF1_Color	Queue 15
AnimalEar4_Color	Oreille d'Animal 4
HairBang4_Side_Color	Frange Côté 7
SideHairB7_Gradient	Cheveux Côtés 30
SideHairB1_Color	Cheveux Côtés 17
FacialHair_A7_Color	Barbe 7
HairClip4_Outline	Contour Pince à Cheveux 4
EarringB1_Outline	Contour Boucle d'Oreille 6
Index_Color	Main 1 .8
PiercingA5_Outline	Contour Piercing 5
TailF1_Outline	Contour Queue 15
AnimalEar1_Fur_Outline	Oreille d'Animal Contour Fourrure 1
TailE3_Color	Queue 14
AnimalEar1_Back_Color	Oreille d'Animal 1 .1
AnimalEar2_Fur_Outline	Oreille d'Animal Contour Fourrure 2
CupSteam	Vapeur Tasse
AnimalEar2_Back_Color	Oreille d'Animal 2 .1
AnimalEar8_Color	Oreille d'Animal 8
EarringB4_Outline	Contour Boucle d'Oreille 9
FacialHair_A8_Outline	Contour Barbe 8
SideHairB7_Color	Cheveux Côtés 29
SideHairA4_Color	Cheveux Côtés 7
SideHairB1_Gradient	Cheveux Côtés 18
BackHair3_Color	Cheveux Arrières 5
Pigtail_A5_Color	Couettes 9
Pigtail_A5_Gradient	Couettes 10
Pigtail_A2_Outline	Contour Couettes 3 + 4
HairShine6_Outline	Contour Lumière Cheveux 12
Antenna1_Outline	Contour Antenne 1
AlertLike_Outline	Contour Alerte (Coeur, Pouce etc...) 4
FacialHair_A5_Outline	Contour Barbe 5
Horn5_Outline	Contour Corne 5
FrameHair_A8_Color	Mèche Visage Côté 15
FrameHair_A8_Gradient	Mèche Visage Côté 16
FrameHair_Top_Color	Mèche Visage Côté top
HairBang5_Middle_Color	Frange Côté >< 9
HairShine1_Outline	Contour Lumière Cheveux 2
WingG1_Inner_Outline	Contour Aile 10 .2
VideoCamera	Caméra
FrameHair_A7_Gradient	Mèche Visage Côté 14
FrameHair_A7_Color	Mèche Visage Côté 13
Index_Outline	Main 1 .9
Mouth	Bouche
TailC3_Outline	Contour Queue 10
Wing2_Outline	Contour Aile d'Oreille 2
Wing1_Color	Contour Aile d'Oreille 1
WingC1_Upper_Color	Contour Aile 5 .1
Main7_Color	Tenue Intérieure 7
HairHighlight3_Color	Mèches Individuelle 3 << + 3 >>
HairHighlight4_Outline	Contour Mèches Individuelle >< 1 + 2
ErrorPopup	Cesser de Fonctionner
TrashBinLid	Poubelle 2
BackHair1_Outline	Contour Cheveux Arrières 1 + 2
BackHair2_Outline	Contour Cheveux Arrières 3 + 4
Horn6_Color	Corne 6
HairBang7_Middle_Color	Frange Côté >< 13
little_Outline	Main 1 .10
HornF1_Outline	Corne avant Contour 1
TailC2_Outline	Contour Queue 9
Outer2_Outline	Contour Tenue Extérieure 2
BackHair3_Outline	Contour Cheveux Arrières 5 + 6
Tongue_Shadow	Ombre Langue
Blush	Fard à Joues
FacialHair_B5_Color	Moustache 5 
Knife	Bave (Fourchette & Couteau) 2
HairBang3_Side_Outline	Contour Frange Côté >> 5 + 6
HairBang5_Side_Outline	Contour Frange Côté >> 9 + 10
Horn7_Outline	Contour Corne 7
PopcornBucket	Manger (Pop-Corn) 1
Pigtail_A3_Outline	Contour Couettes 5 + 6
Collar7_Color	Tenue Col Intérieur 8
Hairband3_Color	Bandeau B 1
Hammer	Marteau
TailE3_Outline	Contour Queue 14
HairBang6_Side_Outline	Contour Frange Côté >> 11 + 12
HairBang2_Side_Outline	Contour Frange Côté >> 3 + 4
HairShine7_Outline	Contour Lumière Cheveux 14
EyepatchBandage_Color	Cache-œil 5 + 6
EyepatchBandage_Outline	Contour du cache-œil 5 + 6
HairbandBack1_Color	Bandeau D 1
Hairband4_Outline	Contour Bandeau B 2
KeyboardKeyA	Taper Normal 1
Thumb_Outline	Main 1 .11
FacialHair_B3_Color	Moustache 3
Hairband2_Outline	Contour Bandeau A 2
HairbandBack1_Outline	Contour Bandeau D 1
TailB3_Color	Queue 5
FrameHair_A7_Outline	Contour Mèche Visage Côté 13 + 14
FrameHair_A10_Color	Mèche Visage Côté 19
FrameHair_A10_Gradient	Mèche Visage Côté 20
FrameHair_A11_Outline	Contour Mèche Visage Côté 21 + 22
FrameHair_A9_Color	Mèche Visage Côté 17
FacialHair_A3_Color	Barbe 3
BackHair1_Color	Cheveux Arrières 1
Laptop	Ordinateur Portable
SignRound	Panneau Rond
HairBang1_Side_Color	Frange Côté 1
HairBang4_Side_Gradient	Frange Côté 8
HairBang5_Side_Color	Frange Côté 9
BackHair2_Color	Cheveux Arrières 3
Pigtail_A6_Outline	Contour Couettes 11 + 12
Pigtail_A7_Outline	Contour Couettes 13 + 14
Watermelon	Manger (Pastèque)
Cheek2	Joues 2
HairClip6_Color	Pince à Cheveux 6
Spoon	Arriver (avec une Cuillère)
Tape	Ruban Adhésif
HatB2_Outline	Contour Chapeau 4
HairShine2_Outline	Contour Lumière Cheveux 4
HairBang1_Side_Gradient	Frange Côté 2
HairBang2_Side_Color	Frange Côté 3
HairBang5_Side_Gradient	Frange Côté 10
BackHair2_Gradient	Cheveux Arrières 4
FrameHair_B3_Outline	Contour Mèche Visage Côté 28
FaceFeatureC1	Caractéristique Faciale C 1
Pigtail_A8_Color	Couettes 15
NeckwearB4_Color	Cravate B 4
WingE1_Lower_Color	Aile 8 .3
PhoneScreen	Écran de Téléphone 3
AngrySteam	Vapeur
Outer1_Color	Tenue Extérieure 1
SideHair_Branch_C2_Outline	Épi Cheveux Côté C Contour 2
Hairband4_Color	Bandeau B 2
Pigtail_A3_Color	Couettes 5
BackHair3_Gradient	Cheveux Arrières 6
HairBang2_Side_Gradient	Frange Côté 4
PixelSunglasses	Lunettes de Soleil Pixel
HatB1_Color	Chapeau 3
FacialHair_B3_Outline	Contour Moustache 3
CapeBack1_Color	Cape Arrière 1
HairShine1_Color	Lumière Cheveux 1 + 2
Palmar_Color	Main 1 .12
Ahoge_B1_Color	Ahoge 5
HatA2_Outline	Contour Chapeau 2
Pigtail_A5_Outline	Contour Couettes 9 + 10
Pigtail_A3_Gradient	Couettes 6
HairBang3_Side_Color	Frange Côté 5
HairBang3_Side_Gradient	Frange Côté 6
HairShine4_Outline	Contour Lumière Cheveux 8
BackHair1_Gradient	Cheveux Arrières 2
SignSquare	Panneau Carré
Horn4_Outline	Corne 4
PonytailB1_Gradient	Queue de cheval 12
PonytailB1_Color	Queue de cheval 11
FrameHair_A1_Outline	Contour Mèche Visage Côté 1 + 2
Collar7_Outline	Contour Tenue Col 8
NeckwearA3_Outline	Contour Cravate A 3
NeckwearA2_Outline	Contour Cravate A 2
TailA1_Outline	Contour Queue 1
Horn3_Outline	Contour Corne 3
Pigtail_A8_Gradient	Couettes 16
SunglassesReflection	Réflexion Lunettes de Soleil
NeckwearA6_Color	Cravate A 6
Tie2_Outline	Contour Cravate C 2
Halo4_Color	Halo 5 + 6
FrameHair_A6_Color	Mèche Visage Côté 11
Middle_Outline	Main 1 .13
RedPacketCoin2	Enveloppe Rouge 3
NeckwearB5_Color	Cravate B 5
Eye1_HighlightCry	Œil 1 | Pleurer
Collar3_Color	Tenue Col Intérieur 3
TailC3_Color	Queue 10
ElfEar_Color	Oreilles 1.1
Surprise	Surprise
Gill3_Outline	Contour Branchies 1 .3
Pigtail_A4_Gradient	Couettes 8
Pigtail_A1_Color	Couettes 1
Eye_U	Dodo (UU)
Cockroach	Cafard
Halo3_Outline	Contour du Halo 3
Wing3_Outline	Contour Aile d'Oreille 3
Halo4_Outline	Contour du Halo 5 + 6
Wing3_Color	Aile d'Oreille 3
WingD1_Outline	Contour Aile 6
FacialHair_A1_Color	Barbe 1
Ghost	Fantôme
Hairband7_Outline	Contour Bandeau C 1
Horn6_Outline	Contour Corne 6
HairHighlight3_Outline	Contour Mèches Individuelle 3 << + 3 >>
Glasses_Frame2	Lunettes 2
NeckwearA4_Outline	Contour Cravate A 4
Ear_Color	Oreilles 1
HatB2_Color	Chapeau 4
FacialHair_A4_Outline	Contour Barbe 4
PonytailB1_Outline	Aperçu de la queue de cheval 11 + 12
Collar1_Color	Tenue Col Intérieur 1
CapeBack3_Outline	Cape Arrière | Contour Cape 3
Pigtail_A1_Outline	Contour Couettes 1 + 2
Tie2_Color	Cravate C 2
TailE1_Color	Queue 12
PatHand	Main Pat
Main6_Outline	Contour Tenue Intérieure 6
Pigtail_A6_Color	Couettes 11
Card	Inverse
FacialHair_A8_Color	Barbe 8
CapeBack2_Outline	Cape Arrière | Contour Cape 2
CapeFront6_Color	Cape Avant 6
PonytailB2_Gradient	Queue de cheval 14
Megaphone	Mégaphone
Glasses_Frame1	Lunettes 1
Pigtail_B1_Outline	Contour Couettes 17 + 18
Eye1_Dollar	Yeux Dollars 1 + 2
FaceFeatureA1	Caractéristique Faciale A 1
Eye1_Heart	Yeux Coeurs 1 + 2
Collar2_Color	Tenue Col Intérieur 2
Pigtail_A6_Gradient	Couettes 12
FrameHair_B3_Gradient	Mèche Visage Côté 28
FrameHair_B3_Color	Mèche Visage Côté 27
FrameHair_TopBack_Outline	Contour Mèche Visage Côté top 2
Horn5_Color	Corne 5
Fork	Bave (Fourchette & Couteau) 1
SteeringWheel	Volant
Hairband1_Color	Bandeau A 1
HatB3_Outline	Contour Chapeau 5
FrameHair_A4_Color	Mèche Visage Côté 7
NeckwearB3_Color	Cravate B 3
HammerEffect1	Marteau 1
HairHighlight6_Color	Mèches Individuelle >< 5 + 6
Pigtail_B2_Outline	Contour Couettes 19 + 20
WingF1_Upper_Outline	Contour Aile 9 .1
Pigtail_A2_Gradient	Couettes 4
RedPacketCoin3	Enveloppe Rouge 2
FrameHair_A9_Gradient	Mèche Visage Côté 18
TrashBin	Poubelle 1
FacialHair_A2_Outline	Contour Barbe 2
Tongue1	Lécher | Langue
HairShine4_Color	Lumière Cheveux 7 + 8
Toilet	Toilettes
FrameHair_A5_Gradient	Mèche Visage Côté 10
CapeFront6_Outline	Cape Avant | Contour Cape 6
FrameHair_A5_Color	Mèche Visage Côté 9
CapeBack2_Color	Cape Arrière 2
SunGlasses_Lens	Lunettes de Soleil Lens
FrameHair_A9_Outline	Contour Mèche Visage Côté 17 + 18
Main8_Outline	Contour Tenue Intérieure 8
Pigtail_A4_Color	Couettes 7
KeyboardKeyB	Taper Normal 2
Tie3_Color	Cravate C 3
Nose2	Nez 2
FacialHair_A5_Color	Barbe 5
AlertCustom_Color	Alerte (Coeur, Pouce etc...) 2
AlertCustom_Outline	Contour Alerte (Coeur, Pouce etc...) 2
SideHair_Branch_A2_Outline	Épi Cheveux Côté A Contour 2
Horn1_Color	Corne 1
Outer3_Outline	Contour Tenue Extérieure 3
SideHair_Branch_B1_Outline	Épi Cheveux Côté B Contour 1
ElfEar_Outline	Oreilles Contour 1.1
Outer4_Color	Tenue Extérieure 4
Outer3_Color	Tenue Extérieure 3
HairHighlight5_Outline	Contour Mèches Individuelle >< 3 +4
SideHair_Branch_C1_Outline	Épi Cheveux Côté C Contour 1
Stylus	Stylet
Tear2_Outline	Larmes 3
Donut1	Donut 1
Donut2	Donut 2
SideHair_Branch_A1_Outline	Épi Cheveux Côté A Contour 1
Eye1_Light	Œil Clair 1 + 2
Angry2	Colère 2
WingF1_Upper_Color	Aile 9 .1
NeckwearB2_Color	Cravate B 1 + 2
SideHair_Branch_A1_Color	Épi Cheveux Côté A 1
SignRoundText1	Texte Panneau Rond
Collar2_Outline	Contour Tenue Col 2
MusicalNote2	Note de Musique 2
FacialHair_B4_Color	Moustache 4
Mecha2_Color	Mecha 2
Six	Numéro six
PointHand	Pointer de la main
HairClip8_Color	Pince à Cheveux 8
FaceFeatureB1	Caractéristique Faciale B 1
Pigtail_B2_Gradient	Couettes 20
Main8_Color	Tenue Intérieure 8
Tear2_Color	Larmes 2
Eye3_Dark	Œil Foncé 3
Outer4_Outline	Contour Tenue Extérieure 4
Glasses_Lens1	Lunettes Lens 1
WingA3_Outline	Contour Aile 3
Ahoge_B2_Color	Ahoge 6
CapeFront1_Outline	Cape Avant | Contour Cape 1
Cake	Gâteau
WingD1_Color	Aile 6
Pigtail_B1_Gradient	Couettes 18
Outer7_Color	Tenue Extérieure 7
Ahoge_B1_Outline	Contour Ahoge 5
HornM1_Outline	Contour Corne avant >< 1
HornF2_Color	Corne avant 2
CapeFront4_Color	Cape Avant 4
FrameHair_Branch_A3_Color	Épi 3
Main2_Outline	Contour Tenue Intérieure 2
Wing1_Outline	Contour Aile d'Oreille 1
WingD2_Upper_Outline	Contour Aile 7 .1
Mecha4_Color	Mecha 4
Horn1_Outline	Contour Corne 1
WingA2_Color	Aile 2
EasterEggBasket	Pâques 4
Mecha4_Outline	Contour Mecha 4
Antenna2_Color	Antenne 2
Mecha1_Color	Mecha 1
Ahoge_A3_Outline	Contour Ahoge 3
Main1_Outline	Contour Tenue Intérieure 1
Horn2_Color	Corne 2
HairBang4_Middle_Gradient	Frange Côté >< 8
CapeFront3_Color	Cape Avant 3
Notepad	Bloc-Notes
Outer5_Color	Tenue Extérieure 5
WingA3_Color	Aile 3
WingB1_Color	Aile 4
Pistol	Pistolet
Horn7_Color	Corne 7
