SpriteName	Pt-Br
Eye1_Highlight	Olhos Destaque 1
EarringA1_Color	Brinco 1
Brow1	Sobrancelha 1
FaceFeatureB2	Característica facial B 2
CortisolMeter	Dança (baixo cortisol) 2
HairBang1_Side_Outline	Franja do Cabelo Contorno 1 + 2
Hairline	Cabelo Base 1
EarringB1_Color	Brinco 6
Palmar_Line2	Mão 1 .2
StrawLiquid_Color	Bebida Liquido 2
Mecha5_Color	Mecha 5
HairClip13_Outline	Grampo de Cabelo Contorno 13
EasterEgg3	Páscoa 3
Collar3_Outline	Contorno da Gola 3
HairHighlight4_Color	Mechas do Cabelo >< 1 + 2
Tongue2	Boca/Lingua | Lamber
FaceFeatureA3	Característica facial A 3
AnimalEar4_Outline	Orelha de Animal Contorno 4
SideHairB8_Gradient	Cabelo Lateral 32
PonytailA4_Outline	Contorno de rabo de cavalo de cabelo 7 + 8
HatD1_Outline	Contorno do Chapéu 8
GasBottle	Garrafa de Gás
SideHairA2_Outline	Contorno do Cabelo Lateral 3 + 4
SideHairB5_Outline	Contorno do Cabelo Lateral 25 + 26
FacialHair_A4_Color	Pêlos faciais A 4
EarringA2_Color	Brinco 2
Eye3_Light	Olho Iris Clara 3
AnimalEar1_Back_Outline	Orelha de Animal Contorno 1 .1
CapeFront5_Outline	Frente do Cabo | Contorno do Cabo 5
SideHairB8_Color	Cabelo Lateral 31
HairShine6_Color	Cabelo Brilhante 11 + 12
Hairband5_Outline	Contorno da Faixa de Cabelo B 3
CapeBack1_Outline	Cabo de volta | Contorno do Cabo 1
Halo3_Color	Auréola 3
Eye3_Eyelash	Cílios 3
Leg	Perna 1
Thumb_Color	Mão 1 .3
HairShine2_Color	Cabelo Brilhante 3 + 4
Hairband1_Outline	Contorno da Faixa de Cabelo A 1
Brow7	Sobrancelha 7
Palmar_Line1	Mão 1 .4
PiercingA3_Color	Perfuração 3
Pigtail_A7_Color	Rabo de Cavalo 13
SideHairA3_Gradient	Cabelo Lateral 6
SideHairA8_Outline	Contorno do Cabelo Lateral 15 + 16
PonytailA3_Outline	Contorno de rabo de cavalo de cabelo 5 + 6
TailF2_Outline	Contorno do Rabo 16
Ear_Outline	Orelha Contorno 1
HairClip11_Color	Grampo de Cabelo 11
TailC1_Outline	Contorno do Rabo 8
Cheek3	Bochecha 3
Eye_Popcat_Light	Bobo 3 | Olho | Popcat
CandleFire	Fogo da Vela
PiercingA4_Outline	Perfuração Contorno 4
NeckwearA2_Color	Acessório de Pescoço A 2
little_Color	Mão 1 .5
PiercingA1_Color	Perfuração 1
PhoneLight	Luz do Telefone
ShakeLine1	Assustado 1
Eye2_Upperlid	Cílios 2 .1
NeckwearA3_Color	Acessório de Pescoço A 3
Brow9	Sobrancelha 9
EarringA1_Outline	Brinco Contorno 1
TailA2_Outline	Contorno do Rabo 2
Drooling	Babando
PiercingA4_Color	Perfuração 4
PonytailA3_Color	Rabo de cavalo de cabelo 5
PonytailA2_Gradient	Rabo de cavalo de cabelo 4
AnimalEar7_Outline	Orelha de Animal Contorno 7
Brow6	Sobrancelha 6
PopperConfetti2	Confete 2
Swatter	mata-mata
Fin1_Outline	Barbatana Contorno
HairShine3_Color	Cabelo Brilhante 5 + 6
TailB1_Color	Rabo 3
HammerEffect2	Martelo 2
Mecha1_Outline	Mecha Contorno 1
Pigtail_A4_Outline	Rabo de Cavalo Contorno 7 + 8
HatC1_Outline	Contorno do Chapéu 6 + 7
Pigtail_B1_Color	Rabo de Cavalo 17
Flash	Flash de arma
Brow4	Sobrancelha 4
CortisolMeterPointer	Dança (baixo cortisol) 1
Hand_Line1	Mão 1 .6
RedPacketCoin4	Pacote Vermelho 4
Cheek4	Bochecha 4
FaceFeatureB3	Característica facial B 3
Brow2	Sobrancelha 2
StickyNote	Nota Adesiva
Loading_Outline	Carregamento de adesivos 2
Collar6_Outline	Contorno da Gola 6 + 7
CapeBack3_Color	Cabo de volta 3
SideHairB6_Outline	Contorno do Cabelo Lateral 27 + 28
PonytailA1_Outline	Contorno de rabo de cavalo de cabelo 1 + 2
PonytailA2_Color	Rabo de cavalo de cabelo 3
SideHairA2_Color	Cabelo Lateral 3
GiftBoxLid	Presente 2
Collar4_Color	Gola 4
WingE1_Upper_Color	Asa 8 .1
WingA1_Color	Asa 1
FrameHair_B4_Outline	Emolduração do Cabelo Contorno 29 + 30
FrameHair_Branch_A1_Color	Mechas Laterais 1
SideHairA7_Gradient	Cabelo Lateral 14
Wing2_Color	Asa Orelha 2
TailA1_Color	Rabo 1
Eye3_Heart	Olho Coração 3
FrameHair_A8_Outline	Emolduração do Cabelo Contorno 15 + 16
DrawingTablet	Tablet
FaceFeatureA2	Característica facial A 2
PiercingA2_Color	Perfuração 2
Eye_Popcat_Highlight	Popcat | Olhos Destaque
Hairband3_Outline	Contorno da Faixa de Cabelo B 1
NeckwearB6_Color	Acessório de Pescoço B 6
Mouth_Popcat1	Popcat | Boca 1
Rose	Rosa
HairbandBack2_Outline	Contorno da Faixa de Cabelo D 2
Mecha2_Outline	Mecha Contorno 2
SideHairA8_Gradient	Cabelo Lateral 16
NeckwearB7_Color	Acessório de Pescoço B 7
Donut3	Rosquinha 3
NeckwearB5_Outline	Acessório de Pescoço B Contorno 5
StickyNoteText	Texto da Nota Adesiva
SideHairA6_Gradient	Cabelo Lateral 12
PonytailA4_Gradient	Rabo de cavalo de cabelo 8
Ahoge_A4_Color	Cabelo Ahoge 4
Gill2_Color	Brânquia 1 .2
FacialHair_A7_Outline	Contorno A dos pêlos faciais 7
HatC1_Color	Chapéu 6 + 7
SideHairA5_Color	Cabelo Lateral 9
LightStickHandle	Cabo Bastão de Luz
Eye1_Spiral	Olhos Espiral 1 + 2
EasterEgg2	Páscoa 2
EasterEgg1	Páscoa 1
HairClip5_Outline	Grampo de Cabelo Contorno 5
SideHairA8_Color	Cabelo Lateral 15
HairHighlight2_Outline	Mechas do Cabelo Contorno 2 << + 2 >>
Ahoge_A2_Color	Cabelo Ahoge 2
SideHairB7_Outline	Contorno do Cabelo Lateral 29 + 30
AlertBits_Outline	Contorno do Alerta de Figurinha 6
SunGlasses_Frame	Óculos de sol
PonytailA4_Color	Rabo de cavalo de cabelo 7
HairHighlight2_Color	Mechas do Cabelo 2 << + 2 >>
SideHairA5_Gradient	Cabelo Lateral 10
SideHairA6_Color	Cabelo Lateral 11
HairbandBack2_Color	Faixa de Cabelo D 2
NeckwearB1_Outline	Acessório de Pescoço B Contorno 2
HairClip3_Outline	Grampo de Cabelo Contorno 3
Bill2	Conta 2
Volume	Figurinha Volume
FrameHair_A1_Color	Emolduração do Cabelo 1 
FrameHair_A2_Gradient	Emolduração do Cabelo 2 
Pigtail_C2_Color	Rabo de Cavalo 23
Pigtail_C2_Gradient	Rabo de Cavalo 24
WingF1_Lower_Outline	Asa Contorno 9 .2
Glasses_Frame3	Óculos 3
WingA2_Outline	Asa Contorno 2
PalmarGlove1_Outline	Mão 2 .1
Eye1_Sparkling	Olhos Brilho 1
SideHairB2_Color	Cabelo Lateral 19
SideHairB2_Gradient	Cabelo Lateral 20
SideHairA1_Outline	Contorno do Cabelo Lateral 1 + 2
EarringA3_Color	Brinco 3
EarringA4_Color	Brinco 4
TailF_Outline	Contorno do Rabo 15 + 16 + 17 + 18 + 24 + 25
Halo2_Outline	Contorno da Auréola 2
HairBang4_Side_Outline	Franja do Cabelo Contorno 7 + 8
TailD1_Outline	Contorno do Rabo 11
Pigtail_A8_Outline	Rabo de Cavalo Contorno 15 + 16
HairBang4_Middle_Outline	Franja do Cabelo >< Contorno 4
SideHairB2_Outline	Contorno do Cabelo Lateral 19 + 20
ShakeLine2	Assustado 2
EarringB2_Color	Brinco 7
TailA2_Color	Rabo 2
TailF_Color	Rabo 15 + 16 + 17 + 18 + 24 + 25
SideHairB6_Color	Cabelo Lateral 27
Controller	Controlador
HairBang3_Middle_Gradient	Franja do Cabelo >< 6
HairBang3_Middle_Color	Franja do Cabelo >< 5
Horn4_Color	Chifre 4
HatD1_Color	Chapéu 8
PonytailA1_Gradient	Rabo de cavalo de cabelo 2
SideHairB4_Outline	Contorno do Cabelo Lateral 23 + 24
SideHairB6_Gradient	Cabelo Lateral 28
EarringA4_Outline	Brinco Contorno 4
PopperConfetti1	Confete 1
Collar1_Outline	Contorno da Gola 1
FacialHair_B5_Outline	Contorno B dos pêlos faciais 5
EarringA2_Outline	Brinco Contorno 2
TailF4_Outline	Contorno do Rabo 18
LightStickLight	Bastão de Luz
HatA1_Outline	Contorno do Chapéu 1 + 2
SideHairB1_Outline	Contorno do Cabelo Lateral 17 + 18
HairClip3_Color	Grampo de Cabelo 3
NeckwearA4_Color	Acessório de Pescoço A 4
NeckwearA5_Color	Acessório de Pescoço A 5
WingC1_Lower_Outline	Asa Contorno 5 .2
FrameHair_A2_Outline	Emolduração do Cabelo Contorno 3 + 4
HatB1_Outline	Contorno do Chapéu 3
MagicWand	Magia
HairBang2_Middle_Color	Franja do Cabelo >< 3
HairBang2_Middle_Gradient	Franja do Cabelo >< 4
Hairband5_Color	Faixa de Cabelo B 3
TailE2_Outline	Contorno do Rabo 13
Brow5	Sobrancelha 5
Tie1_Color	Acessório de Pescoço C 1
WingF1_Lower_Color	Asa 9 .2
FrameHair_A4_Outline	Emolduração do Cabelo Contorno 7 + 8
PryBar	Pé de Cabra
FacialHair_A2_Color	Pêlos faciais A 2
Outer2_Color	Roupa Exterior 2
Tie3_Outline	Acessório de Pescoço C Contorno 3
TailB4_Outline	Contorno do Rabo 6
HairShine3_Outline	Contorno do Cabelo Brilhante 6
AlertHeart_Color	Alerta de Figurinha 1
WingD2_Lower_Outline	Asa Contorno 7 .2
SideHairA1_Color	Cabelo Lateral 1
HatA1_Color	Chapéu 1 + 2
SideHairB3_Color	Cabelo Lateral 21
FrameHair_A11_Gradient	Emolduração do Cabelo 22
FrameHair_A11_Color	Emolduração do Cabelo 21
SideHairB4_Gradient	Cabelo Lateral 24
SideHairA4_Outline	Contorno do Cabelo Lateral 7 + 8
SideHairA1_Gradient	Cabelo Lateral 2
CapeFront2_Color	Frente do Cabo 2
CapeFront5_Color	Frente do Cabo 5
CapeFront2_Outline	Frente do Cabo | Contorno do Cabo 2
SideHairB3_Outline	Contorno do Cabelo Lateral 21 + 22
SideHairB4_Color	Cabelo Lateral 23
SideHairB5_Gradient	Cabelo Lateral 26
TailB5_Color	Rabo 7
WingC1_Upper_Outline	Asa Contorno 5 .1
Mecha3_Outline	Mecha Contorno 3
HairHighlight1_Color	Mechas do Cabelo 1 << + 1 >> 
LoveLetter	Carta de Amor
Hairband6_Outline	Contorno da Faixa de Cabelo B 4
MusicalNote1	Nota Musical 1
PiercingA2_Outline	Perfuração Contorno 2
StrawLiquid_Outline	Copo de Bebida 2
Eyepatch2_Color	Tapa-olho 3 + 4
AnimalEar2_Front_Outline	Orelha de Animal Contorno 2
AnimalEar1_Fur_Color	Orelha de Animal Pelo 1
EarringB3_Color	Brinco 8
Pigtail_A7_Gradient	Rabo de Cavalo 14
AnimalEar5_Color	Orelha de Animal 5
EarringB4_Color	Brinco 4
HairClip2_Color	Grampo de Cabelo 2
Glasses_Lens2	Óculos Lens 2
HairBang6_Side_Gradient	Franja do Cabelo 12
HairBang3_Middle_Outline	Franja do Cabelo >< Contorno 5 + 6
AnimalEar9_Outline	Orelha de Animal Contorno 9
HatB3_Color	Chapéu 5
PiercingA1_Outline	Perfuração Contorno 1
Brow8	Sobrancelha 8
HairClip1_Outline	Grampo de Cabelo Contorno 1
Eyepatch1_Color	Tapa-olho 1 + 2
NeckwearA1_Color	Acessório de Pescoço A 1
Eye1_Eyelash	Cílios 1 + 2
ShakeLine3	Assustado 3
WingE1_Upper_Outline	Asa Contorno 8 .1
PopperConfetti3	Confete 3
Star	Figurinha Estrela
HairBang1_Middle_Outline	Franja do Cabelo >< Contorno 1 + 2
SideHairA4_Gradient	Cabelo Lateral 8
PiercingA3_Outline	Perfuração Contorno 3
FaceFeatureB4	Característica facial B 4
EarringA3_Outline	Brinco Contorno 3
TailF4_Color	Rabo 18
AnimalEar2_Fur_Color	Orelha de Animal Pelo 2
AnimalEar3_Outline	Orelha de Animal Contorno 3
Straw	Copo de Bebida 4
AnimalEar8_Outline	Orelha de Animal Contorno 8
AnimalEar6_Color	Orelha de Animal 6
TailF3_Color	Rabo 17
EarringB5_Outline	Brinco Contorno 10
HairClip12_Color	Grampo de Cabelo 12
Collar6_Color	Gola 6 + 7
AnimalEar6_Outline	Orelha de Animal Contorno 6
AnimalEar3_Color	Orelha de Animal 3
Brow3	Sobrancelha 3
Glasses_Lens3	Óculos Lens 3
EarringB5_Color	Brinco 10
LaptopLight2	Luz do Computador Portátil 2
PhoneScreenPattern1	Tela do Celular 1
TailF2_Color	Rabo 16
LaptopLight1	Luz do Computador Portátil 1
AnimalEar7_Color	Orelha de Animal 7
AnimalEar9_Color	Orelha de Animal 9
HairBang7_Middle_Outline	Franja do Cabelo >< Contorno 13 + 14
Hairband6_Color	Faixa de Cabelo B 4
AnimalEar2_Back_Outline	Orelha de Animal Contorno 2 .1
HairClip1_Color	Grampo de Cabelo 1
EarringB2_Outline	Brinco Contorno 7
Middle_Color	Mão 1 .7
AnimalEar5_Outline	Orelha de Animal Contorno 5
Hairband2_Color	Faixa de Cabelo A 2
AnimalEar1_Front_Color	Orelha de Animal 1
Chopstick	Hashi
AnimalEar2_Front_Color	Orelha de Animal 2
EarringB3_Outline	Brinco Contorno 8
TailF1_Color	Rabo 15
AnimalEar4_Color	Orelha de Animal 4
HairBang4_Side_Color	Franja do Cabelo 7
SideHairB7_Gradient	Cabelo Lateral 30
SideHairB1_Color	Cabelo Lateral 17
FacialHair_A7_Color	Pêlos faciais A 7
HairClip4_Outline	Grampo de Cabelo Contorno 4
EarringB1_Outline	Brinco Contorno 6
Index_Color	Mão 1 .8
PiercingA5_Outline	Perfuração Contorno 5
TailF1_Outline	Contorno do Rabo 15
AnimalEar1_Fur_Outline	Orelha de Animal Pelo Contorno 1
TailE3_Color	Rabo 14
AnimalEar1_Back_Color	Orelha de Animal 1 .1
AnimalEar2_Fur_Outline	Orelha de Animal Pelo Contorno 2
CupSteam	Vapor do Copo
AnimalEar2_Back_Color	Orelha de Animal 2 .1
AnimalEar8_Color	Orelha de Animal 8
EarringB4_Outline	Brinco Contorno 9
FacialHair_A8_Outline	Contorno A dos pêlos faciais 8
SideHairB7_Color	Cabelo Lateral 29
SideHairA4_Color	Cabelo Lateral 7
SideHairB1_Gradient	Cabelo Lateral 18
BackHair3_Color	Cabelo de Trás 5
Pigtail_A5_Color	Rabo de Cavalo 9
Pigtail_A5_Gradient	Rabo de Cavalo 10
Pigtail_A2_Outline	Rabo de Cavalo Contorno 3 + 4
HairShine6_Outline	Contorno do Cabelo Brilhante 12
Antenna1_Outline	Antena Contorno 1
AlertLike_Outline	Contorno do Alerta de Figurinha 4
FacialHair_A5_Outline	Contorno A dos pêlos faciais 5
Horn5_Outline	Chifre Contorno 5
FrameHair_A8_Color	Emolduração do Cabelo 15
FrameHair_A8_Gradient	Emolduração do Cabelo 16
FrameHair_Top_Color	Emolduração do Cabelo top
HairBang5_Middle_Color	Franja do Cabelo >< 9
HairShine1_Outline	Contorno do Cabelo Brilhante 2
WingG1_Inner_Outline	Asa Contorno 10 .2
VideoCamera	Câmera de Vídeo
FrameHair_A7_Gradient	Emolduração do Cabelo 14
FrameHair_A7_Color	Emolduração do Cabelo 13
Index_Outline	Mão 1 .9
Mouth	Boca
TailC3_Outline	Contorno do Rabo 10
Wing2_Outline	Asa Orelha Contorno 2
Wing1_Color	Asa Orelha Contorno 1
WingC1_Upper_Color	Asa Contorno 5 .1
Main7_Color	Roupa Interior 7
HairHighlight3_Color	Mechas do Cabelo 3 << + 3 >>
HairHighlight4_Outline	Mechas do Cabelo >< Contorno 1 + 2
ErrorPopup	Para de funcionar
TrashBinLid	Lixeira 2
BackHair1_Outline	Cabelo de Trás Contorno 1 + 2
BackHair2_Outline	Cabelo de Trás Contorno 3 + 4
Horn6_Color	Chifre 6
HairBang7_Middle_Color	Franja do Cabelo >< 13
little_Outline	Mão 1 .10
HornF1_Outline	Chifre Frontal Contorno 1
TailC2_Outline	Contorno do Rabo 9
Outer2_Outline	Contorno da Roupa Exterior 2
BackHair3_Outline	Cabelo de Trás Contorno 5 + 6
Tongue_Shadow	Lingua Sombra
Blush	Rosto Corado
FacialHair_B5_Color	Pêlos faciais B 5 
Knife	Babando (Garfo & Faca) 2
HairBang3_Side_Outline	Franja do Cabelo Contorno 5 + 6
HairBang5_Side_Outline	Franja do Cabelo Contorno 9 + 10
Horn7_Outline	Chifre Contorno 7
PopcornBucket	Comer (pipoca) 1
Pigtail_A3_Outline	Rabo de Cavalo Contorno 5 + 6
Collar7_Color	Gola 8
Hairband3_Color	Faixa de Cabelo B 1
Hammer	Martelo
TailE3_Outline	Contorno do Rabo 14
HairBang6_Side_Outline	Franja do Cabelo Contorno 11 + 12
HairBang2_Side_Outline	Franja do Cabelo Contorno 3 + 4
HairShine7_Outline	Contorno do Cabelo Brilhante 14
EyepatchBandage_Color	Tapa-olho 5 + 6
EyepatchBandage_Outline	Contorno do tapa-olho 5 + 6
HairbandBack1_Color	Faixa de Cabelo D 1
Hairband4_Outline	Contorno da Faixa de Cabelo B 2
KeyboardKeyA	Escrevendo Normal 1
Thumb_Outline	Mão 1 .11
FacialHair_B3_Color	Pêlos faciais B 3
Hairband2_Outline	Contorno da Faixa de Cabelo A 2
HairbandBack1_Outline	Contorno da Faixa de Cabelo D 1
TailB3_Color	Rabo 5
FrameHair_A7_Outline	Emolduração do Cabelo Contorno 13 + 14
FrameHair_A10_Color	Emolduração do Cabelo 19
FrameHair_A10_Gradient	Emolduração do Cabelo 20
FrameHair_A11_Outline	Emolduração do Cabelo Contorno 21 + 22
FrameHair_A9_Color	Emolduração do Cabelo 17
FacialHair_A3_Color	Pêlos faciais A 3
BackHair1_Color	Cabelo de Trás 1
Laptop	Computador Portátil
SignRound	Sinal Redondo
HairBang1_Side_Color	Franja do Cabelo 1
HairBang4_Side_Gradient	Franja do Cabelo 8
HairBang5_Side_Color	Franja do Cabelo 9
BackHair2_Color	Cabelo de Trás 3
Pigtail_A6_Outline	Rabo de Cavalo Contorno 11 + 12
Pigtail_A7_Outline	Rabo de Cavalo Contorno 13 + 14
Watermelon	Coma (melancia)
Cheek2	Bochecha 2
HairClip6_Color	Grampo de Cabelo 6
Spoon	Chegada (com Colher)
Tape	Fita
HatB2_Outline	Contorno do Chapéu 4
HairShine2_Outline	Contorno do Cabelo Brilhante 4
HairBang1_Side_Gradient	Franja do Cabelo 2
HairBang2_Side_Color	Franja do Cabelo 3
HairBang5_Side_Gradient	Franja do Cabelo 10
BackHair2_Gradient	Cabelo de Trás 4
FrameHair_B3_Outline	Emolduração do Cabelo Contorno 28
FaceFeatureC1	Característica facial C 1
Pigtail_A8_Color	Rabo de Cavalo 15
NeckwearB4_Color	Acessório de Pescoço B 4
WingE1_Lower_Color	Asa 8 .3
PhoneScreen	Tela do Celular 3
AngrySteam	Figurinha Vapor
Outer1_Color	Roupa Exterior 1
SideHair_Branch_C2_Outline	Mechas Laterais do Cabelo C Contorno 2
Hairband4_Color	Faixa de Cabelo B 2
Pigtail_A3_Color	Rabo de Cavalo 5
BackHair3_Gradient	Cabelo de Trás 6
HairBang2_Side_Gradient	Franja do Cabelo 4
PixelSunglasses	Óculos de sol pixelados
HatB1_Color	Chapéu 3
FacialHair_B3_Outline	Contorno B dos pêlos faciais 3
CapeBack1_Color	Cabo de volta 1
HairShine1_Color	Cabelo Brilhante 1 + 2
Palmar_Color	Mão 1 .12
Ahoge_B1_Color	Cabelo Ahoge 5
HatA2_Outline	Contorno do Chapéu 2
Pigtail_A5_Outline	Rabo de Cavalo Contorno 9 + 10
Pigtail_A3_Gradient	Rabo de Cavalo 6
HairBang3_Side_Color	Franja do Cabelo 5
HairBang3_Side_Gradient	Franja do Cabelo 6
HairShine4_Outline	Contorno do Cabelo Brilhante 8
BackHair1_Gradient	Cabelo de Trás 2
SignSquare	Sinal Quadrado
Horn4_Outline	Chifre 4
PonytailB1_Gradient	Rabo de cavalo de cabelo 12
PonytailB1_Color	Rabo de cavalo de cabelo 11
FrameHair_A1_Outline	Emolduração do Cabelo Contorno 1 + 2
Collar7_Outline	Contorno da Gola 8
NeckwearA3_Outline	Acessório de Pescoço A Contorno 3
NeckwearA2_Outline	Acessório de Pescoço A Contorno 2
TailA1_Outline	Contorno do Rabo 1
Horn3_Outline	Chifre Contorno 3
Pigtail_A8_Gradient	Rabo de Cavalo 16
SunglassesReflection	Reflexão de óculos de sol
NeckwearA6_Color	Acessório de Pescoço A 6
Tie2_Outline	Acessório de Pescoço C Contorno 2
Halo4_Color	Auréola 5 + 6
FrameHair_A6_Color	Emolduração do Cabelo 11
Middle_Outline	Mão 1 .13
RedPacketCoin2	Pacote Vermelho 3
NeckwearB5_Color	Acessório de Pescoço B 5
Eye1_HighlightCry	Olho 1 | Choro
Collar3_Color	Gola 3
TailC3_Color	Rabo 10
ElfEar_Color	Orelha 1.1
Surprise	Figurinha Surpreso
Gill3_Outline	Contorno da Brânquia 1 .3
Pigtail_A4_Gradient	Rabo de Cavalo 8
Pigtail_A1_Color	Rabo de Cavalo 1
Eye_U	Dormindo (UU)
Cockroach	Barata
Halo3_Outline	Contorno da Auréola 3
Wing3_Outline	Asa Orelha Contorno 3
Halo4_Outline	Contorno da Auréola 5 + 6
Wing3_Color	Asa Orelha 3
WingD1_Outline	Asa Contorno 6
FacialHair_A1_Color	Pêlos faciais A 1
Ghost	Figurinha Fantasma
Hairband7_Outline	Contorno da Faixa de Cabelo C 1
Horn6_Outline	Chifre Contorno 6
HairHighlight3_Outline	Mechas do Cabelo Contorno 3 << + 3 >>
Glasses_Frame2	Óculos 2
NeckwearA4_Outline	Acessório de Pescoço A Contorno 4
Ear_Color	Orelha 1
HatB2_Color	Chapéu 4
FacialHair_A4_Outline	Contorno A dos pêlos faciais 4
PonytailB1_Outline	Contorno de rabo de cavalo de cabelo 11 + 12
Collar1_Color	Gola 1
CapeBack3_Outline	Cabo de volta | Contorno do Cabo 3
Pigtail_A1_Outline	Rabo de Cavalo Contorno 1 + 2
Tie2_Color	Acessório de Pescoço C 2
TailE1_Color	Rabo 12
PatHand	Carinho Mão
Main6_Outline	Contorno da Roupa Interior 6
Pigtail_A6_Color	Rabo de Cavalo 11
Card	Reverter
FacialHair_A8_Color	Pêlos faciais A 8
CapeBack2_Outline	Cabo de volta | Contorno do Cabo 2
CapeFront6_Color	Frente do Cabo 6
PonytailB2_Gradient	Rabo de cavalo de cabelo 14
Megaphone	Megafone
Glasses_Frame1	Óculos 1
Pigtail_B1_Outline	Rabo de Cavalo Contorno 17 + 18
Eye1_Dollar	Olho Dolar 1 + 2
FaceFeatureA1	Característica facial A 1
Eye1_Heart	Olho Coração 1 + 2
Collar2_Color	Gola 2
Pigtail_A6_Gradient	Rabo de Cavalo 12
FrameHair_B3_Gradient	Emolduração do Cabelo 28
FrameHair_B3_Color	Emolduração do Cabelo 27
FrameHair_TopBack_Outline	Emolduração do Cabelo top Contorno 2
Horn5_Color	Chifre 5
Fork	Babando (Garfo & Faca) 1
SteeringWheel	Volante
Hairband1_Color	Faixa de Cabelo A 1
HatB3_Outline	Contorno do Chapéu 5
FrameHair_A4_Color	Emolduração do Cabelo 7
NeckwearB3_Color	Acessório de Pescoço B 3
HammerEffect1	Martelo 1
HairHighlight6_Color	Mechas do Cabelo >< 5 + 6
Pigtail_B2_Outline	Rabo de Cavalo Contorno 19 + 20
WingF1_Upper_Outline	Asa Contorno 9 .1
Pigtail_A2_Gradient	Rabo de Cavalo 4
RedPacketCoin3	Pacote Vermelho 2
FrameHair_A9_Gradient	Emolduração do Cabelo 18
TrashBin	Lixeira 1
FacialHair_A2_Outline	Contorno A dos pêlos faciais 2
Tongue1	Lamber | Lingua
HairShine4_Color	Cabelo Brilhante 7 + 8
Toilet	Banheiro
FrameHair_A5_Gradient	Emolduração do Cabelo 10
CapeFront6_Outline	Frente do Cabo | Contorno do Cabo 6
FrameHair_A5_Color	Emolduração do Cabelo 9
CapeBack2_Color	Cabo de volta 2
SunGlasses_Lens	Óculos de sol Lens
FrameHair_A9_Outline	Emolduração do Cabelo Contorno 17 + 18
Main8_Outline	Contorno da Roupa Interior 8
Pigtail_A4_Color	Rabo de Cavalo 7
KeyboardKeyB	Escrevendo Normal 2
Tie3_Color	Acessório de Pescoço C 3
Nose2	Nariz 2
FacialHair_A5_Color	Pêlos faciais A 5
AlertCustom_Color	Alerta de Figurinha 2
AlertCustom_Outline	Contorno do Alerta de Figurinha 2
SideHair_Branch_A2_Outline	Mechas Laterais do Cabelo A Contorno 2
Horn1_Color	Chifre 1
Outer3_Outline	Contorno da Roupa Exterior 3
SideHair_Branch_B1_Outline	Mechas Laterais do Cabelo B Contorno 1
ElfEar_Outline	Orelha Contorno 1.1
Outer4_Color	Roupa Exterior 4
Outer3_Color	Roupa Exterior 3
HairHighlight5_Outline	Mechas do Cabelo >< Contorno 3 +4
SideHair_Branch_C1_Outline	Mechas Laterais do Cabelo C Contorno 1
Stylus	Caneta
Tear2_Outline	Lágrima do Olho 3
Donut1	Rosquinha 1
Donut2	Rosquinha 2
SideHair_Branch_A1_Outline	Mechas Laterais do Cabelo A Contorno 1
Eye1_Light	Olho Iris Clara 1 + 2
Angry2	Figurinha Raiva 2
WingF1_Upper_Color	Asa 9 .1
NeckwearB2_Color	Acessório de Pescoço B 1 + 2
SideHair_Branch_A1_Color	Mechas Laterais do Cabelo A 1
SignRoundText1	Sinal Redondo com Texto
