SpriteName	Zh-Hant
NeckwearB7_Color	服裝 頸部裝飾 B 7
Donut3	甜甜圈 3
NeckwearB5_Outline	服裝 頸部裝飾 B 輪廓 5
StickyNoteText	表情貼紙 便利貼 文字
SideHairA6_Gradient	頭髮 側面 12
PonytailA4_Gradient	頭髮馬尾辮 8
Ahoge_A4_Color	頭髮呆毛 4
Gill2_Color	鰓 1 .2
FacialHair_A7_Outline	鬍子 A 輪廓 7
HatC1_Color	帽子 6 + 7
SideHairA5_Color	頭髮 側面 9
LightStickHandle	螢光棒 把手
Eye1_Spiral	眼睛 圈圈 1 + 2
EasterEgg2	復活節 2
EasterEgg1	復活節 1
HairClip5_Outline	髮夾 輪廓 5
SideHairA8_Color	頭髮 側面 15
HairHighlight2_Outline	挑染 輪廓 2 << + 2 >>
Ahoge_A2_Color	頭髮呆毛 2
SideHairB7_Outline	頭髮 側面 輪廓 29 + 30
AlertBits_Outline	表情貼紙 通知/提示 輪廓 6
SunGlasses_Frame	太陽鏡
PonytailA4_Color	頭髮馬尾辮 7
HairHighlight2_Color	挑染 2 << + 2 >>
SideHairA5_Gradient	頭髮 側面 10
SideHairA6_Color	頭髮 側面 11
HairbandBack2_Color	髮帶 D 2
NeckwearB1_Outline	服裝 頸部裝飾 B 輪廓 2
HairClip3_Outline	髮夾 輪廓 3
Bill2	鈔票 2
Volume	表情貼紙 音量
FrameHair_A1_Color	頭髮 臉頰 1 
FrameHair_A2_Gradient	頭髮 臉頰 2 
Pigtail_C2_Color	頭髮 馬尾 23
Pigtail_C2_Gradient	頭髮 馬尾 24
WingF1_Lower_Outline	翅膀 輪廓 9 .2
Glasses_Frame3	眼鏡 3
WingA2_Outline	翅膀 輪廓 2
PalmarGlove1_Outline	手 2 .1
Eye1_Sparkling	眼睛 星星 1
SideHairB2_Color	頭髮 側面 19
SideHairB2_Gradient	頭髮 側面 20
SideHairA1_Outline	頭髮 側面 輪廓 1 + 2
EarringA3_Color	耳環 3
EarringA4_Color	耳環 4
TailF_Outline	尾巴 輪廓 15 + 16 + 17 + 18 + 24 + 25
Halo2_Outline	光環 輪廓 2
HairBang4_Side_Outline	頭髮 瀏海 輪廓 7 + 8
TailD1_Outline	尾巴 輪廓 11
Pigtail_A8_Outline	頭髮 馬尾 輪廓 15 + 16
HairBang4_Middle_Outline	頭髮 瀏海 >< 輪廓 4
SideHairB2_Outline	頭髮 側面 輪廓 19 + 20
ShakeLine2	害怕 2
EarringB2_Color	耳環 7
TailA2_Color	尾巴 2
TailF_Color	尾巴 15 + 16 + 17 + 18 + 24 + 25
SideHairB6_Color	頭髮 側面 27
Controller	手柄
HairBang3_Middle_Gradient	頭髮 瀏海 >< 6
HairBang3_Middle_Color	頭髮 瀏海 >< 5
Horn4_Color	角 4
HatD1_Color	帽子 8
PonytailA1_Gradient	頭髮馬尾辮 2
SideHairB4_Outline	頭髮 側面 輪廓 23 + 24
SideHairB6_Gradient	頭髮 側面 28
EarringA4_Outline	耳環 輪廓 4
PopperConfetti1	彩色紙屑 1
Collar1_Outline	服裝 領子 輪廓 1
FacialHair_B5_Outline	鬍子 B 輪廓 5
EarringA2_Outline	耳環 輪廓 2
TailF4_Outline	尾巴 輪廓 18
LightStickLight	螢光棒
HatA1_Outline	帽子 輪廓 1 + 2
SideHairB1_Outline	頭髮 側面 輪廓 17 + 18
HairClip3_Color	髮夾 3
NeckwearA4_Color	服裝 頸部裝飾 A 4
NeckwearA5_Color	服裝 頸部裝飾 A 5
WingC1_Lower_Outline	翅膀 輪廓 5 .2
FrameHair_A2_Outline	頭髮 臉頰 輪廓 3 + 4
HatB1_Outline	帽子 輪廓 3
MagicWand	魔法
HairBang2_Middle_Color	頭髮 瀏海 >< 3
HairBang2_Middle_Gradient	頭髮 瀏海 >< 4
Hairband5_Color	髮帶 B 3
TailE2_Outline	尾巴 輪廓 13
Brow5	眉毛 5
Tie1_Color	服裝 頸部裝飾 C 1
WingF1_Lower_Color	翅膀 9 .2
FrameHair_A4_Outline	頭髮 臉頰 輪廓 7 + 8
PryBar	撬棍
FacialHair_A2_Color	鬍子 A 2
Outer2_Color	服裝 外側 2
Tie3_Outline	服裝 頸部裝飾 C 輪廓 3
TailB4_Outline	尾巴 輪廓 6
HairShine3_Outline	頭髮 高光 輪廓 6
AlertHeart_Color	表情貼紙 通知/提示 1
WingD2_Lower_Outline	翅膀 輪廓 7 .2
SideHairA1_Color	頭髮 側面 1
HatA1_Color	帽子 1 + 2
SideHairB3_Color	頭髮 側面 21
FrameHair_A11_Gradient	頭髮 臉頰 22
FrameHair_A11_Color	頭髮 臉頰 21
SideHairB4_Gradient	頭髮 側面 24
SideHairA4_Outline	頭髮 側面 輪廓 7 + 8
SideHairA1_Gradient	頭髮 側面 2
CapeFront2_Color	披風 前 2
CapeFront5_Color	披風 前 5
CapeFront2_Outline	披風 前 | 鬥篷 輪廓 2
SideHairB3_Outline	頭髮 側面 輪廓 21 + 22
SideHairB4_Color	頭髮 側面 23
SideHairB5_Gradient	頭髮 側面 26
TailB5_Color	尾巴 7
WingC1_Upper_Outline	翅膀 輪廓 5 .1
Mecha3_Outline	機械 輪廓 3
HairHighlight1_Color	挑染 1 << + 1 >> 
LoveLetter	情書
Hairband6_Outline	髮帶 B 輪廓 4
MusicalNote1	音樂 音符 1
PiercingA2_Outline	耳釘 輪廓 2
StrawLiquid_Outline	飲料杯 2
Eyepatch2_Color	眼罩 3 + 4
AnimalEar2_Front_Outline	獸耳 輪廓 2
AnimalEar1_Fur_Color	獸耳 毛 1
EarringB3_Color	耳環 8
Pigtail_A7_Gradient	頭髮 馬尾 14
AnimalEar5_Color	獸耳 5
EarringB4_Color	耳環 4
HairClip2_Color	髮夾 2
Glasses_Lens2	眼鏡 Lens 2
HairBang6_Side_Gradient	頭髮 瀏海 12
HairBang3_Middle_Outline	頭髮 瀏海 >< 輪廓 5 + 6
AnimalEar9_Outline	獸耳 輪廓 9
HatB3_Color	帽子 5
PiercingA1_Outline	耳釘 輪廓 1
Brow8	眉毛 8
HairClip1_Outline	髮夾 輪廓 1
Eyepatch1_Color	眼罩 1 + 2
NeckwearA1_Color	服裝 頸部裝飾 A 1
Eye1_Eyelash	眼睛 睫毛 1 + 2
ShakeLine3	害怕 3
WingE1_Upper_Outline	翅膀 輪廓 8 .1
PopperConfetti3	彩色紙屑 3
Star	表情貼紙 星星
HairBang1_Middle_Outline	頭髮 瀏海 >< 輪廓 1 + 2
SideHairA4_Gradient	頭髮 側面 8
PiercingA3_Outline	耳釘 輪廓 3
FaceFeatureB4	臉部特徵 B 4
EarringA3_Outline	耳環 輪廓 3
TailF4_Color	尾巴 18
AnimalEar2_Fur_Color	獸耳 毛 2
AnimalEar3_Outline	獸耳 輪廓 3
Straw	飲料杯 4
AnimalEar8_Outline	獸耳 輪廓 8
AnimalEar6_Color	獸耳 6
TailF3_Color	尾巴 17
EarringB5_Outline	耳環 輪廓 10
HairClip12_Color	髮夾 12
Collar6_Color	服裝 領子 內側 6 + 7
AnimalEar6_Outline	獸耳 輪廓 6
AnimalEar3_Color	獸耳 3
Brow3	眉毛 3
Glasses_Lens3	眼鏡 Lens 3
EarringB5_Color	耳環 10
LaptopLight2	電腦 螢幕光 2
PhoneScreenPattern1	手機 螢幕 1
TailF2_Color	尾巴 16
LaptopLight1	電腦 螢幕光 1
AnimalEar7_Color	獸耳 7
AnimalEar9_Color	獸耳 9
HairBang7_Middle_Outline	頭髮 瀏海 >< 輪廓 13 + 14
Hairband6_Color	髮帶 B 4
AnimalEar2_Back_Outline	獸耳 輪廓 2 .1
HairClip1_Color	髮夾 1
EarringB2_Outline	耳環 輪廓 7
Middle_Color	手 1 .7
AnimalEar5_Outline	獸耳 輪廓 5
Hairband2_Color	髮帶 A 2
AnimalEar1_Front_Color	獸耳 1
Chopstick	筷子
AnimalEar2_Front_Color	獸耳 2
EarringB3_Outline	耳環 輪廓 8
TailF1_Color	尾巴 15
AnimalEar4_Color	獸耳 4
HairBang4_Side_Color	頭髮 瀏海 7
SideHairB7_Gradient	頭髮 側面 30
SideHairB1_Color	頭髮 側面 17
FacialHair_A7_Color	鬍子 A 7
HairClip4_Outline	髮夾 輪廓 4
EarringB1_Outline	耳環 輪廓 6
Index_Color	手 1 .8
PiercingA5_Outline	耳釘 輪廓 5
TailF1_Outline	尾巴 輪廓 15
AnimalEar1_Fur_Outline	獸耳 毛輪廓 1
TailE3_Color	尾巴 14
AnimalEar1_Back_Color	獸耳 1 .1
AnimalEar2_Fur_Outline	獸耳 毛輪廓 2
CupSteam	咖啡杯 蒸汽
AnimalEar2_Back_Color	獸耳 2 .1
AnimalEar8_Color	獸耳 8
EarringB4_Outline	耳環 輪廓 9
FacialHair_A8_Outline	鬍子 A 輪廓 8
SideHairB7_Color	頭髮 側面 29
SideHairA4_Color	頭髮 側面 7
SideHairB1_Gradient	頭髮 側面 18
BackHair3_Color	頭髮 後側 5
Pigtail_A5_Color	頭髮 馬尾 9
Pigtail_A5_Gradient	頭髮 馬尾 10
Pigtail_A2_Outline	頭髮 馬尾 輪廓 3 + 4
HairShine6_Outline	頭髮 高光 輪廓 12
Antenna1_Outline	觸角 輪廓 1
AlertLike_Outline	表情貼紙 通知/提示 輪廓 4
FacialHair_A5_Outline	鬍子 A 輪廓 5
Horn5_Outline	角 輪廓 5
FrameHair_A8_Color	頭髮 臉頰 15
FrameHair_A8_Gradient	頭髮 臉頰 16
FrameHair_Top_Color	頭髮 臉頰 Top
HairBang5_Middle_Color	頭髮 瀏海 >< 9
HairShine1_Outline	頭髮 高光 輪廓 2
WingG1_Inner_Outline	翅膀 輪廓 10 .2
VideoCamera	攝影機
FrameHair_A7_Gradient	頭髮 臉頰 14
FrameHair_A7_Color	頭髮 臉頰 13
Index_Outline	手 1 .9
Mouth	嘴
TailC3_Outline	尾巴 輪廓 10
Wing2_Outline	翅膀耳朵 輪廓 2
Wing1_Color	翅膀耳朵 輪廓 1
WingC1_Upper_Color	翅膀 輪廓 5 .1
Main7_Color	服裝 內側 7
HairHighlight3_Color	挑染 3 << + 3 >>
HairHighlight4_Outline	挑染 >< 輪廓 1 + 2
ErrorPopup	停止工作
TrashBinLid	垃圾桶 2
BackHair1_Outline	頭髮 後側 輪廓 1 + 2
BackHair2_Outline	頭髮 後側 輪廓 3 + 4
Horn6_Color	角 6
HairBang7_Middle_Color	頭髮 瀏海 >< 13
little_Outline	手 1 .10
HornF1_Outline	角 前 輪廓 1
TailC2_Outline	尾巴 輪廓 9
Outer2_Outline	服裝 外側 輪廓 2
BackHair3_Outline	頭髮 後側 輪廓 5 + 6
Tongue_Shadow	舌頭 陰影
Blush	臉紅
FacialHair_B5_Color	鬍子 B 5 
Knife	嘴饞(刀叉) 2
HairBang3_Side_Outline	頭髮 瀏海 輪廓 5 + 6
HairBang5_Side_Outline	頭髮 瀏海 輪廓 9 + 10
Horn7_Outline	角 輪廓 7
PopcornBucket	喫(爆米花) 1
Pigtail_A3_Outline	頭髮 馬尾 輪廓 5 + 6
Collar7_Color	服裝 領子 內側 8
Hairband3_Color	髮帶 B 1
Hammer	錘子
TailE3_Outline	尾巴 輪廓 14
HairBang6_Side_Outline	頭髮 瀏海 輪廓 11 + 12
HairBang2_Side_Outline	頭髮 瀏海 輪廓 3 + 4
HairShine7_Outline	頭髮 高光 輪廓 14
EyepatchBandage_Color	眼罩 5 + 6
EyepatchBandage_Outline	眼罩輪廓 5 + 6
HairbandBack1_Color	髮帶 D 1
Hairband4_Outline	髮帶 B 輪廓 2
KeyboardKeyA	打字(普通) 1
Thumb_Outline	手 1 .11
FacialHair_B3_Color	鬍子 B 3
Hairband2_Outline	髮帶 A 輪廓 2
HairbandBack1_Outline	髮帶 D 輪廓 1
TailB3_Color	尾巴 5
FrameHair_A7_Outline	頭髮 臉頰 輪廓 13 + 14
FrameHair_A10_Color	頭髮 臉頰 19
FrameHair_A10_Gradient	頭髮 臉頰 20
FrameHair_A11_Outline	頭髮 臉頰 輪廓 21 + 22
FrameHair_A9_Color	頭髮 臉頰 17
FacialHair_A3_Color	鬍子 A 3
BackHair1_Color	頭髮 後側 1
Laptop	電腦
SignRound	圓形標牌
HairBang1_Side_Color	頭髮 瀏海 1
HairBang4_Side_Gradient	頭髮 瀏海 8
HairBang5_Side_Color	頭髮 瀏海 9
BackHair2_Color	頭髮 後側 3
Pigtail_A6_Outline	頭髮 馬尾 輪廓 11 + 12
Pigtail_A7_Outline	頭髮 馬尾 輪廓 13 + 14
Watermelon	喫(西瓜)
Cheek2	臉頰 2
HairClip6_Color	髮夾 6
Spoon	到達(拿湯匙)
Tape	膠帶
HatB2_Outline	帽子 輪廓 4
HairShine2_Outline	頭髮 高光 輪廓 4
HairBang1_Side_Gradient	頭髮 瀏海 2
HairBang2_Side_Color	頭髮 瀏海 3
HairBang5_Side_Gradient	頭髮 瀏海 10
BackHair2_Gradient	頭髮 後側 4
FrameHair_B3_Outline	頭髮 臉頰 輪廓 28
FaceFeatureC1	臉部特徵 C 1
Pigtail_A8_Color	頭髮 馬尾 15
NeckwearB4_Color	服裝 頸部裝飾 B 4
WingE1_Lower_Color	翅膀 8 .3
PhoneScreen	手機 螢幕 3
AngrySteam	表情貼紙 氣
Outer1_Color	服裝 外側 1
SideHair_Branch_C2_Outline	頭髮 側面分叉 C 輪廓 2
Hairband4_Color	髮帶 B 2
Pigtail_A3_Color	頭髮 馬尾 5
BackHair3_Gradient	頭髮 後側 6
HairBang2_Side_Gradient	頭髮 瀏海 4
PixelSunglasses	畫素太陽鏡
HatB1_Color	帽子 3
FacialHair_B3_Outline	鬍子 B 輪廓 3
CapeBack1_Color	披風 後 1
HairShine1_Color	頭髮 高光 1 + 2
Palmar_Color	手 1 .12
Ahoge_B1_Color	頭髮呆毛 5
HatA2_Outline	帽子 輪廓 2
Pigtail_A5_Outline	頭髮 馬尾 輪廓 9 + 10
Pigtail_A3_Gradient	頭髮 馬尾 6
HairBang3_Side_Color	頭髮 瀏海 5
HairBang3_Side_Gradient	頭髮 瀏海 6
HairShine4_Outline	頭髮 高光 輪廓 8
BackHair1_Gradient	頭髮 後側 2
SignSquare	方形標牌
Horn4_Outline	角 4
PonytailB1_Gradient	頭髮馬尾辮 12
PonytailB1_Color	頭髮馬尾辮 11
FrameHair_A1_Outline	頭髮 臉頰 輪廓 1 + 2
Collar7_Outline	服裝 領子 輪廓 8
NeckwearA3_Outline	服裝 頸部裝飾 A 輪廓 3
NeckwearA2_Outline	服裝 頸部裝飾 A 輪廓 2
TailA1_Outline	尾巴 輪廓 1
Horn3_Outline	角 輪廓 3
Pigtail_A8_Gradient	頭髮 馬尾 16
SunglassesReflection	太陽鏡反光
NeckwearA6_Color	服裝 頸部裝飾 A 6
Tie2_Outline	服裝 頸部裝飾 C 輪廓 2
Halo4_Color	光環 5 + 6
FrameHair_A6_Color	頭髮 臉頰 11
Middle_Outline	手 1 .13
RedPacketCoin2	紅包 3
NeckwearB5_Color	服裝 頸部裝飾 B 5
Eye1_HighlightCry	眼睛 1 | 哭
Collar3_Color	服裝 領子 內側 3
TailC3_Color	尾巴 10
ElfEar_Color	耳朵 1.1
Surprise	表情貼紙 驚嚇
Gill3_Outline	鰓 輪廓 1 .3
Pigtail_A4_Gradient	頭髮 馬尾 8
Pigtail_A1_Color	頭髮 馬尾 1
Eye_U	睡覺 (UU)
Cockroach	蟑螂
Halo3_Outline	光環 輪廓 3
Wing3_Outline	翅膀耳朵 輪廓 3
Halo4_Outline	光環 輪廓 5 + 6
Wing3_Color	翅膀耳朵 3
WingD1_Outline	翅膀 輪廓 6
FacialHair_A1_Color	鬍子 A 1
Ghost	表情貼紙 幽靈
Hairband7_Outline	髮帶 C 輪廓 1
Horn6_Outline	角 輪廓 6
HairHighlight3_Outline	挑染 輪廓 3 << + 3 >>
Glasses_Frame2	眼鏡 2
NeckwearA4_Outline	服裝 頸部裝飾 A 輪廓 4
Ear_Color	耳朵 1
HatB2_Color	帽子 4
FacialHair_A4_Outline	鬍子 A 輪廓 4
PonytailB1_Outline	頭髮馬尾辮輪廓 11 + 12
Collar1_Color	服裝 領子 內側 1
CapeBack3_Outline	披風 後 | 鬥篷 輪廓 3
Pigtail_A1_Outline	頭髮 馬尾 輪廓 1 + 2
Tie2_Color	服裝 頸部裝飾 C 2
TailE1_Color	尾巴 12
PatHand	摸頭手
Main6_Outline	服裝 內側 輪廓 6
Pigtail_A6_Color	頭髮 馬尾 11
Card	反向
FacialHair_A8_Color	鬍子 A 8
CapeBack2_Outline	披風 後 | 鬥篷 輪廓 2
CapeFront6_Color	披風 前 6
PonytailB2_Gradient	頭髮馬尾辮 14
Megaphone	擴音器
Glasses_Frame1	眼鏡 1
Pigtail_B1_Outline	頭髮 馬尾 輪廓 17 + 18
Eye1_Dollar	眼睛 錢 1 + 2
FaceFeatureA1	臉部特徵 A 1
Eye1_Heart	眼睛 愛心 1 + 2
Collar2_Color	服裝 領子 內側 2
Pigtail_A6_Gradient	頭髮 馬尾 12
FrameHair_B3_Gradient	頭髮 臉頰 28
FrameHair_B3_Color	頭髮 臉頰 27
FrameHair_TopBack_Outline	頭髮 臉頰 top 輪廓 2
Horn5_Color	角 5
Fork	嘴饞(刀叉) 1
SteeringWheel	方向盤
Hairband1_Color	髮帶 A 1
HatB3_Outline	帽子 輪廓 5
FrameHair_A4_Color	頭髮 臉頰 7
NeckwearB3_Color	服裝 頸部裝飾 B 3
HammerEffect1	錘子 1
HairHighlight6_Color	挑染 >< 5 + 6
Pigtail_B2_Outline	頭髮 馬尾 輪廓 19 + 20
WingF1_Upper_Outline	翅膀 輪廓 9 .1
Pigtail_A2_Gradient	頭髮 馬尾 4
RedPacketCoin3	紅包 2
FrameHair_A9_Gradient	頭髮 臉頰 18
TrashBin	垃圾桶 1
FacialHair_A2_Outline	反向
Tongue1	舔舔 | 舌頭
HairShine4_Color	頭髮 高光 7 + 8
Toilet	馬桶
FrameHair_A5_Gradient	頭髮 臉頰 10
CapeFront6_Outline	披風 前 | 鬥篷 輪廓 6
FrameHair_A5_Color	頭髮 臉頰 9
CapeBack2_Color	披風 後 2
SunGlasses_Lens	太陽眼鏡 Lens
FrameHair_A9_Outline	頭髮 臉頰 輪廓 17 + 18
Main8_Outline	服裝 內側 輪廓 8
Pigtail_A4_Color	頭髮 馬尾 7
KeyboardKeyB	打字(普通) 2
Tie3_Color	服裝 頸部裝飾 C 3
Nose2	鼻子 2
FacialHair_A5_Color	鬍子 A 5
AlertCustom_Color	表情貼紙 通知/提示 2
AlertCustom_Outline	表情貼紙 通知/提示 輪廓 2
SideHair_Branch_A2_Outline	頭髮 側面分叉 A 輪廓 2
Horn1_Color	角 1
Outer3_Outline	服裝 外側 輪廓 3
SideHair_Branch_B1_Outline	頭髮 側面分叉 B 輪廓 1
ElfEar_Outline	耳朵 輪廓 1.1
Outer4_Color	服裝 外側 4
Outer3_Color	服裝 外側 3
HairHighlight5_Outline	挑染 >< 輪廓 3 +4
SideHair_Branch_C1_Outline	頭髮 側面分叉 C 輪廓 1
Stylus	手寫筆
Tear2_Outline	眼睛 眼淚 3
Donut1	甜甜圈 1
Donut2	甜甜圈 2
SideHair_Branch_A1_Outline	頭髮 側面分叉 A 輪廓 1
Eye1_Light	眼睛 虹膜淺色 1 + 2
Angry2	表情貼紙 生氣 2
WingF1_Upper_Color	翅膀 9 .1
NeckwearB2_Color	服裝 頸部裝飾 B 1 + 2
SideHair_Branch_A1_Color	頭髮 側面分叉 A 1
SignRoundText1	圓形標牌 文字
Collar2_Outline	服裝 領子 輪廓 2
MusicalNote2	音樂 音符 2
FacialHair_B4_Color	鬍子 B 4
Mecha2_Color	機械 2
Six	六號
PointHand	指人手
HairClip8_Color	髮夾 8
FaceFeatureB1	臉部特徵 B 1
Pigtail_B2_Gradient	頭髮 馬尾 20
Main8_Color	服裝 內側 8
Tear2_Color	眼睛 眼淚 2
Eye3_Dark	眼睛 虹膜深色 3
Outer4_Outline	服裝 外側 輪廓 4
Glasses_Lens1	眼鏡 Lens 1
WingA3_Outline	翅膀 輪廓 3
Ahoge_B2_Color	頭髮呆毛 6
CapeFront1_Outline	披風 前 | 鬥篷 輪廓 1
Cake	蛋糕
WingD1_Color	翅膀 6
Pigtail_B1_Gradient	頭髮 馬尾 18
Outer7_Color	服裝 外側 7
Ahoge_B1_Outline	頭髮呆毛輪廓 5
HornM1_Outline	角 前 >< 輪廓 1
HornF2_Color	角 前 2
CapeFront4_Color	披風 前 4
FrameHair_Branch_A3_Color	頭髮 分叉 3
Main2_Outline	服裝 內側 輪廓 2
Wing1_Outline	翅膀耳朵 輪廓 1
WingD2_Upper_Outline	翅膀 輪廓 7 .1
Mecha4_Color	機械 4
Horn1_Outline	角 輪廓 1
WingA2_Color	翅膀 2
EasterEggBasket	復活節 4
Mecha4_Outline	機械 輪廓 4
Antenna2_Color	觸角 2
Mecha1_Color	機械 1
