SpriteName	Tr
PiercingA4_Color	Pirsing 4
PonytailA3_Color	Saç At Kuyruğu 5
PonytailA2_Gradient	Saç At Kuyruğu 4
AnimalEar7_Outline	Hayvan Kulağı Anahat 7
Brow6	Kaş 6
PopperConfetti2	Konfeti 2
Swatter	Sineklik
Fin1_Outline	Yüzgeç Anahat
HairShine3_Color	Saç Parıltısı 5 + 6
TailB1_Color	Kuyruk 3
HammerEffect2	Çekiç 2
Mecha1_Outline	Mecha Anahat 1
Pigtail_A4_Outline	Saç Topuzu Anahat 7 + 8
HatC1_Outline	Şapka Anahat 6 + 7
Pigtail_B1_Color	Saç Topuzu 17
Flash	Silah Işığı
Brow4	Kaş 4
CortisolMeterPointer	Dans (Low Cortisol) 1
Hand_Line1	El 1 .6
RedPacketCoin4	Kırmızı Paket 4
Cheek4	Yanak 4
FaceFeatureB3	Yüz Özelliği B 3
Brow2	Kaş 2
StickyNote	Yapışkan Not
Loading_Outline	İşaret Yükleniyor 2
Collar6_Outline	Kıyafet Yaka Anahat 6 + 7
CapeBack3_Color	Pelerin Arkası 3
SideHairB6_Outline	Saçın Yanı Anahat 27 + 28
PonytailA1_Outline	Saç At Kuyruğu Anahattı 1 + 2
PonytailA2_Color	Saç At Kuyruğu 3
SideHairA2_Color	Saçın Yanı 3
GiftBoxLid	Hediye 2
Collar4_Color	Kıyafet Yakası 4
WingE1_Upper_Color	Kanatlar 8 .1
WingA1_Color	Kanatlar 1
FrameHair_B4_Outline	Saç Ucu Anahat 29 + 30
FrameHair_Branch_A1_Color	Saç Kalkıklığı 1
SideHairA7_Gradient	Saçın Yanı 14
Wing2_Color	Kulak Kanadı 2
TailA1_Color	Kuyruk 1
Eye3_Heart	Göz Kalp 3
FrameHair_A8_Outline	Saç Ucu Anahat 15 + 16
DrawingTablet	Tablet
FaceFeatureA2	Yüz Özelliği A 2
PiercingA2_Color	Pirsing 2
Eye_Popcat_Highlight	Popcat | Göz Detayı
Hairband3_Outline	Saç Bandı B Anahat 1
NeckwearB6_Color	Boyun Takıları B 6
Mouth_Popcat1	Popcat | Ağız 1
Rose	Gül
HairbandBack2_Outline	Saç Bandı D Anahat 2
Mecha2_Outline	Mecha Anahat 2
SideHairA8_Gradient	Saçın Yanı 16
NeckwearB7_Color	Boyun Takıları B 7
Donut3	Çörek 3
NeckwearB5_Outline	Boyun Takıları B Anahat 5
StickyNoteText	Yapışkan Not Metni
SideHairA6_Gradient	Saçın Yanı 12
PonytailA4_Gradient	Saç At Kuyruğu 8
Ahoge_A4_Color	Ahoge Saçı 4
Gill2_Color	Solungaç 1 .2
FacialHair_A7_Outline	Sakal A Anahat 7
HatC1_Color	Şapka 6 + 7
SideHairA5_Color	Saçın Yanı 9
LightStickHandle	Işık Çubuğu Tutacağı
Eye1_Spiral	Göz Spiral 1 + 2
EasterEgg2	Paskalya 2
EasterEgg1	Paskalya 1
HairClip5_Outline	Saç Tokası Anahat 5
SideHairA8_Color	Saçın Yanı 15
HairHighlight2_Outline	Saç Detayı Anahat 2 << + 2 >>
Ahoge_A2_Color	Ahoge Saçı 2
SideHairB7_Outline	Saçın Yanı Anahat 29 + 30
AlertBits_Outline	Bildirim Sembolü Anahat 6
SunGlasses_Frame	Güneş Gözlüğü
PonytailA4_Color	Saç At Kuyruğu 7
HairHighlight2_Color	Saç Detayı 2 << + 2 >>
SideHairA5_Gradient	Saçın Yanı 10
SideHairA6_Color	Saçın Yanı 11
HairbandBack2_Color	Saç Bandı D 2
NeckwearB1_Outline	Boyun Takıları B Anahat 2
HairClip3_Outline	Saç Tokası Anahat 3
Bill2	Para 2
Volume	İşaret Ses
FrameHair_A1_Color	Saç Ucu 1 
FrameHair_A2_Gradient	Saç Ucu 2
Pigtail_C2_Color	Saç Topuzu 23
Pigtail_C2_Gradient	Saç Topuzu 24
WingF1_Lower_Outline	Kanatlar Anahat 9 .2
Glasses_Frame3	Gözlük 3
WingA2_Outline	Kanatlar Anahat 2
PalmarGlove1_Outline	El 2 .1
Eye1_Sparkling	Göz Parıltısı 1
SideHairB2_Color	Saçın Yanı 19
SideHairB2_Gradient	Saçın Yanı 20
SideHairA1_Outline	Saçın Yanı Anahat 1 + 2
EarringA3_Color	Küpe 3
EarringA4_Color	Küpe 4
TailF_Outline	Kuyruk Anahat 15 + 16 + 17 + 18 + 24 + 25
Halo2_Outline	Hale Anahat 2
HairBang4_Side_Outline	Kahkül Anahat 7 + 8
TailD1_Outline	Kuyruk Anahat 11
Pigtail_A8_Outline	Saç Topuzu Anahat 15 + 16
HairBang4_Middle_Outline	Kahkül >< Anahat 4
SideHairB2_Outline	Saçın Yanı Anahat 19 + 20
ShakeLine2	Korkmuş 2
EarringB2_Color	Küpe 7
TailA2_Color	Kuyruk 2
TailF_Color	Kuyruk 15 + 16 + 17 + 18 + 24 + 25
SideHairB6_Color	Saçın Yanı 27
Controller	Controller
HairBang3_Middle_Gradient	Kahkül >< 6
HairBang3_Middle_Color	Kahkül >< 5
Horn4_Color	Boynuz 4
HatD1_Color	Şapka 8
PonytailA1_Gradient	Saç At Kuyruğu 2
SideHairB4_Outline	Saçın Yanı Anahat 23 + 24
SideHairB6_Gradient	Saçın Yanı 28
EarringA4_Outline	Küpe Anahat 4
PopperConfetti1	Konfeti 1
Collar1_Outline	Kıyafet Yaka Anahat 1
FacialHair_B5_Outline	Sakal B Anahat 5
EarringA2_Outline	Küpe Anahat 2
TailF4_Outline	Kuyruk Anahat 18
LightStickLight	Işık Çubuğu
HatA1_Outline	Şapka Anahat 1 + 2
SideHairB1_Outline	Saçın Yanı Anahat 17 + 18
HairClip3_Color	Saç Tokası 3
NeckwearA4_Color	Boyun Takıları A 4
NeckwearA5_Color	Boyun Takıları A 5
WingC1_Lower_Outline	Kanatlar Anahat 5 .2
FrameHair_A2_Outline	Saç Ucu Anahat 3 + 4
HatB1_Outline	Şapka Anahat 3
MagicWand	Büyü
HairBang2_Middle_Color	Kahkül >< 3
HairBang2_Middle_Gradient	Kahkül >< 4
Hairband5_Color	Saç Bandı B 3
TailE2_Outline	Kuyruk Anahat 13
Brow5	Kaş 5
Tie1_Color	Boyun Takıları C 1
WingF1_Lower_Color	Kanatlar 9 .2
FrameHair_A4_Outline	Saç Ucu Anahat 7 + 8
PryBar	Levye
FacialHair_A2_Color	Sakal A 2
Outer2_Color	Kıyafet Dışı 2
Tie3_Outline	Boyun Takıları C Anahat 3
TailB4_Outline	Kuyruk Anahat 6
HairShine3_Outline	Saç Parıltısı Anahat 6
AlertHeart_Color	Bildirim Sembolü 1
WingD2_Lower_Outline	Kanatlar Anahat 7 .2
SideHairA1_Color	Saçın Yanı 1
HatA1_Color	Şapka 1 + 2
SideHairB3_Color	Saçın Yanı 21
FrameHair_A11_Gradient	Saç Ucu 22
FrameHair_A11_Color	Saç Ucu 21
SideHairB4_Gradient	Saçın Yanı 24
SideHairA4_Outline	Saçın Yanı Anahat 7 + 8
SideHairA1_Gradient	Saçın Yanı 2
CapeFront2_Color	Pelerin Önü 2
CapeFront5_Color	Pelerin Önü 5
CapeFront2_Outline	Pelerin Önü | Pelerin Anahat 2
SideHairB3_Outline	Saçın Yanı Anahat 21 + 22
SideHairB4_Color	Saçın Yanı 23
SideHairB5_Gradient	Saçın Yanı 26
TailB5_Color	Kuyruk 7
WingC1_Upper_Outline	Kanatlar Anahat 5 .1
Mecha3_Outline	Mecha Anahat 3
HairHighlight1_Color	Saç Detayı 1 << + 1 >> 
LoveLetter	Aşk Mektubu
Hairband6_Outline	Saç Bandı B Anahat 4
MusicalNote1	Müzik Notası 1
PiercingA2_Outline	Pirsing Anahat 2
StrawLiquid_Outline	Bardak 2
Eyepatch2_Color	Göz bandı 3 + 4
AnimalEar2_Front_Outline	Hayvan Kulağı Anahat 2
AnimalEar1_Fur_Color	Hayvan Kulağı Kürk 1
EarringB3_Color	Küpe 8
Pigtail_A7_Gradient	Saç Topuzu 14
AnimalEar5_Color	Hayvan Kulağı 5
EarringB4_Color	Küpe 4
HairClip2_Color	Saç Tokası 2
Glasses_Lens2	Gözlük Lens 2
HairBang6_Side_Gradient	Kahkül 12
HairBang3_Middle_Outline	Kahkül >< Anahat 5 + 6
AnimalEar9_Outline	Hayvan Kulağı Anahat 9
HatB3_Color	Şapka 5
PiercingA1_Outline	Pirsing Anahat 1
Brow8	Kaş 8
HairClip1_Outline	Saç Tokası Anahat 1
Eyepatch1_Color	Göz bandı 1 + 2
NeckwearA1_Color	Boyun Takıları A 1
Eye1_Eyelash	Kirpikler 1 + 2
ShakeLine3	Korkmuş 3
WingE1_Upper_Outline	Kanatlar Anahat 8 .1
PopperConfetti3	Konfeti 3
Star	İşaret Yıldız
HairBang1_Middle_Outline	Kahkül >< Anahat 1 + 2
SideHairA4_Gradient	Saçın Yanı 8
PiercingA3_Outline	Pirsing Anahat 3
FaceFeatureB4	Yüz Özelliği B 4
EarringA3_Outline	Küpe Anahat 3
TailF4_Color	Kuyruk 18
AnimalEar2_Fur_Color	Hayvan Kulağı Kürk 2
AnimalEar3_Outline	Hayvan Kulağı Anahat 3
Straw	Bardak 4
AnimalEar8_Outline	Hayvan Kulağı Anahat 8
AnimalEar6_Color	Hayvan Kulağı 6
TailF3_Color	Kuyruk 17
EarringB5_Outline	Küpe Anahat 10
HairClip12_Color	Saç Tokası 12
Collar6_Color	Kıyafet Yakası 6 + 7
AnimalEar6_Outline	Hayvan Kulağı Anahat 6
AnimalEar3_Color	Hayvan Kulağı 3
Brow3	Kaş 3
Glasses_Lens3	Gözlük Lens 3
EarringB5_Color	Küpe 10
LaptopLight2	Dizüstü Bilgisayar Işığı 2
PhoneScreenPattern1	Telefon Ekranı 1
TailF2_Color	Kuyruk 16
LaptopLight1	Dizüstü Bilgisayar Işığı 1
AnimalEar7_Color	Hayvan Kulağı 7
AnimalEar9_Color	Hayvan Kulağı 9
HairBang7_Middle_Outline	Kahkül >< Anahat 13 + 14
Hairband6_Color	Saç Bandı B 4
AnimalEar2_Back_Outline	Hayvan Kulağı Anahat 2 .1
HairClip1_Color	Saç Tokası 1
EarringB2_Outline	Küpe Anahat 7
Middle_Color	El 1 .7
AnimalEar5_Outline	Hayvan Kulağı Anahat 5
Hairband2_Color	Saç Bandı A 2
AnimalEar1_Front_Color	Hayvan Kulağı 1
Chopstick	Chopstick
AnimalEar2_Front_Color	Hayvan Kulağı 2
EarringB3_Outline	Küpe Anahat 8
TailF1_Color	Kuyruk 15
AnimalEar4_Color	Hayvan Kulağı 4
HairBang4_Side_Color	Kahkül 7
SideHairB7_Gradient	Saçın Yanı 30
SideHairB1_Color	Saçın Yanı 17
FacialHair_A7_Color	Sakal A 7
HairClip4_Outline	Saç Tokası Anahat 4
EarringB1_Outline	Küpe Anahat 6
Index_Color	El 1 .8
PiercingA5_Outline	Pirsing Anahat 5
TailF1_Outline	Kuyruk Anahat 15
AnimalEar1_Fur_Outline	Hayvan Kulağı Kürk Anahat 1
TailE3_Color	Kuyruk 14
AnimalEar1_Back_Color	Hayvan Kulağı 1 .1
AnimalEar2_Fur_Outline	Hayvan Kulağı Kürk Anahat 2
CupSteam	Kupa Buharı
AnimalEar2_Back_Color	Hayvan Kulağı 2 .1
AnimalEar8_Color	Hayvan Kulağı 8
EarringB4_Outline	Küpe Anahat 9
FacialHair_A8_Outline	Sakal A Anahat 8
SideHairB7_Color	Saçın Yanı 29
SideHairA4_Color	Saçın Yanı 7
SideHairB1_Gradient	Saçın Yanı 18
BackHair3_Color	Saçın Arkası 5
Pigtail_A5_Color	Saç Topuzu 9
Pigtail_A5_Gradient	Saç Topuzu 10
Pigtail_A2_Outline	Saç Topuzu Anahat 3 + 4
HairShine6_Outline	Saç Parıltısı Anahat 12
Antenna1_Outline	Anten Anahat 1
AlertLike_Outline	Bildirim Sembolü Anahat 4
FacialHair_A5_Outline	Sakal A Anahat 5
Horn5_Outline	Boynuz Anahat 5
FrameHair_A8_Color	Saç Ucu 15
FrameHair_A8_Gradient	Saç Ucu 16
FrameHair_Top_Color	Saç Ucu top
HairBang5_Middle_Color	Kahkül >< 9
HairShine1_Outline	Saç Parıltısı Anahat 2
WingG1_Inner_Outline	Kanatlar Anahat 10 .2
VideoCamera	Video kamera
FrameHair_A7_Gradient	Saç Ucu 14
FrameHair_A7_Color	Saç Ucu 13
Index_Outline	El 1 .9
Mouth	Ağız
TailC3_Outline	Kuyruk Anahat 10
Wing2_Outline	Kulak Kanadı Anahat 2
Wing1_Color	Kulak Kanadı Anahat 1
WingC1_Upper_Color	Kanatlar Anahat 5 .1
Main7_Color	Kıyafet İçi 7
HairHighlight3_Color	Saç Detayı 3 << + 3 >>
HairHighlight4_Outline	Saç Detayı >< Anahat 1 + 2
ErrorPopup	Hata Verdim
TrashBinLid	Çöp Kutusu 2
BackHair1_Outline	Saçın Arkası Anahat 1 + 2
BackHair2_Outline	Saçın Arkası Anahat 3 + 4
Horn6_Color	Boynuz 6
HairBang7_Middle_Color	Kahkül >< 13
little_Outline	El 1 .10
HornF1_Outline	Ön Boynuz Anahat 1
TailC2_Outline	Kuyruk Anahat 9
Outer2_Outline	Kıyafet Dışı Anahat 2
BackHair3_Outline	Saçın Arkası Anahat 5 + 6
Tongue_Shadow	Dil Gölgesi
Blush	Yüz Kızarklığı
FacialHair_B5_Color	Sakal B 5 
Knife	Ağzım Sulandı (Çatal ve Bıçak) 2
HairBang3_Side_Outline	Kahkül Anahat 5 + 6
HairBang5_Side_Outline	Kahkül Anahat 9 + 10
Horn7_Outline	Boynuz Anahat 7
PopcornBucket	Yemek (Patlamış mısır) 1
Pigtail_A3_Outline	Saç Topuzu Anahat 5 + 6
Collar7_Color	Kıyafet Yakası 8
Hairband3_Color	Saç Bandı B 1
Hammer	Çekiç
TailE3_Outline	Kuyruk Anahat 14
HairBang6_Side_Outline	Kahkül Anahat 11 + 12
HairBang2_Side_Outline	Kahkül Anahat 3 + 4
HairShine7_Outline	Saç Parıltısı Anahat 14
EyepatchBandage_Color	Göz bandı 5 + 6
EyepatchBandage_Outline	Göz Bandı Anahattı 5 + 6
HairbandBack1_Color	Saç Bandı D 1
Hairband4_Outline	Saç Bandı B Anahat 2
KeyboardKeyA	Yaz Normal 1
Thumb_Outline	El 1 .11
FacialHair_B3_Color	Sakal B 3
Hairband2_Outline	Saç Bandı A Anahat 2
HairbandBack1_Outline	Saç Bandı D Anahat 1
TailB3_Color	Kuyruk 5
FrameHair_A7_Outline	Saç Ucu Anahat 13 + 14
FrameHair_A10_Color	Saç Ucu 19
FrameHair_A10_Gradient	Saç Ucu 20
FrameHair_A11_Outline	Saç Ucu Anahat 21 + 22
FrameHair_A9_Color	Saç Ucu 17
FacialHair_A3_Color	Sakal A 3
BackHair1_Color	Saçın Arkası 1
Laptop	Dizüstü Bilgisayar
SignRound	Yuvarlak İşaret
HairBang1_Side_Color	Kahkül 1
HairBang4_Side_Gradient	Kahkül 8
HairBang5_Side_Color	Kahkül 9
BackHair2_Color	Saçın Arkası 3
Pigtail_A6_Outline	Saç Topuzu Anahat 11 + 12
Pigtail_A7_Outline	Saç Topuzu Anahat 13 + 14
Watermelon	Yemek (Karpuz)
Cheek2	Yanak 2
HairClip6_Color	Saç Tokası 6
Spoon	Geldim (Kaşık)
Tape	Bant
HatB2_Outline	Şapka Anahat 4
HairShine2_Outline	Saç Parıltısı Anahat 4
HairBang1_Side_Gradient	Kahkül 2
HairBang2_Side_Color	Kahkül 3
HairBang5_Side_Gradient	Kahkül 10
BackHair2_Gradient	Saçın Arkası 4
FrameHair_B3_Outline	Saç Ucu Anahat 28
FaceFeatureC1	Yüz Özelliği C 1
Pigtail_A8_Color	Saç Topuzu 15
NeckwearB4_Color	Boyun Takıları B 4
WingE1_Lower_Color	Kanatlar 8 .3
PhoneScreen	Telefon Ekranı 3
AngrySteam	İşaret Buhar
Outer1_Color	Kıyafet Dışı 1
SideHair_Branch_C2_Outline	Yan Saç Kalkıklığı C Anahat 2
Hairband4_Color	Saç Bandı B 2
Pigtail_A3_Color	Saç Topuzu 5
BackHair3_Gradient	Saçın Arkası 6
HairBang2_Side_Gradient	Kahkül 4
PixelSunglasses	Piksel Güneş Gözlüğü
HatB1_Color	Şapka 3
FacialHair_B3_Outline	Sakal B Anahat 3
CapeBack1_Color	Pelerin Arkası 1
HairShine1_Color	Saç Parıltısı 1 + 2
Palmar_Color	El 1 .12
Ahoge_B1_Color	Ahoge Saçı 5
HatA2_Outline	Şapka Anahat 2
Pigtail_A5_Outline	Saç Topuzu Anahat 9 + 10
Pigtail_A3_Gradient	Saç Topuzu 6
HairBang3_Side_Color	Kahkül 5
HairBang3_Side_Gradient	Kahkül 6
HairShine4_Outline	Saç Parıltısı Anahat 8
BackHair1_Gradient	Saçın Arkası 2
SignSquare	Kare İşaret
Horn4_Outline	Boynuz 4
PonytailB1_Gradient	Saç At Kuyruğu 12
PonytailB1_Color	Saç At Kuyruğu 11
FrameHair_A1_Outline	Saç Ucu Anahat 1 + 2
Collar7_Outline	Kıyafet Yaka Anahat 8
NeckwearA3_Outline	Boyun Takıları A Anahat 3
NeckwearA2_Outline	Boyun Takıları A Anahat 2
TailA1_Outline	Kuyruk Anahat 1
Horn3_Outline	Boynuz Anahat 3
Pigtail_A8_Gradient	Saç Topuzu 16
SunglassesReflection	Güneş Gözlüğü Yansıması
NeckwearA6_Color	Boyun Takıları A 6
Tie2_Outline	Boyun Takıları C Anahat 2
Halo4_Color	Hale 5 + 6
FrameHair_A6_Color	Saç Ucu 11
Middle_Outline	El 1 .13
RedPacketCoin2	Kırmızı Paket 3
NeckwearB5_Color	Boyun Takıları B 5
Eye1_HighlightCry	Gözler 1 | Ağla
Collar3_Color	Kıyafet Yakası 3
TailC3_Color	Kuyruk 10
ElfEar_Color	Kulaklar 1.1
Surprise	İşaret Sürpriz
Gill3_Outline	Solungaç Anahat 1 .3
Pigtail_A4_Gradient	Saç Topuzu 8
Pigtail_A1_Color	Saç Topuzu 1
Eye_U	Uyu (UU)
Cockroach	Hamamböceği
Halo3_Outline	Hale Anahat 3
Wing3_Outline	Kulak Kanadı Anahat 3
Halo4_Outline	Hale Anahat 5 + 6
Wing3_Color	Kulak Kanadı 3
WingD1_Outline	Kanatlar Anahat 6
FacialHair_A1_Color	Sakal A 1
Ghost	İşaret Hayalet
Hairband7_Outline	Saç Bandı C Anahat 1
Horn6_Outline	Boynuz Anahat 6
HairHighlight3_Outline	Saç Detayı Anahat 3 << + 3 >>
Glasses_Frame2	Gözlük 2
NeckwearA4_Outline	Boyun Takıları A Anahat 4
Ear_Color	Kulaklar 1
HatB2_Color	Şapka 4
FacialHair_A4_Outline	Sakal A Anahat 4
PonytailB1_Outline	Saç At Kuyruğu Anahattı 11 + 12
Collar1_Color	Kıyafet Yakası 1
CapeBack3_Outline	Pelerin Arkası | Pelerin Anahat 3
Pigtail_A1_Outline	Saç Topuzu Anahat 1 + 2
Tie2_Color	Boyun Takıları C 2
TailE1_Color	Kuyruk 12
PatHand	Okşayan El
Main6_Outline	Kıyafet İçi Anahat 6
Pigtail_A6_Color	Saç Topuzu 11
Card	Tersi
FacialHair_A8_Color	Sakal A 8
CapeBack2_Outline	Pelerin Arkası | Pelerin Anahat 2
CapeFront6_Color	Pelerin Önü 6
PonytailB2_Gradient	Saç At Kuyruğu 14
Megaphone	Megafon
Glasses_Frame1	Gözlük 1
Pigtail_B1_Outline	Saç Topuzu Anahat 17 + 18
Eye1_Dollar	Göz Paracık 1 + 2
FaceFeatureA1	Yüz Özelliği A 1
Eye1_Heart	Göz Kalp 1 + 2
Collar2_Color	Kıyafet Yakası 2
Pigtail_A6_Gradient	Saç Topuzu 12
FrameHair_B3_Gradient	Saç Ucu 28
FrameHair_B3_Color	Saç Ucu 27
FrameHair_TopBack_Outline	Saç Ucu top Anahat 2
Horn5_Color	Boynuz 5
Fork	Ağzım Sulandı (Çatal ve Bıçak) 1
SteeringWheel	Direksiyon
Hairband1_Color	Saç Bandı A 1
HatB3_Outline	Şapka Anahat 5
FrameHair_A4_Color	Saç Ucu 7
NeckwearB3_Color	Boyun Takıları B 3
HammerEffect1	Çekiç 1
HairHighlight6_Color	Saç Detayı >< 5 + 6
Pigtail_B2_Outline	Saç Topuzu Anahat 19 + 20
WingF1_Upper_Outline	Kanatlar Anahat 9 .1
Pigtail_A2_Gradient	Saç Topuzu 4
RedPacketCoin3	Kırmızı Paket 2
FrameHair_A9_Gradient	Saç Ucu 18
TrashBin	Çöp Kutusu 1
FacialHair_A2_Outline	Sakal A Anahat 2
Tongue1	Yala Yala | Dil
HairShine4_Color	Saç Parıltısı 7 + 8
Toilet	Tuvalet
FrameHair_A5_Gradient	Saç Ucu 10
CapeFront6_Outline	Pelerin Önü | Pelerin Anahat 6
FrameHair_A5_Color	Saç Ucu 9
CapeBack2_Color	Pelerin Arkası 2
SunGlasses_Lens	Güneş Gözlüğü Lens
FrameHair_A9_Outline	Saç Ucu Anahat 17 + 18
Main8_Outline	Kıyafet İçi Anahat 8
Pigtail_A4_Color	Saç Topuzu 7
KeyboardKeyB	Yaz Normal 2
Tie3_Color	Boyun Takıları C 3
Nose2	Burun 2
FacialHair_A5_Color	Sakal A 5
AlertCustom_Color	Bildirim Sembolü 2
AlertCustom_Outline	Bildirim Sembolü Anahat 2
SideHair_Branch_A2_Outline	Yan Saç Kalkıklığı A Anahat 2
Horn1_Color	Boynuz 1
Outer3_Outline	Kıyafet Dışı Anahat 3
SideHair_Branch_B1_Outline	Yan Saç Kalkıklığı B Anahat 1
ElfEar_Outline	Kulaklar Anahat 1.1
Outer4_Color	Kıyafet Dışı 4
Outer3_Color	Kıyafet Dışı 3
HairHighlight5_Outline	Saç Detayı >< Anahat 3 +4
SideHair_Branch_C1_Outline	Yan Saç Kalkıklığı C Anahat 1
Stylus	Çizim Tableti Kalemi
Tear2_Outline	Göz Yaşı 3
Donut1	Çörek 1
Donut2	Çörek 2
SideHair_Branch_A1_Outline	Yan Saç Kalkıklığı A Anahat 1
Eye1_Light	Göz İris Açıklığı 1 + 2
Angry2	İşaret Sinirli 2
WingF1_Upper_Color	Kanatlar 9 .1
NeckwearB2_Color	Boyun Takıları B 1 + 2
SideHair_Branch_A1_Color	Yan Saç Kalkıklığı A 1
SignRoundText1	Yuvarlak İşaret Metni
Collar2_Outline	Kıyafet Yaka Anahat 2
MusicalNote2	Müzik Notası 2
FacialHair_B4_Color	Sakal B 4
Mecha2_Color	Mecha 2
Six	Altı Numara
PointHand	İşaret Eden El
HairClip8_Color	Saç Tokası 8
FaceFeatureB1	Yüz Özelliği B 1
Pigtail_B2_Gradient	Saç Topuzu 20
Main8_Color	Kıyafet İçi 8
Tear2_Color	Göz Yaşı 2
Eye3_Dark	Göz İris Koyuluğu 3
Outer4_Outline	Kıyafet Dışı Anahat 4
Glasses_Lens1	Gözlük Lens 1
WingA3_Outline	Kanatlar Anahat 3
Ahoge_B2_Color	Ahoge Saçı 6
