SpriteName	Hu
Eye_Popcat_Light	Dum 3 | Szem | Popcat keret
CandleFire	Gyertya tűz
PiercingA4_Outline	Piercing Körvonal 4
NeckwearA2_Color	(Ruházat Nyakruha) Outfit Neckwear A 2
little_Color	Kéz 1 .5
PiercingA1_Color	Piercing 1
PhoneLight	Telefonfény
ShakeLine1	Félek 1
Eye2_Upperlid	Szempilla 2 .1
NeckwearA3_Color	(Ruházat Nyakruha) Outfit Neckwear A 3
Brow9	Szemöldök 9
EarringA1_Outline	Fülbevaló Vázlat 1
TailA2_Outline	Farok körvonala 2
Drooling	Nyálcsorgatás
PiercingA4_Color	Piercing 4
PonytailA3_Color	Haj lófarok 5
PonytailA2_Gradient	Haj lófarok 4
AnimalEar7_Outline	Állati fül Vázlat 7
Brow6	Szemöldök 6
PopperConfetti2	Konfetti 2
Swatter	Légycsapó
Fin1_Outline	Fin Vázlat
HairShine3_Color	Hajfény 5 + 6
TailB1_Color	Farok 3
HammerEffect2	Kalapács 2
Mecha1_Outline	Mecha körvonal 1
Pigtail_A4_Outline	Haj Pigtail (Hajfarok) Vázlat 7 + 8
HatC1_Outline	Kalap vázlat 6 + 7
Pigtail_B1_Color	Haj Pigtail (Hajfarok) 17
Flash	(Pisztolyvillanás) Gun Flash
Brow4	Szemöldök 4
CortisolMeterPointer	Tánc (alacsony kortizolszint) 1
Hand_Line1	Kéz 1 .6
RedPacketCoin4	(Piros csomag) RedPacket 4
Cheek4	(Orca) Pofa 4
FaceFeatureB3	Arcvonás B 3
Brow2	Szemöldök 2
StickyNote	(Öntapadó jegyzet) Sticky Note
Loading_Outline	Matrica betöltése 2
Collar6_Outline	Outfit gallér vázlat 6 + 7
CapeBack3_Color	(Köpeny hátulja) Cape Back 3
SideHairB6_Outline	Haj oldalsó körvonal 27 + 28
PonytailA1_Outline	Haj lófarok vázlat 1 + 2
PonytailA2_Color	Haj lófarok 3
SideHairA2_Color	Hajoldal 3
GiftBoxLid	Ajándék 2
Collar4_Color	Outfit gallér belső 4
WingE1_Upper_Color	Szárny 8 .1
WingA1_Color	Szárny 1
FrameHair_B4_Outline	Hajkeretezés Vázlat 29 + 30
FrameHair_Branch_A1_Color	Hajág 1
SideHairA7_Gradient	Hajoldal 14
Wing2_Color	Fülszárny 2
TailA1_Color	Farok 1
Eye3_Heart	Szem Szív 3
FrameHair_A8_Outline	Hajkeretezés Vázlat 15 + 16
DrawingTablet	Tabletta
FaceFeatureA2	Arcvonás A 2
PiercingA2_Color	Piercing 2
Eye_Popcat_Highlight	Popcat | Szemkiemelés
Hairband3_Outline	Hajpánt B körvonal 1
NeckwearB6_Color	(Ruházat Nyakruha) Outfit Neckwear B 6
Mouth_Popcat1	Popcat | Száj 1
Rose	Rózsa
HairbandBack2_Outline	Hajpánt D körvonal 2
Mecha2_Outline	Mecha körvonal 2
SideHairA8_Gradient	Hajoldal 16
NeckwearB7_Color	(Ruházat Nyakruha) Outfit Neckwear B 7
Donut3	Fánk 3
NeckwearB5_Outline	(Ruházat Nyakruha) Outfit Neckwear B körvonal 5
StickyNoteText	(Öntapadó jegyzet) Sticky Note szöveg
SideHairA6_Gradient	Hajoldal 12
PonytailA4_Gradient	Haj lófarok 8
Ahoge_A4_Color	Haj Ahoge 4
Gill2_Color	Kopoltyú 1 .2
FacialHair_A7_Outline	Arcszőrzet Vázlat A 7
HatC1_Color	Kalap 6 + 7
SideHairA5_Color	Hajoldal 9
LightStickHandle	(Fénypálca) Lightstick fogantyú
Eye1_Spiral	Szemspirál 1 + 2
EasterEgg2	húsvéti 2
EasterEgg1	húsvéti 1
HairClip5_Outline	Hajcsat Vázlat 5
SideHairA8_Color	Hajoldal 15
HairHighlight2_Outline	Hajkiemelés Vázlat 2 << + 2 >>
Ahoge_A2_Color	Haj Ahoge 2
SideHairB7_Outline	Haj oldalsó körvonal 29 + 30
AlertBits_Outline	Matrica figyelmeztetés vázlata 6
SunGlasses_Frame	Napszemüveg
PonytailA4_Color	Haj lófarok 7
HairHighlight2_Color	Hajkiemelés 2 << + 2 >>
SideHairA5_Gradient	Hajoldal 10
SideHairA6_Color	Hajoldal 11
HairbandBack2_Color	Hajpánt D 2
NeckwearB1_Outline	(Ruházat Nyakruha) Outfit Neckwear B körvonal 2
HairClip3_Outline	Hajcsat Vázlat 3
Bill2	Számla 2
Volume	Matrica kötet
FrameHair_A1_Color	Hajkeretezés 1 
FrameHair_A2_Gradient	Hajkeretezés 2 
Pigtail_C2_Color	Haj Pigtail (Hajfarok) 23
Pigtail_C2_Gradient	Haj Pigtail (Hajfarok) 24
WingF1_Lower_Outline	Szárny Vázlat 9 .2
Glasses_Frame3	Szemüveg 3
WingA2_Outline	Szárny Vázlat 2
PalmarGlove1_Outline	Kéz 2 .1
Eye1_Sparkling	Szem csillogó 1
SideHairB2_Color	Hajoldal 19
SideHairB2_Gradient	Hajoldal 20
SideHairA1_Outline	Haj oldalsó körvonal 1 + 2
EarringA3_Color	Fülbevaló 3
EarringA4_Color	Fülbevaló 4
TailF_Outline	Farok körvonala 15 + 16 + 17 + 18 + 24 + 25
Halo2_Outline	Halo Outline (Glória körvonal) 2
HairBang4_Side_Outline	(Hajfrizura) Hair Bang Vázlat 7 + 8
TailD1_Outline	Farok körvonala 11
Pigtail_A8_Outline	Haj Pigtail (Hajfarok) Vázlat 15 + 16
HairBang4_Middle_Outline	(Hajfrizura) Hair Bang >< Vázlat 4
SideHairB2_Outline	Haj oldalsó körvonal 19 + 20
ShakeLine2	Félek 2
EarringB2_Color	Fülbevaló 7
TailA2_Color	Farok 2
TailF_Color	Farok 15 + 16 + 17 + 18 + 24 + 25
SideHairB6_Color	Hajoldal 27
Controller	Vezérlő
HairBang3_Middle_Gradient	(Hajfrizura) Hair Bang >< 6
HairBang3_Middle_Color	(Hajfrizura) Hair Bang >< 5
Horn4_Color	Kürt 4
HatD1_Color	Kalap 8
PonytailA1_Gradient	Haj lófarok 2
SideHairB4_Outline	Haj oldalsó körvonal 23 + 24
SideHairB6_Gradient	Hajoldal 28
EarringA4_Outline	Fülbevaló Vázlat 4
PopperConfetti1	Konfetti 1
Collar1_Outline	Outfit gallér vázlat 1
FacialHair_B5_Outline	Arcszőrzet Vázlat B 5
EarringA2_Outline	Fülbevaló Vázlat 2
TailF4_Outline	Farok körvonala 18
LightStickLight	(Fénypálca) Light Stick
HatA1_Outline	Kalap vázlat 1 + 2
SideHairB1_Outline	Haj oldalsó körvonal 17 + 18
HairClip3_Color	Hajcsat 3
NeckwearA4_Color	(Ruházat Nyakruha) Outfit Neckwear A 4
NeckwearA5_Color	(Ruházat Nyakruha) Outfit Neckwear A 5
WingC1_Lower_Outline	Szárny Vázlat 5 .2
FrameHair_A2_Outline	Hajkeretezés Vázlat 3 + 4
HatB1_Outline	Kalap vázlat 3
MagicWand	Mágikus
HairBang2_Middle_Color	(Hajfrizura) Hair Bang >< 3
HairBang2_Middle_Gradient	(Hajfrizura) Hair Bang >< 4
Hairband5_Color	Hajpánt B 3
TailE2_Outline	Farok körvonala 13
Brow5	Szemöldök 5
Tie1_Color	(Ruházat Nyakruha) Outfit Neckwear C 1
WingF1_Lower_Color	Szárny 9 .2
FrameHair_A4_Outline	Hajkeretezés Vázlat 7 + 8
PryBar	Emelőrúd
FacialHair_A2_Color	Arcszőrzet A 2
Outer2_Color	(Külső ruházat) Outfit Outer 2
Tie3_Outline	(Ruházat Nyakruha) Outfit Neckwear C körvonal 3
TailB4_Outline	Farok körvonala 6
HairShine3_Outline	Hajfény vázlat 6
AlertHeart_Color	Matrica figyelmeztetés 1
WingD2_Lower_Outline	Szárny Vázlat 7 .2
SideHairA1_Color	Hajoldal 1
HatA1_Color	Kalap 1 + 2
SideHairB3_Color	Hajoldal 21
FrameHair_A11_Gradient	Hajkeretezés 22
FrameHair_A11_Color	Hajkeretezés 21
SideHairB4_Gradient	Hajoldal 24
SideHairA4_Outline	Haj oldalsó körvonal 7 + 8
SideHairA1_Gradient	Hajoldal 2
CapeFront2_Color	(Köpeny eleje) Cape Front 2
CapeFront5_Color	(Köpeny eleje) Cape Front 5
CapeFront2_Outline	(Köpeny eleje) Cape Front | (Köpeny) Cape körvonala 2
SideHairB3_Outline	Haj oldalsó körvonal 21 + 22
SideHairB4_Color	Hajoldal 23
SideHairB5_Gradient	Hajoldal 26
TailB5_Color	Farok 7
WingC1_Upper_Outline	Szárny Vázlat 5 .1
Mecha3_Outline	Mecha körvonal 3
HairHighlight1_Color	Hajkiemelés 1 << + 1 >> 
LoveLetter	Szerelmeslevél
Hairband6_Outline	Hajpánt B körvonal 4
MusicalNote1	Hangjegy 1
PiercingA2_Outline	Piercing Körvonal 2
StrawLiquid_Outline	Italpohár 2
Eyepatch2_Color	Szemtapasz 3 + 4
AnimalEar2_Front_Outline	Állati fül Vázlat 2
AnimalEar1_Fur_Color	Állati fül Szőrme 1
EarringB3_Color	Fülbevaló 8
Pigtail_A7_Gradient	Haj Pigtail (Hajfarok) 14
AnimalEar5_Color	Állati fül 5
EarringB4_Color	Fülbevaló 4
HairClip2_Color	Hajcsat 2
Glasses_Lens2	Szemüveg Lens 2
HairBang6_Side_Gradient	(Hajfrizura) Hair Bang 12
HairBang3_Middle_Outline	(Hajfrizura) Hair Bang >< Vázlat 5 + 6
AnimalEar9_Outline	Állati fül Vázlat 9
HatB3_Color	Kalap 5
PiercingA1_Outline	Piercing Körvonal 1
Brow8	Szemöldök 8
HairClip1_Outline	Hajcsat Vázlat 1
Eyepatch1_Color	Szemtapasz 1 + 2
NeckwearA1_Color	(Ruházat Nyakruha) Outfit Neckwear A 1
Eye1_Eyelash	Szempilla 1 + 2
ShakeLine3	Félek 3
WingE1_Upper_Outline	Szárny Vázlat 8 .1
PopperConfetti3	Konfetti 3
Star	Matrica csillag
HairBang1_Middle_Outline	(Hajfrizura) Hair Bang >< Vázlat 1 + 2
SideHairA4_Gradient	Hajoldal 8
PiercingA3_Outline	Piercing Körvonal 3
FaceFeatureB4	Arcvonás B 4
EarringA3_Outline	Fülbevaló Vázlat 3
TailF4_Color	Farok 18
AnimalEar2_Fur_Color	Állati fül Szőrme 2
AnimalEar3_Outline	Állati fül Vázlat 3
Straw	Italpohár 4
AnimalEar8_Outline	Állati fül Vázlat 8
AnimalEar6_Color	Állati fül 6
TailF3_Color	Farok 17
EarringB5_Outline	Fülbevaló Vázlat 10
HairClip12_Color	Hajcsat 12
Collar6_Color	Outfit gallér belső 6 + 7
AnimalEar6_Outline	Állati fül Vázlat 6
AnimalEar3_Color	Állati fül 3
Brow3	Szemöldök 3
Glasses_Lens3	Szemüveg Lens 3
EarringB5_Color	Fülbevaló 10
LaptopLight2	Laptop fény 2
PhoneScreenPattern1	Telefon képernyő 1
TailF2_Color	Farok 16
LaptopLight1	Laptop fény 1
AnimalEar7_Color	Állati fül 7
AnimalEar9_Color	Állati fül 9
HairBang7_Middle_Outline	(Hajfrizura) Hair Bang >< Vázlat 13 + 14
Hairband6_Color	Hajpánt B 4
AnimalEar2_Back_Outline	Állati fül Vázlat 2 .1
HairClip1_Color	Hajcsat 1
EarringB2_Outline	Fülbevaló Vázlat 7
Middle_Color	Kéz 1 .7
AnimalEar5_Outline	Állati fül Vázlat 5
Hairband2_Color	Hajpánt A 2
AnimalEar1_Front_Color	Állati fül 1
Chopstick	Pálcika
AnimalEar2_Front_Color	Állati fül 2
EarringB3_Outline	Fülbevaló Vázlat 8
TailF1_Color	Farok 15
AnimalEar4_Color	Állati fül 4
HairBang4_Side_Color	(Hajfrizura) Hair Bang 7
SideHairB7_Gradient	Hajoldal 30
SideHairB1_Color	Hajoldal 17
FacialHair_A7_Color	Arcszőrzet A 7
HairClip4_Outline	Hajcsat Vázlat 4
EarringB1_Outline	Fülbevaló Vázlat 6
Index_Color	Kéz 1 .8
PiercingA5_Outline	Piercing Körvonal 5
TailF1_Outline	Farok körvonala 15
AnimalEar1_Fur_Outline	Állati fül Szőrme körvonala 1
TailE3_Color	Farok 14
AnimalEar1_Back_Color	Állati fül 1 .1
AnimalEar2_Fur_Outline	Állati fül Szőrme körvonala 2
CupSteam	Kupa Steam (Csészegőz)
AnimalEar2_Back_Color	Állati fül 2 .1
AnimalEar8_Color	Állati fül 8
EarringB4_Outline	Fülbevaló Vázlat 9
FacialHair_A8_Outline	Arcszőrzet Vázlat A 8
SideHairB7_Color	Hajoldal 29
SideHairA4_Color	Hajoldal 7
SideHairB1_Gradient	Hajoldal 18
BackHair3_Color	Haj Hátsó 5
Pigtail_A5_Color	Haj Pigtail (Hajfarok) 9
Pigtail_A5_Gradient	Haj Pigtail (Hajfarok) 10
Pigtail_A2_Outline	Haj Pigtail (Hajfarok) Vázlat 3 + 4
HairShine6_Outline	Hajfény vázlat 12
Antenna1_Outline	Antenna Vázlat 1
AlertLike_Outline	Matrica figyelmeztetés vázlata 4
FacialHair_A5_Outline	Arcszőrzet Vázlat A 5
Horn5_Outline	Kürt Vázlat 5
FrameHair_A8_Color	Hajkeretezés 15
FrameHair_A8_Gradient	Hajkeretezés 16
FrameHair_Top_Color	Hair Framing Top
HairBang5_Middle_Color	(Hajfrizura) Hair Bang >< 9
HairShine1_Outline	Hajfény vázlat 2
WingG1_Inner_Outline	Szárny Vázlat 10 .2
VideoCamera	Videokamera
FrameHair_A7_Gradient	Hajkeretezés 14
FrameHair_A7_Color	Hajkeretezés 13
Index_Outline	Kéz 1 .9
Mouth	Száj
TailC3_Outline	Farok körvonala 10
Wing2_Outline	Fülszárny Vázlat 2
Wing1_Color	Fülszárny Vázlat 1
WingC1_Upper_Color	Szárny Vázlat 5 .1
Main7_Color	Outfit belső 7
HairHighlight3_Color	Hajkiemelés 3 << + 3 >>
HairHighlight4_Outline	Hajkiemelés >< Vázlat 1 + 2
ErrorPopup	Stops Working
TrashBinLid	Szemeteskosár 2
BackHair1_Outline	Haj hátsó körvonala 1 + 2
BackHair2_Outline	Haj hátsó körvonala 3 + 4
Horn6_Color	Kürt 6
HairBang7_Middle_Color	(Hajfrizura) Hair Bang >< 13
little_Outline	Kéz 1 .10
HornF1_Outline	Kürt Elöl Vázlat 1
TailC2_Outline	Farok körvonala 9
Outer2_Outline	(ruházat) Outfit külső körvonala 2
BackHair3_Outline	Haj hátsó körvonala 5 + 6
Tongue_Shadow	nyelv árnyék
Blush	Arcpirosító
FacialHair_B5_Color	Arcszőrzet B 5 
Knife	Nyálcsorgatás (villa és kés) 2
HairBang3_Side_Outline	(Hajfrizura) Hair Bang Vázlat 5 + 6
HairBang5_Side_Outline	(Hajfrizura) Hair Bang Vázlat 9 + 10
Horn7_Outline	Kürt Vázlat 7
PopcornBucket	Egyél (pattogatott kukorica) 1
Pigtail_A3_Outline	Haj Pigtail (Hajfarok) Vázlat 5 + 6
Collar7_Color	Outfit gallér belső 8
Hairband3_Color	Hajpánt B 1
Hammer	Kalapács
TailE3_Outline	Farok körvonala 14
HairBang6_Side_Outline	(Hajfrizura) Hair Bang Vázlat 11 + 12
HairBang2_Side_Outline	(Hajfrizura) Hair Bang Vázlat 3 + 4
HairShine7_Outline	Hajfény vázlat 14
EyepatchBandage_Color	Szemtapasz 5 + 6
EyepatchBandage_Outline	Szemtapasz körvonala 5 + 6
HairbandBack1_Color	Hajpánt D 1
Hairband4_Outline	Hajpánt B körvonal 2
KeyboardKeyA	Normál típus 1
Thumb_Outline	Kéz 1 .11
FacialHair_B3_Color	Arcszőrzet B 3
Hairband2_Outline	Hajpánt A körvonal 2
HairbandBack1_Outline	Hajpánt D körvonal 1
TailB3_Color	Farok 5
FrameHair_A7_Outline	Hajkeretezés Vázlat 13 + 14
FrameHair_A10_Color	Hajkeretezés 19
FrameHair_A10_Gradient	Hajkeretezés 20
FrameHair_A11_Outline	Hajkeretezés Vázlat 21 + 22
FrameHair_A9_Color	Hajkeretezés 17
FacialHair_A3_Color	Arcszőrzet A 3
BackHair1_Color	Haj Hátsó 1
Laptop	Laptop
SignRound	Kerek Jel
HairBang1_Side_Color	(Hajfrizura) Hair Bang 1
HairBang4_Side_Gradient	(Hajfrizura) Hair Bang 8
HairBang5_Side_Color	(Hajfrizura) Hair Bang 9
BackHair2_Color	Haj Hátsó 3
Pigtail_A6_Outline	Haj Pigtail (Hajfarok) Vázlat 11 + 12
Pigtail_A7_Outline	Haj Pigtail (Hajfarok) Vázlat 13 + 14
Watermelon	Egyél (görögdinnye)
Cheek2	(Orca) Pofa 2
HairClip6_Color	Hajcsat 6
Spoon	Érkezés (kanállal)
Tape	Szalag
HatB2_Outline	Kalap vázlat 4
HairShine2_Outline	Hajfény vázlat 4
HairBang1_Side_Gradient	(Hajfrizura) Hair Bang 2
HairBang2_Side_Color	(Hajfrizura) Hair Bang 3
HairBang5_Side_Gradient	(Hajfrizura) Hair Bang 10
BackHair2_Gradient	Haj Hátsó 4
FrameHair_B3_Outline	Hajkeretezés Vázlat 28
FaceFeatureC1	Arcvonás C 1
Pigtail_A8_Color	Haj Pigtail (Hajfarok) 15
NeckwearB4_Color	(Ruházat Nyakruha) Outfit Neckwear B 4
WingE1_Lower_Color	Szárny 8 .3
PhoneScreen	Telefon képernyő 3
AngrySteam	(Gőz) Steam matrica
Outer1_Color	(Külső ruházat) Outfit Outer 1
SideHair_Branch_C2_Outline	Haj oldalág körvonala C 2
Hairband4_Color	Hajpánt B 2
Pigtail_A3_Color	Haj Pigtail (Hajfarok) 5
BackHair3_Gradient	Haj Hátsó 6
HairBang2_Side_Gradient	(Hajfrizura) Hair Bang 4
PixelSunglasses	Pixel napszemüveg
HatB1_Color	Kalap 3
FacialHair_B3_Outline	Arcszőrzet Vázlat B 3
CapeBack1_Color	(Köpeny hátulja) Cape Back 1
HairShine1_Color	Hajfény 1 + 2
Palmar_Color	Kéz 1 .12
Ahoge_B1_Color	Haj Ahoge 5
HatA2_Outline	Kalap vázlat 2
Pigtail_A5_Outline	Haj Pigtail (Hajfarok) Vázlat 9 + 10
Pigtail_A3_Gradient	Haj Pigtail (Hajfarok) 6
HairBang3_Side_Color	(Hajfrizura) Hair Bang 5
HairBang3_Side_Gradient	(Hajfrizura) Hair Bang 6
HairShine4_Outline	Hajfény vázlat 8
BackHair1_Gradient	Haj Hátsó 2
SignSquare	Négyzet alakú jel
Horn4_Outline	Kürt 4
PonytailB1_Gradient	Haj lófarok 12
PonytailB1_Color	Haj lófarok 11
FrameHair_A1_Outline	Hajkeretezés Vázlat 1 + 2
Collar7_Outline	Outfit gallér vázlat 8
NeckwearA3_Outline	(Ruházat Nyakruha) Outfit Neckwear A körvonal 3
NeckwearA2_Outline	(Ruházat Nyakruha) Outfit Neckwear A körvonal 2
TailA1_Outline	Farok körvonala 1
Horn3_Outline	Kürt Vázlat 3
Pigtail_A8_Gradient	Haj Pigtail (Hajfarok) 16
SunglassesReflection	Napszemüveg Reflection (Napszemüveg tükörképe)
NeckwearA6_Color	(Ruházat Nyakruha) Outfit Neckwear A 6
Tie2_Outline	(Ruházat Nyakruha) Outfit Neckwear C körvonal 2
Halo4_Color	Halo (Glória) 5 + 6
FrameHair_A6_Color	Hajkeretezés 11
Middle_Outline	Kéz 1 .13
RedPacketCoin2	(Piros csomag) RedPacket 3
NeckwearB5_Color	(Ruházat Nyakruha) Outfit Neckwear B 5
Eye1_HighlightCry	Szem 1 | Sírás
Collar3_Color	Outfit gallér belső 3
TailC3_Color	Farok 10
ElfEar_Color	Fül 1.1
Surprise	Matrica Meglepetés
Gill3_Outline	Gill vázlat (Kopoltyúvázlat) 1 .3
Pigtail_A4_Gradient	Haj Pigtail (Hajfarok) 8
Pigtail_A1_Color	Haj Pigtail (Hajfarok) 1
Eye_U	Alvás (UU)
Cockroach	Csótány
Halo3_Outline	Halo Outline (Glória körvonal) 3
Wing3_Outline	Fülszárny Vázlat 3
Halo4_Outline	Halo Outline (Glória körvonal) 5 + 6
Wing3_Color	Fülszárny 3
WingD1_Outline	Szárny Vázlat 6
FacialHair_A1_Color	Arcszőrzet A 1
Ghost	Matrica Ghost (szellem)
Hairband7_Outline	Hajpánt C körvonal 1
Horn6_Outline	Kürt Vázlat 6
HairHighlight3_Outline	Hajkiemelés Vázlat 3 << + 3 >>
Glasses_Frame2	Szemüveg 2
NeckwearA4_Outline	(Ruházat Nyakruha) Outfit Neckwear A körvonal 4
Ear_Color	Fül 1
HatB2_Color	Kalap 4
FacialHair_A4_Outline	Arcszőrzet Vázlat A 4
PonytailB1_Outline	Haj lófarok vázlat 11 + 12
Collar1_Color	Outfit gallér belső 1
CapeBack3_Outline	(Köpeny hátulja) Cape Back | (Köpeny) Cape körvonala 3
Pigtail_A1_Outline	Haj Pigtail (Hajfarok) Vázlat 1 + 2
Tie2_Color	(Ruházat Nyakruha) Outfit Neckwear C 2
TailE1_Color	Farok 12
PatHand	(Simogató kéz) Pat Hand
Main6_Outline	Outfit belső körvonala 6
Pigtail_A6_Color	Haj Pigtail (Hajfarok) 11
Card	Reverse
FacialHair_A8_Color	Arcszőrzet A 8
CapeBack2_Outline	(Köpeny hátulja) Cape Back | (Köpeny) Cape körvonala 2
CapeFront6_Color	(Köpeny eleje) Cape Front 6
PonytailB2_Gradient	Haj lófarok 14
Megaphone	Megafon
Glasses_Frame1	Szemüveg 1
Pigtail_B1_Outline	Haj Pigtail (Hajfarok) Vázlat 17 + 18
Eye1_Dollar	Szem dollár 1 + 2
FaceFeatureA1	Arcvonás A 1
Eye1_Heart	Szem Szív 1 + 2
Collar2_Color	Outfit gallér belső 2
Pigtail_A6_Gradient	Haj Pigtail (Hajfarok) 12
FrameHair_B3_Gradient	Hajkeretezés 28
FrameHair_B3_Color	Hajkeretezés 27
FrameHair_TopBack_Outline	Hajkeretezés top Vázlat 2
Horn5_Color	Kürt 5
Fork	Nyálcsorgatás (villa és kés) 1
SteeringWheel	Kormánykerék
Hairband1_Color	Hajpánt A 1
HatB3_Outline	Kalap vázlat 5
FrameHair_A4_Color	Hajkeretezés 7
NeckwearB3_Color	(Ruházat Nyakruha) Outfit Neckwear B 3
HammerEffect1	Kalapács 1
HairHighlight6_Color	Hajkiemelés >< 5 + 6
Pigtail_B2_Outline	Haj Pigtail (Hajfarok) Vázlat 19 + 20
WingF1_Upper_Outline	Szárny Vázlat 9 .1
Pigtail_A2_Gradient	Haj Pigtail (Hajfarok) 4
RedPacketCoin3	(Piros csomag) RedPacket 2
FrameHair_A9_Gradient	Hajkeretezés 18
TrashBin	Szemeteskosár 1
FacialHair_A2_Outline	Arcszőrzet Vázlat A 2
Tongue1	Nyalás | nyelv
HairShine4_Color	Hajfény 7 + 8
Toilet	WC
FrameHair_A5_Gradient	Hajkeretezés 10
CapeFront6_Outline	(Köpeny eleje) Cape Front | (Köpeny) Cape körvonala 6
FrameHair_A5_Color	Hajkeretezés 9
CapeBack2_Color	(Köpeny hátulja) Cape Back 2
SunGlasses_Lens	Napszemüveg Lens
FrameHair_A9_Outline	Hajkeretezés Vázlat 17 + 18
Main8_Outline	Outfit belső körvonala 8
Pigtail_A4_Color	Haj Pigtail (Hajfarok) 7
KeyboardKeyB	Normál típus 2
Tie3_Color	(Ruházat Nyakruha) Outfit Neckwear C 3
Nose2	Orr 2
FacialHair_A5_Color	Arcszőrzet A 5
AlertCustom_Color	Matrica figyelmeztetés 2
AlertCustom_Outline	Matrica figyelmeztetés vázlata 2
SideHair_Branch_A2_Outline	Haj oldalág körvonala A 2
Horn1_Color	Kürt 1
Outer3_Outline	(ruházat) Outfit külső körvonala 3
SideHair_Branch_B1_Outline	Haj oldalág körvonala B 1
