SpriteName	Sv
FaceFeatureA2	Ansiktsfunktion A 2
PiercingA2_Color	Piercing 2
Eye_Popcat_Highlight	Popcat | Ögonhöjdpunkt
Hairband3_Outline	Hårband B Kontur 1
NeckwearB6_Color	Outfit Neckwear B 6
Mouth_Popcat1	Popcat | Mun 1
Rose	Ros
HairbandBack2_Outline	Hårband D Kontur 2
Mecha2_Outline	Meka Kontur 2
SideHairA8_Gradient	Hårsida 16
NeckwearB7_Color	Outfit Neckwear B 7
Donut3	Donut 3
NeckwearB5_Outline	Outfit Neckwear B Kontur 5
StickyNoteText	Fästislapp Text
SideHairA6_Gradient	Hårsida 12
PonytailA4_Gradient	Hår hästsvans 8
Ahoge_A4_Color	Hår Ahoge 4
Gill2_Color	Gill 1 .2
FacialHair_A7_Outline	Ansiktshår A Kontur 7
HatC1_Color	Hatt 6 + 7
SideHairA5_Color	Hårsida 9
LightStickHandle	Ljussticka handtag
Eye1_Spiral	Ögonspiral 1 + 2
EasterEgg2	påsk 2
EasterEgg1	påsk 1
HairClip5_Outline	Hårklämma Kontur 5
SideHairA8_Color	Hårsida 15
HairHighlight2_Outline	Hårhöjdpunkt Kontur 2 << + 2 >>
Ahoge_A2_Color	Hår Ahoge 2
SideHairB7_Outline	Hårsida Kontur 29 + 30
AlertBits_Outline	Klistermärke Alert Kontur 6
SunGlasses_Frame	Solglasögon
PonytailA4_Color	Hår hästsvans 7
HairHighlight2_Color	Hårhöjdpunkt 2 << + 2 >>
SideHairA5_Gradient	Hårsida 10
SideHairA6_Color	Hårsida 11
HairbandBack2_Color	Hårband D 2
NeckwearB1_Outline	Outfit Neckwear B Kontur 2
HairClip3_Outline	Hårklämma Kontur 3
Bill2	Fakturera 2
Volume	Dekalvolym
FrameHair_A1_Color	Hårinramning 1 
FrameHair_A2_Gradient	Hårinramning 2
Pigtail_C2_Color	Hår Pigtail 23
Pigtail_C2_Gradient	Hår Pigtail 24
WingF1_Lower_Outline	Vinge Kontur 9 .2
Glasses_Frame3	Glasögon 3
WingA2_Outline	Vinge Kontur 2
PalmarGlove1_Outline	Hand 2 .1
Eye1_Sparkling	Glittrande öga 1
SideHairB2_Color	Hårsida 19
SideHairB2_Gradient	Hårsida 20
SideHairA1_Outline	Hårsida Kontur 1 + 2
EarringA3_Color	Örhänge 3
EarringA4_Color	Örhänge 4
TailF_Outline	Svans Kontur 15 + 16 + 17 + 18 + 24 + 25
Halo2_Outline	Halo Kontur 2
HairBang4_Side_Outline	Hårlugg Kontur 7 + 8
TailD1_Outline	Svans Kontur 11
Pigtail_A8_Outline	Hår Pigtail Kontur 15 + 16
HairBang4_Middle_Outline	Hårlugg >< Kontur 4
SideHairB2_Outline	Hårsida Kontur 19 + 20
ShakeLine2	Rädd 2
EarringB2_Color	Örhänge 7
TailA2_Color	Svans 2
TailF_Color	Svans 15 + 16 + 17 + 18 + 24 + 25
SideHairB6_Color	Hårsida 27
Controller	Kontroller
HairBang3_Middle_Gradient	Hårlugg >< 6
HairBang3_Middle_Color	Hårlugg >< 5
Horn4_Color	Horn 4
HatD1_Color	Hatt 8
PonytailA1_Gradient	Hår hästsvans 2
SideHairB4_Outline	Hårsida Kontur 23 + 24
SideHairB6_Gradient	Hårsida 28
EarringA4_Outline	Örhänge Kontur 4
PopperConfetti1	Konfetti 1
Collar1_Outline	Outfit krage Kontur 1
FacialHair_B5_Outline	Ansiktshår B Kontur 5
EarringA2_Outline	Örhänge Kontur 2
TailF4_Outline	Svans Kontur 18
LightStickLight	Ljussticka
HatA1_Outline	Hatt Kontur 1 + 2
SideHairB1_Outline	Hårsida Kontur 17 + 18
HairClip3_Color	Hårklämma 3
NeckwearA4_Color	Outfit Neckwear A 4
NeckwearA5_Color	Outfit Neckwear A 5
WingC1_Lower_Outline	Vinge Kontur 5 .2
FrameHair_A2_Outline	Hårinramning Kontur 3 + 4
HatB1_Outline	Hatt Kontur 3
MagicWand	Magi
HairBang2_Middle_Color	Hårlugg >< 3
HairBang2_Middle_Gradient	Hårlugg >< 4
Hairband5_Color	Hårband B 3
TailE2_Outline	Svans Kontur 13
Brow5	Bryn 5
Tie1_Color	Outfit Neckwear C 1
WingF1_Lower_Color	Vinge 9 .2
FrameHair_A4_Outline	Hårinramning Kontur 7 + 8
PryBar	Kofot
FacialHair_A2_Color	Ansiktshår A 2
Outer2_Color	Outfit yttre 2
Tie3_Outline	Outfit Neckwear C Kontur 3
TailB4_Outline	Svans Kontur 6
HairShine3_Outline	Hårglans Kontur 6
AlertHeart_Color	Klistermärke Alert 1
WingD2_Lower_Outline	Vinge Kontur 7 .2
SideHairA1_Color	Hårsida 1
HatA1_Color	Hatt 1 + 2
SideHairB3_Color	Hårsida 21
FrameHair_A11_Gradient	Hårinramning 22
FrameHair_A11_Color	Hårinramning 21
SideHairB4_Gradient	Hårsida 24
SideHairA4_Outline	Hårsida Kontur 7 + 8
SideHairA1_Gradient	Hårsida 2
CapeFront2_Color	Framsidan av en kappa 2
CapeFront5_Color	Framsidan av en kappa 5
CapeFront2_Outline	Framsidan av en kappa | Kappa Kontur 2
SideHairB3_Outline	Hårsida Kontur 21 + 22
SideHairB4_Color	Hårsida 23
SideHairB5_Gradient	Hårsida 26
TailB5_Color	Svans 7
WingC1_Upper_Outline	Vinge Kontur 5 .1
Mecha3_Outline	Meka Kontur 3
HairHighlight1_Color	Hårhöjdpunkt 1 << + 1 >> 
LoveLetter	Kärleksbrev
Hairband6_Outline	Hårband B Kontur 4
MusicalNote1	Musiknot 1
PiercingA2_Outline	Piercing Kontur 2
StrawLiquid_Outline	Dryckeskopp 2
Eyepatch2_Color	Ögonlapp 3 + 4
AnimalEar2_Front_Outline	Djuröra Kontur 2
AnimalEar1_Fur_Color	Djuröra Päls 1
EarringB3_Color	Örhänge 8
Pigtail_A7_Gradient	Hår Pigtail 14
AnimalEar5_Color	Djuröra 5
EarringB4_Color	Örhänge 4
HairClip2_Color	Hårklämma 2
Glasses_Lens2	Glasögon Lens 2
HairBang6_Side_Gradient	Hårlugg 12
HairBang3_Middle_Outline	Hårlugg >< Kontur 5 + 6
AnimalEar9_Outline	Djuröra Kontur 9
HatB3_Color	Hatt 5
PiercingA1_Outline	Piercing Kontur 1
Brow8	Bryn 8
HairClip1_Outline	Hårklämma Kontur 1
Eyepatch1_Color	Ögonlapp 1 + 2
NeckwearA1_Color	Outfit Neckwear A 1
Eye1_Eyelash	Ögonfransar 1 + 2
ShakeLine3	Rädd 3
WingE1_Upper_Outline	Vinge Kontur 8 .1
PopperConfetti3	Konfetti 3
Star	Klistermärke Stjärna
HairBang1_Middle_Outline	Hårlugg >< Kontur 1 + 2
SideHairA4_Gradient	Hårsida 8
PiercingA3_Outline	Piercing Kontur 3
FaceFeatureB4	Ansiktsfunktion B 4
EarringA3_Outline	Örhänge Kontur 3
TailF4_Color	Svans 18
AnimalEar2_Fur_Color	Djuröra Päls 2
AnimalEar3_Outline	Djuröra Kontur 3
Straw	Dryckeskopp 4
AnimalEar8_Outline	Djuröra Kontur 8
AnimalEar6_Color	Djuröra 6
TailF3_Color	Svans 17
EarringB5_Outline	Örhänge Kontur 10
HairClip12_Color	Hårklämma 12
Collar6_Color	Outfit Krage Inner 6 + 7
AnimalEar6_Outline	Djuröra Kontur 6
AnimalEar3_Color	Djuröra 3
Brow3	Bryn 3
Glasses_Lens3	Glasögon Lens 3
EarringB5_Color	Örhänge 10
LaptopLight2	Ljus för bärbar dator 2
PhoneScreenPattern1	Telefonskärm 1
TailF2_Color	Svans 16
LaptopLight1	Ljus för bärbar dator 1
AnimalEar7_Color	Djuröra 7
AnimalEar9_Color	Djuröra 9
HairBang7_Middle_Outline	Hårlugg >< Kontur 13 + 14
Hairband6_Color	Hårband B 4
AnimalEar2_Back_Outline	Djuröra Kontur 2 .1
HairClip1_Color	Hårklämma 1
EarringB2_Outline	Örhänge Kontur 7
Middle_Color	Hand 1 .7
AnimalEar5_Outline	Djuröra Kontur 5
Hairband2_Color	Hårband A 2
AnimalEar1_Front_Color	Djuröra 1
Chopstick	Matpinne
AnimalEar2_Front_Color	Djuröra 2
EarringB3_Outline	Örhänge Kontur 8
TailF1_Color	Svans 15
AnimalEar4_Color	Djuröra 4
HairBang4_Side_Color	Hårlugg 7
SideHairB7_Gradient	Hårsida 30
SideHairB1_Color	Hårsida 17
FacialHair_A7_Color	Ansiktshår A 7
HairClip4_Outline	Hårklämma Kontur 4
EarringB1_Outline	Örhänge Kontur 6
Index_Color	Hand 1 .8
PiercingA5_Outline	Piercing Kontur 5
TailF1_Outline	Svans Kontur 15
AnimalEar1_Fur_Outline	Djuröra Päls Kontur 1
TailE3_Color	Svans 14
AnimalEar1_Back_Color	Djuröra 1 .1
AnimalEar2_Fur_Outline	Djuröra Päls Kontur 2
CupSteam	Koppånga
AnimalEar2_Back_Color	Djuröra 2 .1
AnimalEar8_Color	Djuröra 8
EarringB4_Outline	Örhänge Kontur 9
FacialHair_A8_Outline	Ansiktshår A Kontur 8
SideHairB7_Color	Hårsida 29
SideHairA4_Color	Hårsida 7
SideHairB1_Gradient	Hårsida 18
BackHair3_Color	Hår bak 5
Pigtail_A5_Color	Hår Pigtail 9
Pigtail_A5_Gradient	Hår Pigtail 10
Pigtail_A2_Outline	Hår Pigtail Kontur 3 + 4
HairShine6_Outline	Hårglans Kontur 12
Antenna1_Outline	Antenn Kontur 1
AlertLike_Outline	Klistermärke Alert Kontur 4
FacialHair_A5_Outline	Ansiktshår A Kontur 5
Horn5_Outline	Horn Kontur 5
FrameHair_A8_Color	Hårinramning 15
FrameHair_A8_Gradient	Hårinramning 16
FrameHair_Top_Color	Hårinramning top
HairBang5_Middle_Color	Hårlugg >< 9
HairShine1_Outline	Hårglans Kontur 2
WingG1_Inner_Outline	Vinge Kontur 10 .2
VideoCamera	Videokamera
FrameHair_A7_Gradient	Hårinramning 14
FrameHair_A7_Color	Hårinramning 13
Index_Outline	Hand 1 .9
Mouth	Mun
TailC3_Outline	Svans Kontur 10
Wing2_Outline	Öronvinge Kontur 2
Wing1_Color	Öronvinge Kontur 1
WingC1_Upper_Color	Vinge Kontur 5 .1
Main7_Color	Outfit Inre 7
HairHighlight3_Color	Hårhöjdpunkt 3 << + 3 >>
HairHighlight4_Outline	Hårhöjdpunkt >< Kontur 1 + 2
ErrorPopup	Slutar fungera
TrashBinLid	Papperskorgen 2
BackHair1_Outline	Hår bak Kontur 1 + 2
BackHair2_Outline	Hår bak Kontur 3 + 4
Horn6_Color	Horn 6
HairBang7_Middle_Color	Hårlugg >< 13
little_Outline	Hand 1 .10
HornF1_Outline	Horn Front Kontur 1
TailC2_Outline	Svans Kontur 9
Outer2_Outline	Outfit yttre Kontur 2
BackHair3_Outline	Hår bak Kontur 5 + 6
Tongue_Shadow	Tunga Skugga
Blush	Ansiktsrodnad
FacialHair_B5_Color	Ansiktshår B 5 
Knife	Dregling (gaffel och kniv) 2
HairBang3_Side_Outline	Hårlugg Kontur 5 + 6
HairBang5_Side_Outline	Hårlugg Kontur 9 + 10
Horn7_Outline	Horn Kontur 7
PopcornBucket	Ät (popcorn) 1
Pigtail_A3_Outline	Hår Pigtail Kontur 5 + 6
Collar7_Color	Outfit Krage Inner 8
Hairband3_Color	Hårband B 1
Hammer	Hammare
TailE3_Outline	Svans Kontur 14
HairBang6_Side_Outline	Hårlugg Kontur 11 + 12
HairBang2_Side_Outline	Hårlugg Kontur 3 + 4
HairShine7_Outline	Hårglans Kontur 14
EyepatchBandage_Color	Ögonlapp 5 + 6
EyepatchBandage_Outline	Ögonlapp Kontur 5 + 6
HairbandBack1_Color	Hårband D 1
Hairband4_Outline	Hårband B Kontur 2
KeyboardKeyA	Skriv Normal 1
Thumb_Outline	Hand 1 .11
FacialHair_B3_Color	Ansiktshår B 3
Hairband2_Outline	Hårband A Kontur 2
HairbandBack1_Outline	Hårband D Kontur 1
TailB3_Color	Svans 5
FrameHair_A7_Outline	Hårinramning Kontur 13 + 14
FrameHair_A10_Color	Hårinramning 19
FrameHair_A10_Gradient	Hårinramning 20
FrameHair_A11_Outline	Hårinramning Kontur 21 + 22
FrameHair_A9_Color	Hårinramning 17
FacialHair_A3_Color	Ansiktshår A 3
BackHair1_Color	Hår bak 1
Laptop	Bärbar dator
SignRound	Runda tecken
HairBang1_Side_Color	Hårlugg 1
HairBang4_Side_Gradient	Hårlugg 8
HairBang5_Side_Color	Hårlugg 9
BackHair2_Color	Hår bak 3
Pigtail_A6_Outline	Hår Pigtail Kontur 11 + 12
Pigtail_A7_Outline	Hår Pigtail Kontur 13 + 14
Watermelon	Ät (vattenmelon)
Cheek2	Kind 2
HairClip6_Color	Hårklämma 6
Spoon	Anländer (med sked)
Tape	Tejpa
HatB2_Outline	Hatt Kontur 4
HairShine2_Outline	Hårglans Kontur 4
HairBang1_Side_Gradient	Hårlugg 2
HairBang2_Side_Color	Hårlugg 3
HairBang5_Side_Gradient	Hårlugg 10
BackHair2_Gradient	Hår bak 4
FrameHair_B3_Outline	Hårinramning Kontur 28
FaceFeatureC1	Ansiktsfunktion C 1
Pigtail_A8_Color	Hår Pigtail 15
NeckwearB4_Color	Outfit Neckwear B 4
WingE1_Lower_Color	Vinge 8 .3
PhoneScreen	Telefonskärm 3
AngrySteam	Klistermärke Steam
Outer1_Color	Outfit yttre 1
SideHair_Branch_C2_Outline	Hårsida Branch C Kontur 2
Hairband4_Color	Hårband B 2
Pigtail_A3_Color	Hår Pigtail 5
BackHair3_Gradient	Hår bak 6
HairBang2_Side_Gradient	Hårlugg 4
PixelSunglasses	Pixel solglasögon
HatB1_Color	Hatt 3
FacialHair_B3_Outline	Ansiktshår B Kontur 3
CapeBack1_Color	Baksidan av en kappa 1
HairShine1_Color	Hårglans 1 + 2
Palmar_Color	Hand 1 .12
Ahoge_B1_Color	Hår Ahoge 5
HatA2_Outline	Hatt Kontur 2
Pigtail_A5_Outline	Hår Pigtail Kontur 9 + 10
Pigtail_A3_Gradient	Hår Pigtail 6
HairBang3_Side_Color	Hårlugg 5
HairBang3_Side_Gradient	Hårlugg 6
HairShine4_Outline	Hårglans Kontur 8
BackHair1_Gradient	Hår bak 2
SignSquare	Fyrkantigt tecken
Horn4_Outline	Horn 4
PonytailB1_Gradient	Hår hästsvans 12
PonytailB1_Color	Hår hästsvans 11
FrameHair_A1_Outline	Hårinramning Kontur 1 + 2
Collar7_Outline	Outfit krage Kontur 8
NeckwearA3_Outline	Outfit Neckwear A Kontur 3
NeckwearA2_Outline	Outfit Neckwear A Kontur 2
TailA1_Outline	Svans Kontur 1
Horn3_Outline	Horn Kontur 3
Pigtail_A8_Gradient	Hår Pigtail 16
SunglassesReflection	Solglasögon reflektion
NeckwearA6_Color	Outfit Neckwear A 6
Tie2_Outline	Outfit Neckwear C Kontur 2
Halo4_Color	Halo 5 + 6
FrameHair_A6_Color	Hårinramning 11
Middle_Outline	Hand 1 .13
RedPacketCoin2	Rött paket 3
NeckwearB5_Color	Outfit Neckwear B 5
Eye1_HighlightCry	Öga 1 | Gråt
Collar3_Color	Outfit Krage Inner 3
TailC3_Color	Svans 10
ElfEar_Color	Öra 1.1
Surprise	Väggdekor Överraskning
Gill3_Outline	Gill Kontur 1 .3
Pigtail_A4_Gradient	Hår Pigtail 8
Pigtail_A1_Color	Hår Pigtail 1
Eye_U	Sömn (UU)
Cockroach	Kackerlacka
Halo3_Outline	Halo Kontur 3
Wing3_Outline	Öronvinge Kontur 3
Halo4_Outline	Halo Kontur 5 + 6
Wing3_Color	Öronvinge 3
WingD1_Outline	Vinge Kontur 6
FacialHair_A1_Color	Ansiktshår A 1
Ghost	Väggdekor Spöke
Hairband7_Outline	Hårband C Kontur 1
Horn6_Outline	Horn Kontur 6
HairHighlight3_Outline	Hårhöjdpunkt Kontur 3 << + 3 >>
Glasses_Frame2	Glasögon 2
NeckwearA4_Outline	Outfit Neckwear A Kontur 4
Ear_Color	Öra 1
HatB2_Color	Hatt 4
FacialHair_A4_Outline	Ansiktshår A Kontur 4
PonytailB1_Outline	Hår hästsvans Kontur 11 + 12
Collar1_Color	Outfit Krage Inner 1
CapeBack3_Outline	Baksidan av en kappa | Kappa Kontur 3
Pigtail_A1_Outline	Hår Pigtail Kontur 1 + 2
Tie2_Color	Outfit Neckwear C 2
TailE1_Color	Svans 12
PatHand	Pat Hand
Main6_Outline	Outfit Inre Kontur 6
Pigtail_A6_Color	Hår Pigtail 11
Card	Motsatt
FacialHair_A8_Color	Ansiktshår A 8
CapeBack2_Outline	Baksidan av en kappa | Kappa Kontur 2
CapeFront6_Color	Framsidan av en kappa 6
PonytailB2_Gradient	Hår hästsvans 14
Megaphone	Megafon
Glasses_Frame1	Glasögon 1
Pigtail_B1_Outline	Hår Pigtail Kontur 17 + 18
Eye1_Dollar	Ögondollar 1 + 2
FaceFeatureA1	Ansiktsfunktion A 1
Eye1_Heart	Ögat hjärta 1 + 2
Collar2_Color	Outfit Krage Inner 2
Pigtail_A6_Gradient	Hår Pigtail 12
FrameHair_B3_Gradient	Hårinramning 28
FrameHair_B3_Color	Hårinramning 27
FrameHair_TopBack_Outline	Hårinramning top Kontur 2
Horn5_Color	Horn 5
Fork	Dregling (gaffel och kniv) 1
SteeringWheel	Ratt
Hairband1_Color	Hårband A 1
HatB3_Outline	Hatt Kontur 5
FrameHair_A4_Color	Hårinramning 7
NeckwearB3_Color	Outfit Neckwear B 3
HammerEffect1	Hammare 1
HairHighlight6_Color	Hårhöjdpunkt >< 5 + 6
Pigtail_B2_Outline	Hår Pigtail Kontur 19 + 20
WingF1_Upper_Outline	Vinge Kontur 9 .1
Pigtail_A2_Gradient	Hår Pigtail 4
RedPacketCoin3	Rött paket 2
FrameHair_A9_Gradient	Hårinramning 18
TrashBin	Papperskorgen 1
FacialHair_A2_Outline	Ansiktshår A Kontur 2
Tongue1	Slicka | Tunga
HairShine4_Color	Hårglans 7 + 8
Toilet	Toalett
FrameHair_A5_Gradient	Hårinramning 10
CapeFront6_Outline	Framsidan av en kappa | Kappa Kontur 6
FrameHair_A5_Color	Hårinramning 9
CapeBack2_Color	Baksidan av en kappa 2
SunGlasses_Lens	Solglasögon Lens
FrameHair_A9_Outline	Hårinramning Kontur 17 + 18
Main8_Outline	Outfit Inre Kontur 8
Pigtail_A4_Color	Hår Pigtail 7
KeyboardKeyB	Skriv Normal 2
Tie3_Color	Outfit Neckwear C 3
Nose2	Näsa 2
FacialHair_A5_Color	Ansiktshår A 5
AlertCustom_Color	Klistermärke Alert 2
AlertCustom_Outline	Klistermärke Alert Kontur 2
SideHair_Branch_A2_Outline	Hårsida Branch A Kontur 2
Horn1_Color	Horn 1
Outer3_Outline	Outfit yttre Kontur 3
SideHair_Branch_B1_Outline	Hårsida Branch B Kontur 1
ElfEar_Outline	Öra Kontur 1.1
Outer4_Color	Outfit yttre 4
Outer3_Color	Outfit yttre 3
HairHighlight5_Outline	Hårhöjdpunkt >< Kontur 3 +4
SideHair_Branch_C1_Outline	Hårsida Branch C Kontur 1
Stylus	Nål
Tear2_Outline	Ögatår 3
Donut1	Donut 1
Donut2	Donut 2
SideHair_Branch_A1_Outline	Hårsida Branch A Kontur 1
Eye1_Light	Öga Irisljus 1 + 2
Angry2	Väggdekor Arg 2
WingF1_Upper_Color	Vinge 9 .1
NeckwearB2_Color	Outfit Neckwear B 1 + 2
SideHair_Branch_A1_Color	Hårsida Branch A 1
SignRoundText1	Runda tecken Text
Collar2_Outline	Outfit krage Kontur 2
MusicalNote2	Musiknot 2
FacialHair_B4_Color	Ansiktshår B 4
Mecha2_Color	Meka 2
Six	Nummer sex
PointHand	Peka Hand
HairClip8_Color	Hårklämma 8
FaceFeatureB1	Ansiktsfunktion B 1
Pigtail_B2_Gradient	Hår Pigtail 20
Main8_Color	Outfit Inre 8
Tear2_Color	Ögatår 2
Eye3_Dark	Öga Iris mörk 3
Outer4_Outline	Outfit yttre Kontur 4
Glasses_Lens1	Glasögon Lens 1
WingA3_Outline	Vinge Kontur 3
Ahoge_B2_Color	Hår Ahoge 6
CapeFront1_Outline	Framsidan av en kappa | Kappa Kontur 1
Cake	Tårta
WingD1_Color	Vinge 6
Pigtail_B1_Gradient	Hår Pigtail 18
Outer7_Color	Outfit yttre 7
Ahoge_B1_Outline	Hår Ahoge Kontur 5
HornM1_Outline	Horn fram >< Kontur 1
HornF2_Color	Horn fram 2
CapeFront4_Color	Framsidan av en kappa 4
FrameHair_Branch_A3_Color	Hårgren 3
Main2_Outline	Outfit Inre Kontur 2
Wing1_Outline	Öronvinge Kontur 1
WingD2_Upper_Outline	Vinge Kontur 7 .1
Mecha4_Color	Meka 4
Horn1_Outline	Horn Kontur 1
WingA2_Color	Vinge 2
EasterEggBasket	påsk 4
Mecha4_Outline	Meka Kontur 4
Antenna2_Color	Antenn 2
Mecha1_Color	Meka 1
Ahoge_A3_Outline	Hår Ahoge Kontur 3
Main1_Outline	Outfit Inre Kontur 1
Horn2_Color	Horn 2
HairBang4_Middle_Gradient	Hårlugg >< 8
CapeFront3_Color	Framsidan av en kappa 3
Notepad	Anteckningsblock
Outer5_Color	Outfit yttre 5
WingA3_Color	Vinge 3
WingB1_Color	Vinge 4
Pistol	Pistol
Horn7_Color	Horn 7
Bottle	Coke Shake
Outer6_Color	Outfit yttre 6
Laugh2	Väggdekor Skratt 2
FrameHair_B1_Gradient	Hårinramning 24
Outer5_Outline	Outfit yttre Kontur 5
FrameHair_Top_Outline	Hårinramning top Kontur
WingG1_Inner_Color	Vinge 10 .2
