SpriteName	Ja
Ahoge_A2_Color	アホ毛 2
SideHairB7_Outline	横髪 輪郭 29 + 30
AlertBits_Outline	アラート 輪郭 6
SunGlasses_Frame	サングラス
PonytailA4_Color	ヘアポニーテール 7
HairHighlight2_Color	髪ハイライト 2 << + 2 >>
SideHairA5_Gradient	横髪 10
SideHairA6_Color	横髪 11
HairbandBack2_Color	ヘアバンド D 2
NeckwearB1_Outline	首アクセ B 輪郭 2
HairClip3_Outline	ヘアピン 輪郭 3
Bill2	紙幣 2
Volume	音量 エフェクト
FrameHair_A1_Color	顔まわり髪 1 
FrameHair_A2_Gradient	顔まわり髪 2 
Pigtail_C2_Color	おさげ 23
Pigtail_C2_Gradient	おさげ 24
WingF1_Lower_Outline	翼 輪郭 9 .2
Glasses_Frame3	メガネ 3
WingA2_Outline	翼 輪郭 2
PalmarGlove1_Outline	手 2 .1
Eye1_Sparkling	キラキラ目 1
SideHairB2_Color	横髪 19
SideHairB2_Gradient	横髪 20
SideHairA1_Outline	横髪 輪郭 1 + 2
EarringA3_Color	イヤリング 3
EarringA4_Color	イヤリング 4
TailF_Outline	しっぽ 輪郭 15 + 16 + 17 + 18 + 24 + 25
Halo2_Outline	天使の輪 輪郭 2
HairBang4_Side_Outline	前髪 輪郭 7 + 8
TailD1_Outline	しっぽ 輪郭 11
Pigtail_A8_Outline	おさげ 輪郭 15 + 16
HairBang4_Middle_Outline	前髪 中央 輪郭 4
SideHairB2_Outline	横髪 輪郭 19 + 20
ShakeLine2	怖い 2
EarringB2_Color	イヤリング 7
TailA2_Color	しっぽ 2
TailF_Color	しっぽ 15 + 16 + 17 + 18 + 24 + 25
SideHairB6_Color	横髪 27
Controller	コントローラー
HairBang3_Middle_Gradient	前髪 >< 6
HairBang3_Middle_Color	前髪 >< 5
Horn4_Color	角 4
HatD1_Color	帽子 8
PonytailA1_Gradient	ヘアポニーテール 2
SideHairB4_Outline	横髪 輪郭 23 + 24
SideHairB6_Gradient	横髪 28
EarringA4_Outline	イヤリング 輪郭 4
PopperConfetti1	紙吹雪 1
Collar1_Outline	襟 輪郭 1
FacialHair_B5_Outline	ひげ B 輪郭 5
EarringA2_Outline	イヤリング 輪郭 2
TailF4_Outline	しっぽ 輪郭 18
LightStickLight	ペンライト
HatA1_Outline	帽子 輪郭 1 + 2
SideHairB1_Outline	横髪 輪郭 17 + 18
HairClip3_Color	ヘアピン 3
NeckwearA4_Color	首アクセ A 4
NeckwearA5_Color	首アクセ A 5
WingC1_Lower_Outline	翼 輪郭 5 .2
FrameHair_A2_Outline	 顔まわり髪 輪郭 3 + 4
HatB1_Outline	帽子 輪郭 3
MagicWand	魔法
HairBang2_Middle_Color	前髪 >< 3
HairBang2_Middle_Gradient	前髪 >< 4
Hairband5_Color	ヘアバンド B 3
TailE2_Outline	しっぽ 輪郭 13
Brow5	眉 5
Tie1_Color	首アクセ C 1
WingF1_Lower_Color	翼 9 .2
FrameHair_A4_Outline	 顔まわり髪 輪郭 7 + 8
PryBar	バール
FacialHair_A2_Color	ひげ A 2
Outer2_Color	服 外側 2
Tie3_Outline	首アクセ C 輪郭 3
TailB4_Outline	しっぽ 輪郭 6
HairShine3_Outline	髪ツヤ 輪郭 6
AlertHeart_Color	アラート エフェクト 1
WingD2_Lower_Outline	翼 輪郭 7 .2
SideHairA1_Color	横髪 1
HatA1_Color	帽子 1 + 2
SideHairB3_Color	横髪 21
FrameHair_A11_Gradient	顔まわり髪 22
FrameHair_A11_Color	顔まわり髪 21
SideHairB4_Gradient	横髪 24
SideHairA4_Outline	横髪 輪郭 7 + 8
SideHairA1_Gradient	横髪 2
CapeFront2_Color	ケープ 前 2
CapeFront5_Color	ケープ 前 5
CapeFront2_Outline	ケープ 前 | ケープ 輪郭 2
SideHairB3_Outline	横髪 輪郭 21 + 22
SideHairB4_Color	横髪 23
SideHairB5_Gradient	横髪 26
TailB5_Color	しっぽ 7
WingC1_Upper_Outline	翼 輪郭 5 .1
Mecha3_Outline	メカ 輪郭 3
HairHighlight1_Color	髪ハイライト 1 << + 1 >> 
LoveLetter	ラブレター
Hairband6_Outline	ヘアバンド B 輪郭 4
MusicalNote1	音符 1
PiercingA2_Outline	 ピアス 輪郭 2
StrawLiquid_Outline	飲み物のカップ 2
Eyepatch2_Color	眼帯 3 + 4
AnimalEar2_Front_Outline	ケモ耳 輪郭 2
AnimalEar1_Fur_Color	ケモ耳 毛 1
EarringB3_Color	イヤリング 8
Pigtail_A7_Gradient	おさげ 14
AnimalEar5_Color	ケモ耳 5
EarringB4_Color	イヤリング 4
HairClip2_Color	ヘアピン 2
Glasses_Lens2	メガネ Lens 2
HairBang6_Side_Gradient	前髪 12
HairBang3_Middle_Outline	前髪 中央 輪郭 5 + 6
AnimalEar9_Outline	ケモ耳 輪郭 9
HatB3_Color	帽子 5
PiercingA1_Outline	 ピアス 輪郭 1
Brow8	眉 8
HairClip1_Outline	ヘアピン 輪郭 1
Eyepatch1_Color	眼帯 1 + 2
NeckwearA1_Color	首アクセ A 1
Eye1_Eyelash	まつげ 1 + 2
ShakeLine3	怖い 3
WingE1_Upper_Outline	翼 輪郭 8 .1
PopperConfetti3	紙吹雪 3
Star	星 エフェクト
HairBang1_Middle_Outline	前髪 中央 輪郭 1 + 2
SideHairA4_Gradient	横髪 8
PiercingA3_Outline	 ピアス 輪郭 3
FaceFeatureB4	顔パーツ B 4
EarringA3_Outline	イヤリング 輪郭 3
TailF4_Color	しっぽ 18
AnimalEar2_Fur_Color	ケモ耳 毛 2
AnimalEar3_Outline	ケモ耳 輪郭 3
Straw	飲み物のカップ 4
AnimalEar8_Outline	ケモ耳 輪郭 8
AnimalEar6_Color	ケモ耳 6
TailF3_Color	しっぽ 17
EarringB5_Outline	イヤリング 輪郭 10
HairClip12_Color	ヘアピン 12
Collar6_Color	襟 内側 6 + 7
AnimalEar6_Outline	ケモ耳 輪郭 6
AnimalEar3_Color	ケモ耳 3
Brow3	眉 3
Glasses_Lens3	メガネ Lens 3
EarringB5_Color	イヤリング 10
LaptopLight2	ノートPCライト 2
PhoneScreenPattern1	スマホ画面 1
TailF2_Color	しっぽ 16
LaptopLight1	ノートPCライト 1
AnimalEar7_Color	ケモ耳 7
AnimalEar9_Color	ケモ耳 9
HairBang7_Middle_Outline	前髪 中央 輪郭 13 + 14
Hairband6_Color	ヘアバンド B 4
AnimalEar2_Back_Outline	ケモ耳 輪郭 2 .1
HairClip1_Color	ヘアピン 1
EarringB2_Outline	イヤリング 輪郭 7
Middle_Color	手 1 .7
AnimalEar5_Outline	ケモ耳 輪郭 5
Hairband2_Color	ヘアバンド A 2
AnimalEar1_Front_Color	ケモ耳 1
Chopstick	お箸
AnimalEar2_Front_Color	ケモ耳 2
EarringB3_Outline	イヤリング 輪郭 8
TailF1_Color	しっぽ 15
AnimalEar4_Color	ケモ耳 4
HairBang4_Side_Color	前髪 7
SideHairB7_Gradient	横髪 30
SideHairB1_Color	横髪 17
FacialHair_A7_Color	ひげ A 7
HairClip4_Outline	ヘアピン 輪郭 4
EarringB1_Outline	イヤリング 輪郭 6
Index_Color	手 1 .8
PiercingA5_Outline	 ピアス 輪郭 5
TailF1_Outline	しっぽ 輪郭 15
AnimalEar1_Fur_Outline	ケモ耳 毛 輪郭 1
TailE3_Color	しっぽ 14
AnimalEar1_Back_Color	ケモ耳 1 .1
AnimalEar2_Fur_Outline	ケモ耳 毛 輪郭 2
CupSteam	湯気
AnimalEar2_Back_Color	ケモ耳 2 .1
AnimalEar8_Color	ケモ耳 8
EarringB4_Outline	イヤリング 輪郭 9
FacialHair_A8_Outline	ひげ A 輪郭 8
SideHairB7_Color	横髪 29
SideHairA4_Color	横髪 7
SideHairB1_Gradient	横髪 18
BackHair3_Color	後ろ髪 5
Pigtail_A5_Color	おさげ 9
Pigtail_A5_Gradient	おさげ 10
Pigtail_A2_Outline	おさげ 輪郭 3 + 4
HairShine6_Outline	髪ツヤ 輪郭 12
Antenna1_Outline	アンテナ 輪郭 1
AlertLike_Outline	アラート 輪郭 4
FacialHair_A5_Outline	ひげ A 輪郭 5
Horn5_Outline	角 輪郭 5
FrameHair_A8_Color	顔まわり髪 15
FrameHair_A8_Gradient	顔まわり髪 16
FrameHair_Top_Color	顔まわり髪 top
HairBang5_Middle_Color	前髪 >< 9
HairShine1_Outline	髪ツヤ 輪郭 2
WingG1_Inner_Outline	翼 輪郭 10 .2
VideoCamera	ビデオカメラ
FrameHair_A7_Gradient	顔まわり髪 14
FrameHair_A7_Color	顔まわり髪 13
Index_Outline	手 1 .9
Mouth	口
TailC3_Outline	しっぽ 輪郭 10
Wing2_Outline	耳羽 輪郭 2
Wing1_Color	耳羽 輪郭 1
WingC1_Upper_Color	翼 輪郭 5 .1
Main7_Color	服 内側 7
HairHighlight3_Color	髪ハイライト 3 << + 3 >>
HairHighlight4_Outline	髪ハイライト 中央 輪郭 1 + 2
ErrorPopup	動作停止
TrashBinLid	ゴミ箱 2
BackHair1_Outline	後ろ髪 輪郭 1 + 2
BackHair2_Outline	後ろ髪 輪郭 3 + 4
Horn6_Color	角 6
HairBang7_Middle_Color	前髪 >< 13
little_Outline	手 1 .10
HornF1_Outline	角 前 輪郭 1
TailC2_Outline	しっぽ 輪郭 9
Outer2_Outline	服 外側 輪郭 2
BackHair3_Outline	後ろ髪 輪郭 5 + 6
Tongue_Shadow	舌 影
Blush	頬の赤み
FacialHair_B5_Color	ひげ B 5 
Knife	よだれ（フォーク＆ナイフ） 2
HairBang3_Side_Outline	前髪 輪郭 5 + 6
HairBang5_Side_Outline	前髪 輪郭 9 + 10
Horn7_Outline	角 輪郭 7
PopcornBucket	食べる（ポップコーン） 1
Pigtail_A3_Outline	おさげ 輪郭 5 + 6
Collar7_Color	襟 内側 8
Hairband3_Color	ヘアバンド B 1
Hammer	ハンマー
TailE3_Outline	しっぽ 輪郭 14
HairBang6_Side_Outline	前髪 輪郭 11 + 12
HairBang2_Side_Outline	前髪 輪郭 3 + 4
HairShine7_Outline	髪ツヤ 輪郭 14
EyepatchBandage_Color	眼帯 5 + 6
EyepatchBandage_Outline	眼帯の輪郭 5 + 6
HairbandBack1_Color	ヘアバンド D 1
Hairband4_Outline	ヘアバンド B 輪郭 2
KeyboardKeyA	タイピング（通常） 1
Thumb_Outline	手 1 .11
FacialHair_B3_Color	ひげ B 3
Hairband2_Outline	ヘアバンド A 輪郭 2
HairbandBack1_Outline	ヘアバンド D 輪郭 1
TailB3_Color	しっぽ 5
FrameHair_A7_Outline	 顔まわり髪 輪郭 13 + 14
FrameHair_A10_Color	顔まわり髪 19
FrameHair_A10_Gradient	顔まわり髪 20
FrameHair_A11_Outline	 顔まわり髪 輪郭 21 + 22
FrameHair_A9_Color	顔まわり髪 17
FacialHair_A3_Color	ひげ A 3
BackHair1_Color	後ろ髪 1
Laptop	ノートPC
SignRound	採点棒
HairBang1_Side_Color	前髪 1
HairBang4_Side_Gradient	前髪 8
HairBang5_Side_Color	前髪 9
BackHair2_Color	後ろ髪 3
Pigtail_A6_Outline	おさげ 輪郭 11 + 12
Pigtail_A7_Outline	おさげ 輪郭 13 + 14
Watermelon	食べる（スイカ）
Cheek2	頬 2
HairClip6_Color	ヘアピン 6
Spoon	登場（スプーン）
Tape	テープ
HatB2_Outline	帽子 輪郭 4
HairShine2_Outline	髪ツヤ 輪郭 4
HairBang1_Side_Gradient	前髪 2
HairBang2_Side_Color	前髪 3
HairBang5_Side_Gradient	前髪 10
BackHair2_Gradient	後ろ髪 4
FrameHair_B3_Outline	 顔まわり髪 輪郭 28
FaceFeatureC1	顔パーツ C 1
Pigtail_A8_Color	おさげ 15
NeckwearB4_Color	首アクセ B 4
WingE1_Lower_Color	翼 8 .3
PhoneScreen	スマホ画面 3
AngrySteam	湯気 エフェクト
Outer1_Color	服 外側 1
SideHair_Branch_C2_Outline	横髪 ハネ C 輪郭 2
Hairband4_Color	ヘアバンド B 2
Pigtail_A3_Color	おさげ 5
BackHair3_Gradient	後ろ髪 6
HairBang2_Side_Gradient	前髪 4
PixelSunglasses	サングラス（ドット）
HatB1_Color	帽子 3
FacialHair_B3_Outline	ひげ B 輪郭 3
CapeBack1_Color	ケープ 後ろ 1
HairShine1_Color	髪ツヤ 1 + 2
Palmar_Color	手 1 .12
Ahoge_B1_Color	アホ毛 5
HatA2_Outline	帽子 輪郭 2
Pigtail_A5_Outline	おさげ 輪郭 9 + 10
Pigtail_A3_Gradient	おさげ 6
HairBang3_Side_Color	前髪 5
HairBang3_Side_Gradient	前髪 6
HairShine4_Outline	髪ツヤ 輪郭 8
BackHair1_Gradient	後ろ髪 2
SignSquare	手持ち看板
Horn4_Outline	角 4
PonytailB1_Gradient	ヘアポニーテール 12
PonytailB1_Color	ヘアポニーテール 11
FrameHair_A1_Outline	 顔まわり髪 輪郭 1 + 2
Collar7_Outline	襟 輪郭 8
NeckwearA3_Outline	首アクセ A 輪郭 3
NeckwearA2_Outline	首アクセ A 輪郭 2
TailA1_Outline	しっぽ 輪郭 1
Horn3_Outline	角 輪郭 3
Pigtail_A8_Gradient	おさげ 16
SunglassesReflection	サングラス 反射
NeckwearA6_Color	首アクセ A 6
Tie2_Outline	首アクセ C 輪郭 2
Halo4_Color	天使の輪 5 + 6
FrameHair_A6_Color	顔まわり髪 11
Middle_Outline	手 1 .13
RedPacketCoin2	お年玉 3
NeckwearB5_Color	首アクセ B 5
Eye1_HighlightCry	目 1 | 泣き顔
Collar3_Color	襟 内側 3
TailC3_Color	しっぽ 10
ElfEar_Color	耳 1.1
Surprise	びっくり エフェクト
Gill3_Outline	エラ 輪郭 1 .3
Pigtail_A4_Gradient	おさげ 8
Pigtail_A1_Color	おさげ 1
Eye_U	睡眠（すやすや）
Cockroach	虫
Halo3_Outline	天使の輪 輪郭 3
Wing3_Outline	耳羽 輪郭 3
Halo4_Outline	天使の輪 輪郭 5 + 6
Wing3_Color	耳羽 3
WingD1_Outline	翼 輪郭 6
FacialHair_A1_Color	ひげ A 1
Ghost	おばけ エフェクト
Hairband7_Outline	ヘアバンド C 輪郭 1
Horn6_Outline	角 輪郭 6
HairHighlight3_Outline	髪ハイライト 輪郭 3 << + 3 >>
Glasses_Frame2	メガネ 2
NeckwearA4_Outline	首アクセ A 輪郭 4
Ear_Color	耳 1
HatB2_Color	帽子 4
FacialHair_A4_Outline	ひげ A 輪郭 4
PonytailB1_Outline	髪ポニーテールの概要 11 + 12
Collar1_Color	襟 内側 1
CapeBack3_Outline	ケープ 後ろ | ケープ 輪郭 3
Pigtail_A1_Outline	おさげ 輪郭 1 + 2
Tie2_Color	首アクセ C 2
TailE1_Color	しっぽ 12
PatHand	なで手
Main6_Outline	服 内側 輪郭 6
Pigtail_A6_Color	おさげ 11
Card	逆行する
FacialHair_A8_Color	ひげ A 8
CapeBack2_Outline	ケープ 後ろ | ケープ 輪郭 2
CapeFront6_Color	ケープ 前 6
PonytailB2_Gradient	ヘアポニーテール 14
Megaphone	メガホン
Glasses_Frame1	メガネ 1
Pigtail_B1_Outline	おさげ 輪郭 17 + 18
Eye1_Dollar	お金の目 1 + 2
FaceFeatureA1	顔パーツ A 1
Eye1_Heart	ハート目 1 + 2
Collar2_Color	襟 内側 2
Pigtail_A6_Gradient	おさげ 12
FrameHair_B3_Gradient	顔まわり髪 28
FrameHair_B3_Color	顔まわり髪 27
FrameHair_TopBack_Outline	顔まわり髪 輪郭 top 2
Horn5_Color	角 5
Fork	よだれ（フォーク＆ナイフ） 1
SteeringWheel	ハンドル
Hairband1_Color	ヘアバンド A 1
HatB3_Outline	帽子 輪郭 5
FrameHair_A4_Color	顔まわり髪 7
NeckwearB3_Color	首アクセ B 3
HammerEffect1	ハンマー 1
HairHighlight6_Color	髪ハイライト >< 5 + 6
Pigtail_B2_Outline	おさげ 輪郭 19 + 20
WingF1_Upper_Outline	翼 輪郭 9 .1
Pigtail_A2_Gradient	おさげ 4
RedPacketCoin3	お年玉 2
FrameHair_A9_Gradient	顔まわり髪 18
TrashBin	ゴミ箱 1
FacialHair_A2_Outline	ひげ A 輪郭 2
Tongue1	ぺろり | 舌
HairShine4_Color	髪ツヤ 7 + 8
Toilet	トイレ
FrameHair_A5_Gradient	顔まわり髪 10
CapeFront6_Outline	ケープ 前 | ケープ 輪郭 6
FrameHair_A5_Color	顔まわり髪 9
CapeBack2_Color	ケープ 後ろ 2
SunGlasses_Lens	サングラス Lens
FrameHair_A9_Outline	 顔まわり髪 輪郭 17 + 18
Main8_Outline	服 内側 輪郭 8
Pigtail_A4_Color	おさげ 7
KeyboardKeyB	タイピング（通常） 2
Tie3_Color	首アクセ C 3
Nose2	鼻 2
FacialHair_A5_Color	ひげ A 5
AlertCustom_Color	アラート エフェクト 2
AlertCustom_Outline	アラート 輪郭 2
SideHair_Branch_A2_Outline	横髪 ハネ A 輪郭 2
Horn1_Color	角 1
Outer3_Outline	服 外側 輪郭 3
SideHair_Branch_B1_Outline	横髪 ハネ B 輪郭 1
ElfEar_Outline	耳 輪郭 1.1
Outer4_Color	服 外側 4
Outer3_Color	服 外側 3
HairHighlight5_Outline	髪ハイライト 中央 輪郭 3 +4
SideHair_Branch_C1_Outline	横髪 ハネ C 輪郭 1
Stylus	ペンタブのペン
Tear2_Outline	涙 3
Donut1	ドーナツ 1
Donut2	ドーナツ 2
SideHair_Branch_A1_Outline	横髪 ハネ A 輪郭 1
Eye1_Light	 虹彩 淡 1 + 2
Angry2	怒り エフェクト 2
WingF1_Upper_Color	翼 9 .1
NeckwearB2_Color	首アクセ B 1 + 2
SideHair_Branch_A1_Color	横髪 ハネ A 1
SignRoundText1	採点棒の文字
Collar2_Outline	襟 輪郭 2
MusicalNote2	音符 2
FacialHair_B4_Color	ひげ B 4
Mecha2_Color	メカ 2
Six	ナンバー6
PointHand	指さし手
HairClip8_Color	ヘアピン 8
FaceFeatureB1	顔パーツ B 1
Pigtail_B2_Gradient	おさげ 20
Main8_Color	服 内側 8
Tear2_Color	涙 2
Eye3_Dark	 虹彩 濃 3
Outer4_Outline	服 外側 輪郭 4
Glasses_Lens1	メガネ Lens 1
WingA3_Outline	翼 輪郭 3
Ahoge_B2_Color	アホ毛 6
CapeFront1_Outline	ケープ 前 | ケープ 輪郭 1
Cake	ケーキ
WingD1_Color	翼 6
Pigtail_B1_Gradient	おさげ 18
Outer7_Color	服 外側 7
Ahoge_B1_Outline	アホ毛 輪郭 5
HornM1_Outline	角 前中央 輪郭 1
HornF2_Color	角 前 2
CapeFront4_Color	ケープ 前 4
FrameHair_Branch_A3_Color	髪ハネ 3
Main2_Outline	服 内側 輪郭 2
Wing1_Outline	耳羽 輪郭 1
WingD2_Upper_Outline	翼 輪郭 7 .1
Mecha4_Color	メカ 4
Horn1_Outline	角 輪郭 1
WingA2_Color	翼 2
EasterEggBasket	イースター 4
Mecha4_Outline	メカ 輪郭 4
Antenna2_Color	アンテナ 2
Mecha1_Color	メカ 1
Ahoge_A3_Outline	アホ毛 輪郭 3
Main1_Outline	服 内側 輪郭 1
Horn2_Color	角 2
HairBang4_Middle_Gradient	前髪 >< 8
CapeFront3_Color	ケープ 前 3
Notepad	メモ帳
Outer5_Color	服 外側 5
WingA3_Color	翼 3
WingB1_Color	翼 4
Pistol	銃
Horn7_Color	角 7
Bottle	コークシェイク
Outer6_Color	服 外側 6
Laugh2	笑い エフェクト 2
FrameHair_B1_Gradient	顔まわり髪 24
Outer5_Outline	服 外側 輪郭 5
FrameHair_Top_Outline	顔まわり髪 輪郭 top
WingG1_Inner_Color	翼 10 .2
HairBang5_Middle_Outline	前髪 中央 輪郭 9 + 10
Beer	Cheers
HairBang4_Middle_Color	前髪 >< 7
TailE1_Outline	しっぽ 輪郭 12
TailC2_Color	しっぽ 9
HornF2_Outline	角 輪郭 9
HairBang2_Middle_Outline	前髪 中央 輪郭 3 + 4
Ahoge_B2_Outline	アホ毛 輪郭 6
Bell	ベル 2
FrameHair_Branch_A3_Outline	髪ハネ 輪郭 3
FrameHair_A3_Color	顔まわり髪 5
FrameHair_A3_Gradient	顔まわり髪 6
Horn2_Outline	角 輪郭 2
Outer6_Outline	服 外側 輪郭 6
WingD2_Upper_Color	翼 7 .1
Antenna2_Outline	アンテナ 輪郭 2
TailB5_Outline	しっぽ 輪郭 7
HairBang5_Middle_Gradient	前髪 >< 10
HairBang1_Middle_Color	前髪 >< 1
QuestionMark	はてな エフェクト
Horn3_Color	角 3
SignSquareText1	手持ち看板の文字
Antenna1_Color	アンテナ 1
FrameHair_A2_Gradient	顔まわり髪 4
HairHighlight1_Outline	髪ハイライト 輪郭 1 << + 1 >>
