SpriteName	Es
HairBang3_Middle_Gradient	Flequillo >< 6
HairBang3_Middle_Color	Flequillo >< 5
Horn4_Color	Cuerno 4
HatD1_Color	Sombrero 8
PonytailA1_Gradient	Cola de caballo de pelo 2
SideHairB4_Outline	Contorno del cabello de los lados trasero 23 + 24
SideHairB6_Gradient	Cabello de los lados trasero 28
EarringA4_Outline	Pendiente Contorno 4
PopperConfetti1	Confeti 1
Collar1_Outline	Contorno del cuello del Outfit 1
FacialHair_B5_Outline	Contorno del vello facial B 5
EarringA2_Outline	Pendiente Contorno 2
TailF4_Outline	Contorno de la cola 18
LightStickLight	Lightstick
HatA1_Outline	Contorno del sombrero 1 + 2
SideHairB1_Outline	Contorno del cabello de los lados trasero 17 + 18
HairClip3_Color	Pinza para el pelo 3
NeckwearA4_Color	Accesorios de cuello A 4
NeckwearA5_Color	Accesorios de cuello A 5
WingC1_Lower_Outline	Ala Contorno 5 .2
FrameHair_A2_Outline	Mechón frontal Contorno 3 + 4
HatB1_Outline	Contorno del sombrero 3
MagicWand	Magia
HairBang2_Middle_Color	Flequillo >< 3
HairBang2_Middle_Gradient	Flequillo >< 4
Hairband5_Color	Diadema B 3
TailE2_Outline	Contorno de la cola 13
Brow5	Ceja 5
Tie1_Color	Accesorios de cuello C 1
WingF1_Lower_Color	Ala 9 .2
FrameHair_A4_Outline	Mechón frontal Contorno 7 + 8
PryBar	Palanca
FacialHair_A2_Color	Vello facial A 2
Outer2_Color	Traje exterior 2
Tie3_Outline	Contorno del accesorio de cuello C 3
TailB4_Outline	Contorno de la cola 6
HairShine3_Outline	Contornodel brillo del cabello 6
AlertHeart_Color	Color de la alerta 1
WingD2_Lower_Outline	Ala Contorno 7 .2
SideHairA1_Color	Cabello de los lados trasero 1
HatA1_Color	Sombrero 1 + 2
SideHairB3_Color	Cabello de los lados trasero 21
FrameHair_A11_Gradient	Mechón frontal 22
FrameHair_A11_Color	Mechón frontal 21
SideHairB4_Gradient	Cabello de los lados trasero 24
SideHairA4_Outline	Contorno del cabello de los lados trasero 7 + 8
SideHairA1_Gradient	Cabello de los lados trasero 2
CapeFront2_Color	Frente del Cabo 2
CapeFront5_Color	Frente del Cabo 5
CapeFront2_Outline	Frente del Cabo | Esquema del cabo 2
SideHairB3_Outline	Contorno del cabello de los lados trasero 21 + 22
SideHairB4_Color	Cabello de los lados trasero 23
SideHairB5_Gradient	Cabello de los lados trasero 26
TailB5_Color	Cola 7
WingC1_Upper_Outline	Ala Contorno 5 .1
Mecha3_Outline	Contorno del mecha 3
HairHighlight1_Color	Mechas de cabello 1 << + 1 >> 
LoveLetter	carta de amor
Hairband6_Outline	Contorno de Diadema B 4
MusicalNote1	Nota musical 1
PiercingA2_Outline	Perforación Contorno 2
StrawLiquid_Outline	Vaso de bebida 2
Eyepatch2_Color	parche en el ojo 3 + 4
AnimalEar2_Front_Outline	Orejas de animal Contorno 2
AnimalEar1_Fur_Color	Orejas de animal Pelaje 1
EarringB3_Color	Pendiente 8
Pigtail_A7_Gradient	Coleta de pelo 14
AnimalEar5_Color	Orejas de animal 5
EarringB4_Color	Pendiente 4
HairClip2_Color	Pinza para el pelo 2
Glasses_Lens2	Anteojos Lens 2
HairBang6_Side_Gradient	Flequillo 12
HairBang3_Middle_Outline	Flequillo >< Contorno 5 + 6
AnimalEar9_Outline	Orejas de animal Contorno 9
HatB3_Color	Sombrero 5
PiercingA1_Outline	Perforación Contorno 1
Brow8	Ceja 8
HairClip1_Outline	Pinza para el cabello Contorno 1
Eyepatch1_Color	parche en el ojo 1 + 2
NeckwearA1_Color	Accesorios de cuello A 1
Eye1_Eyelash	Pestañas 1 + 2
ShakeLine3	Asustado 3
WingE1_Upper_Outline	Ala Contorno 8 .1
PopperConfetti3	Confeti 3
Star	Efecto Estrella
HairBang1_Middle_Outline	Flequillo >< Contorno 1 + 2
SideHairA4_Gradient	Cabello de los lados trasero 8
PiercingA3_Outline	Perforación Contorno 3
FaceFeatureB4	Característica de la cara B 4
EarringA3_Outline	Pendiente Contorno 3
TailF4_Color	Cola 18
AnimalEar2_Fur_Color	Orejas de animal Pelaje 2
AnimalEar3_Outline	Orejas de animal Contorno 3
Straw	Vaso de bebida 4
AnimalEar8_Outline	Orejas de animal Contorno 8
AnimalEar6_Color	Orejas de animal 6
TailF3_Color	Cola 17
EarringB5_Outline	Pendiente Contorno 10
HairClip12_Color	Pinza para el pelo 12
Collar6_Color	Interior del cuello del traje 6 + 7
AnimalEar6_Outline	Orejas de animal Contorno 6
AnimalEar3_Color	Orejas de animal 3
Brow3	Ceja 3
Glasses_Lens3	Anteojos Lens 3
EarringB5_Color	Pendiente 10
LaptopLight2	Luz de la computadora portátil 2
PhoneScreenPattern1	Pantalla del teléfono 1
TailF2_Color	Cola 16
LaptopLight1	Luz de la computadora portátil 1
AnimalEar7_Color	Orejas de animal 7
AnimalEar9_Color	Orejas de animal 9
HairBang7_Middle_Outline	Flequillo >< Contorno 13 + 14
Hairband6_Color	Diadema B 4
AnimalEar2_Back_Outline	Orejas de animal Contorno 2 .1
HairClip1_Color	Pinza para el pelo 1
EarringB2_Outline	Pendiente Contorno 7
Middle_Color	Mano 1 .7
AnimalEar5_Outline	Orejas de animal Contorno 5
Hairband2_Color	Diadema A 2
AnimalEar1_Front_Color	Orejas de animal 1
Chopstick	Palillos
AnimalEar2_Front_Color	Orejas de animal 2
EarringB3_Outline	Pendiente Contorno 8
TailF1_Color	Cola 15
AnimalEar4_Color	Orejas de animal 4
HairBang4_Side_Color	Flequillo 7
SideHairB7_Gradient	Cabello de los lados trasero 30
SideHairB1_Color	Cabello de los lados trasero 17
FacialHair_A7_Color	Vello facial A 7
HairClip4_Outline	Pinza para el cabello Contorno 4
EarringB1_Outline	Pendiente Contorno 6
Index_Color	Mano 1 .8
PiercingA5_Outline	Perforación Contorno 5
TailF1_Outline	Contorno de la cola 15
AnimalEar1_Fur_Outline	Orejas de animal Contorno del pelaje 1
TailE3_Color	Cola 14
AnimalEar1_Back_Color	Orejas de animal 1 .1
AnimalEar2_Fur_Outline	Orejas de animal Contorno del pelaje 2
CupSteam	Vapor de la taza
AnimalEar2_Back_Color	Orejas de animal 2 .1
AnimalEar8_Color	Orejas de animal 8
EarringB4_Outline	Pendiente Contorno 9
FacialHair_A8_Outline	Contorno del vello facial A 8
SideHairB7_Color	Cabello de los lados trasero 29
SideHairA4_Color	Cabello de los lados trasero 7
SideHairB1_Gradient	Cabello de los lados trasero 18
BackHair3_Color	Pelo trasero 5
Pigtail_A5_Color	Coleta de pelo 9
Pigtail_A5_Gradient	Coleta de pelo 10
Pigtail_A2_Outline	Coleta de pelo Contorno 3 + 4
HairShine6_Outline	Contornodel brillo del cabello 12
Antenna1_Outline	Antena Contorno 1
AlertLike_Outline	Contorno de la alerta 4
FacialHair_A5_Outline	Contorno del vello facial A 5
Horn5_Outline	Cuerno Contorno 5
FrameHair_A8_Color	Mechón frontal 15
FrameHair_A8_Gradient	Mechón frontal 16
FrameHair_Top_Color	Mechón frontal top
HairBang5_Middle_Color	Flequillo >< 9
HairShine1_Outline	Contornodel brillo del cabello 2
WingG1_Inner_Outline	Ala Contorno 10 .2
VideoCamera	Cámara de video
FrameHair_A7_Gradient	Mechón frontal 14
FrameHair_A7_Color	Mechón frontal 13
Index_Outline	Mano 1 .9
Mouth	Boca
TailC3_Outline	Contorno de la cola 10
Wing2_Outline	Ala de oreja Contorno 2
Wing1_Color	Ala de oreja Contorno 1
WingC1_Upper_Color	Ala Contorno 5 .1
Main7_Color	Outfit interior 7
HairHighlight3_Color	Mechas de cabello 3 << + 3 >>
HairHighlight4_Outline	Mechas de cabello >< Contorno 1 + 2
ErrorPopup	Deja de funcionar
TrashBinLid	Papelera 2
BackHair1_Outline	Contorno del pelo trasero 1 + 2
BackHair2_Outline	Contorno del pelo trasero 3 + 4
Horn6_Color	Cuerno 6
HairBang7_Middle_Color	Flequillo >< 13
little_Outline	Mano 1 .10
HornF1_Outline	Frente de bocina Contorno 1
TailC2_Outline	Contorno de la cola 9
Outer2_Outline	Contorno del traje exterior 2
BackHair3_Outline	Contorno del pelo trasero 5 + 6
Tongue_Shadow	Sombra de lengua
Blush	Rubor
FacialHair_B5_Color	Vello facial B 5 
Knife	Babeando (tenedor y cuchillo) 2
HairBang3_Side_Outline	Flequillo Contorno 5 + 6
HairBang5_Side_Outline	Flequillo Contorno 9 + 10
Horn7_Outline	Cuerno Contorno 7
PopcornBucket	Comer (palomitas de maíz) 1
Pigtail_A3_Outline	Coleta de pelo Contorno 5 + 6
Collar7_Color	Interior del cuello del traje 8
Hairband3_Color	Diadema B 1
Hammer	Martillo
TailE3_Outline	Contorno de la cola 14
HairBang6_Side_Outline	Flequillo Contorno 11 + 12
HairBang2_Side_Outline	Flequillo Contorno 3 + 4
HairShine7_Outline	Contornodel brillo del cabello 14
EyepatchBandage_Color	parche en el ojo 5 + 6
EyepatchBandage_Outline	Contorno del parche 5 + 6
HairbandBack1_Color	Diadema D 1
Hairband4_Outline	Contorno de Diadema B 2
KeyboardKeyA	Escribiendo normal 1
Thumb_Outline	Mano 1 .11
FacialHair_B3_Color	Vello facial B 3
Hairband2_Outline	Contorno de Diadema A 2
HairbandBack1_Outline	Contorno de Diadema D 1
TailB3_Color	Cola 5
FrameHair_A7_Outline	Mechón frontal Contorno 13 + 14
FrameHair_A10_Color	Mechón frontal 19
FrameHair_A10_Gradient	Mechón frontal 20
FrameHair_A11_Outline	Mechón frontal Contorno 21 + 22
FrameHair_A9_Color	Mechón frontal 17
FacialHair_A3_Color	Vello facial A 3
BackHair1_Color	Pelo trasero 1
Laptop	Computadora portátil
SignRound	Señal redonda
HairBang1_Side_Color	Flequillo 1
HairBang4_Side_Gradient	Flequillo 8
HairBang5_Side_Color	Flequillo 9
BackHair2_Color	Pelo trasero 3
Pigtail_A6_Outline	Coleta de pelo Contorno 11 + 12
Pigtail_A7_Outline	Coleta de pelo Contorno 13 + 14
Watermelon	Comer (sandía)
Cheek2	Mejilla 2
HairClip6_Color	Pinza para el pelo 6
Spoon	Arrive (with Spoon)
Tape	Cinta
HatB2_Outline	Contorno del sombrero 4
HairShine2_Outline	Contornodel brillo del cabello 4
HairBang1_Side_Gradient	Flequillo 2
HairBang2_Side_Color	Flequillo 3
HairBang5_Side_Gradient	Flequillo 10
BackHair2_Gradient	Pelo trasero 4
FrameHair_B3_Outline	Mechón frontal Contorno 28
FaceFeatureC1	Característica de la cara C 1
Pigtail_A8_Color	Coleta de pelo 15
NeckwearB4_Color	Accesorios de cuello B 4
WingE1_Lower_Color	Ala 8 .3
PhoneScreen	Pantalla del teléfono 3
AngrySteam	Efecto Vapor
Outer1_Color	Traje exterior 1
SideHair_Branch_C2_Outline	Rama lateral del cabello C Contorno 2
Hairband4_Color	Diadema B 2
Pigtail_A3_Color	Coleta de pelo 5
BackHair3_Gradient	Pelo trasero 6
HairBang2_Side_Gradient	Flequillo 4
PixelSunglasses	Gafas de sol de píxeles
HatB1_Color	Sombrero 3
FacialHair_B3_Outline	Contorno del vello facial B 3
CapeBack1_Color	Cabo trasero 1
HairShine1_Color	Brillo del cabello 1 + 2
Palmar_Color	Mano 1 .12
Ahoge_B1_Color	Ahoge 5
HatA2_Outline	Contorno del sombrero 2
Pigtail_A5_Outline	Coleta de pelo Contorno 9 + 10
Pigtail_A3_Gradient	Coleta de pelo 6
HairBang3_Side_Color	Flequillo 5
HairBang3_Side_Gradient	Flequillo 6
HairShine4_Outline	Contornodel brillo del cabello 8
BackHair1_Gradient	Pelo trasero 2
SignSquare	Señal cuadrada
Horn4_Outline	Cuerno 4
PonytailB1_Gradient	Cola de caballo de pelo 12
PonytailB1_Color	Cola de caballo de pelo 11
FrameHair_A1_Outline	Mechón frontal Contorno 1 + 2
Collar7_Outline	Contorno del cuello del Outfit 8
NeckwearA3_Outline	Contorno del accesorio de cuello A 3
NeckwearA2_Outline	Contorno del accesorio de cuello A 2
TailA1_Outline	Contorno de la cola 1
Horn3_Outline	Cuerno Contorno 3
Pigtail_A8_Gradient	Coleta de pelo 16
SunglassesReflection	Reflejo de gafas de sol
NeckwearA6_Color	Accesorios de cuello A 6
Tie2_Outline	Contorno del accesorio de cuello C 2
Halo4_Color	Halo 5 + 6
FrameHair_A6_Color	Mechón frontal 11
Middle_Outline	Mano 1 .13
RedPacketCoin2	Sobre rojo 3
NeckwearB5_Color	Accesorios de cuello B 5
Eye1_HighlightCry	Ojo 1 | Llorar
Collar3_Color	Interior del cuello del traje 3
TailC3_Color	Cola 10
ElfEar_Color	Oreja 1.1
Surprise	Efecto Sorpresa
Gill3_Outline	Contorno de la branquia 1 .3
Pigtail_A4_Gradient	Coleta de pelo 8
Pigtail_A1_Color	Coleta de pelo 1
Eye_U	Dormir (UU)
Cockroach	Cucaracha
Halo3_Outline	Contorno del halo 3
Wing3_Outline	Ala de oreja Contorno 3
Halo4_Outline	Contorno del halo 5 + 6
Wing3_Color	Ala de oreja 3
WingD1_Outline	Ala Contorno 6
FacialHair_A1_Color	Vello facial A 1
Ghost	Efecto Fantasma
Hairband7_Outline	Contorno de Diadema C 1
Horn6_Outline	Cuerno Contorno 6
HairHighlight3_Outline	Mechas de cabello Contorno 3 << + 3 >>
Glasses_Frame2	Anteojos 2
NeckwearA4_Outline	Contorno del accesorio de cuello A 4
Ear_Color	Oreja 1
HatB2_Color	Sombrero 4
FacialHair_A4_Outline	Contorno del vello facial A 4
PonytailB1_Outline	Contorno de cola de caballo de pelo 11 + 12
Collar1_Color	Interior del cuello del traje 1
CapeBack3_Outline	Cabo trasero | Esquema del cabo 3
Pigtail_A1_Outline	Coleta de pelo Contorno 1 + 2
Tie2_Color	Accesorios de cuello C 2
TailE1_Color	Cola 12
PatHand	Mano de la palmadita
Main6_Outline	Contorno del Outfit interior 6
Pigtail_A6_Color	Coleta de pelo 11
Card	Contrarrestar
FacialHair_A8_Color	Vello facial A 8
CapeBack2_Outline	Cabo trasero | Esquema del cabo 2
CapeFront6_Color	Frente del Cabo 6
PonytailB2_Gradient	Cola de caballo de pelo 14
Megaphone	Megáfono
Glasses_Frame1	Anteojos 1
Pigtail_B1_Outline	Coleta de pelo Contorno 17 + 18
Eye1_Dollar	Ojos de dinero 1 + 2
FaceFeatureA1	Característica de la cara A 1
Eye1_Heart	Ojos de corazón 1 + 2
Collar2_Color	Interior del cuello del traje 2
Pigtail_A6_Gradient	Coleta de pelo 12
FrameHair_B3_Gradient	Mechón frontal 28
FrameHair_B3_Color	Mechón frontal 27
FrameHair_TopBack_Outline	Mechón frontal top Contorno 2
Horn5_Color	Cuerno 5
Fork	Babeando (tenedor y cuchillo) 1
SteeringWheel	Volante
Hairband1_Color	Diadema A 1
HatB3_Outline	Contorno del sombrero 5
FrameHair_A4_Color	Mechón frontal 7
NeckwearB3_Color	Accesorios de cuello B 3
HammerEffect1	Martillo 1
HairHighlight6_Color	Mechas de cabello >< 5 + 6
Pigtail_B2_Outline	Coleta de pelo Contorno 19 + 20
WingF1_Upper_Outline	Ala Contorno 9 .1
Pigtail_A2_Gradient	Coleta de pelo 4
RedPacketCoin3	Sobre rojo 2
FrameHair_A9_Gradient	Mechón frontal 18
TrashBin	Papelera 1
FacialHair_A2_Outline	Contorno del vello facial A 2
Tongue1	Lamiendo | Lengua
HairShine4_Color	Brillo del cabello 7 + 8
Toilet	Baño
FrameHair_A5_Gradient	Mechón frontal 10
CapeFront6_Outline	Frente del Cabo | Esquema del cabo 6
FrameHair_A5_Color	Mechón frontal 9
CapeBack2_Color	Cabo trasero 2
SunGlasses_Lens	Gafas de sol Lens
FrameHair_A9_Outline	Mechón frontal Contorno 17 + 18
Main8_Outline	Contorno del Outfit interior 8
Pigtail_A4_Color	Coleta de pelo 7
KeyboardKeyB	Escribiendo normal 2
Tie3_Color	Accesorios de cuello C 3
Nose2	Nariz 2
FacialHair_A5_Color	Vello facial A 5
AlertCustom_Color	Color de la alerta 2
AlertCustom_Outline	Contorno de la alerta 2
SideHair_Branch_A2_Outline	Rama lateral del cabello A Contorno 2
Horn1_Color	Cuerno 1
Outer3_Outline	Contorno del traje exterior 3
SideHair_Branch_B1_Outline	Rama lateral del cabello B Contorno 1
ElfEar_Outline	Oreja Contorno 1.1
Outer4_Color	Traje exterior 4
Outer3_Color	Traje exterior 3
HairHighlight5_Outline	Mechas de cabello >< Contorno 3 +4
SideHair_Branch_C1_Outline	Rama lateral del cabello C Contorno 1
Stylus	Aguja
Tear2_Outline	Lágrima del ojo 3
Donut1	Rosquilla 1
Donut2	Rosquilla 2
SideHair_Branch_A1_Outline	Rama lateral del cabello A Contorno 1
Eye1_Light	Brillo del iris 1 + 2
Angry2	Efecto enojado 2
WingF1_Upper_Color	Ala 9 .1
NeckwearB2_Color	Accesorios de cuello B 1 + 2
SideHair_Branch_A1_Color	Rama lateral del cabello A 1
SignRoundText1	Texto de la señal redonda
Collar2_Outline	Contorno del cuello del Outfit 2
MusicalNote2	Nota musical 2
FacialHair_B4_Color	Vello facial B 4
Mecha2_Color	Mecha 2
Six	numero seis
PointHand	Punto de la mano
HairClip8_Color	Pinza para el pelo 8
FaceFeatureB1	Característica de la cara B 1
Pigtail_B2_Gradient	Coleta de pelo 20
Main8_Color	Outfit interior 8
Tear2_Color	Lágrima del ojo 2
Eye3_Dark	Iris Oscuro 3
Outer4_Outline	Contorno del traje exterior 4
Glasses_Lens1	Anteojos Lens 1
WingA3_Outline	Ala Contorno 3
Ahoge_B2_Color	Ahoge 6
CapeFront1_Outline	Frente del Cabo | Esquema del cabo 1
Cake	Pastel
WingD1_Color	Ala 6
Pigtail_B1_Gradient	Coleta de pelo 18
Outer7_Color	Traje exterior 7
Ahoge_B1_Outline	Contorno del Ahoge 5
HornM1_Outline	Frente de bocina >< Contorno 1
HornF2_Color	Frente de bocina 2
CapeFront4_Color	Frente del Cabo 4
FrameHair_Branch_A3_Color	Rama de cabello 3
Main2_Outline	Contorno del Outfit interior 2
Wing1_Outline	Ala de oreja Contorno 1
WingD2_Upper_Outline	Ala Contorno 7 .1
Mecha4_Color	Mecha 4
