SpriteName	De
HairHighlight2_Outline	Haar Highlight Umriss 2 << + 2 >>
Ahoge_A2_Color	Haare Ahoge 2
SideHairB7_Outline	Haare Seite Umriss 29 + 30
AlertBits_Outline	Aufkleber Alert Umriss 6
SunGlasses_Frame	Sonnenbrille
PonytailA4_Color	Haar Pferdeschwanz 7
HairHighlight2_Color	Haar Highlight 2 << + 2 >>
SideHairA5_Gradient	Haare Seite 10
SideHairA6_Color	Haare Seite 11
HairbandBack2_Color	Haarband D 2
NeckwearB1_Outline	Outfit Halsschmuck B Umriss 2
HairClip3_Outline	Haarspange Umriss 3
Bill2	Schnabel 2
Volume	Aufkleber Lautstärke
FrameHair_A1_Color	Seitensträhnen 1 
FrameHair_A2_Gradient	Seitensträhnen 2 
Pigtail_C2_Color	Haarzopf 23
Pigtail_C2_Gradient	Haarzopf 24
WingF1_Lower_Outline	Flügel Umriss 9 .2
Glasses_Frame3	Brille 3
WingA2_Outline	Flügel Umriss 2
PalmarGlove1_Outline	Hand 2 .1
Eye1_Sparkling	Augenfunkeln 1
SideHairB2_Color	Haare Seite 19
SideHairB2_Gradient	Haare Seite 20
SideHairA1_Outline	Haare Seite Umriss 1 + 2
EarringA3_Color	Ohrring 3
EarringA4_Color	Ohrring 4
TailF_Outline	Schwanz Umriss 15 + 16 + 17 + 18 + 24 + 25
Halo2_Outline	Heiligenschein Umriss 2
HairBang4_Side_Outline	Pony Umriss 7 + 8
TailD1_Outline	Schwanz Umriss 11
Pigtail_A8_Outline	Haarzopf Umriss 15 + 16
HairBang4_Middle_Outline	Pony >< Umriss 4
SideHairB2_Outline	Haare Seite Umriss 19 + 20
ShakeLine2	Angst 2
EarringB2_Color	Ohrring 7
TailA2_Color	Schwanz 2
TailF_Color	Schwanz 15 + 16 + 17 + 18 + 24 + 25
SideHairB6_Color	Haare Seite 27
Controller	Regler
HairBang3_Middle_Gradient	Pony >< 6
HairBang3_Middle_Color	Pony >< 5
Horn4_Color	Horn 4
HatD1_Color	Hut 8
PonytailA1_Gradient	Haar Pferdeschwanz 2
SideHairB4_Outline	Haare Seite Umriss 23 + 24
SideHairB6_Gradient	Haare Seite 28
EarringA4_Outline	Ohrring Umriss 4
PopperConfetti1	Konfetti 1
Collar1_Outline	Outfit Kragen Umriss 1
FacialHair_B5_Outline	Gesichtsbehaarung B Umriss 5
EarringA2_Outline	Ohrring Umriss 2
TailF4_Outline	Schwanz Umriss 18
LightStickLight	Leuchtstab
HatA1_Outline	Hut Umriss 1 + 2
SideHairB1_Outline	Haare Seite Umriss 17 + 18
HairClip3_Color	Haarspange 3
NeckwearA4_Color	Outfit Halsschmuck A 4
NeckwearA5_Color	Outfit Halsschmuck A 5
WingC1_Lower_Outline	Flügel Umriss 5 .2
FrameHair_A2_Outline	Seitensträhnen Umriss 3 + 4
HatB1_Outline	Hut Umriss 3
MagicWand	Magie
HairBang2_Middle_Color	Pony >< 3
HairBang2_Middle_Gradient	Pony >< 4
Hairband5_Color	Haarband B 3
TailE2_Outline	Schwanz Umriss 13
Brow5	Augenbraue 5
Tie1_Color	Outfit Halsschmuck C 1
WingF1_Lower_Color	Flügel 9 .2
FrameHair_A4_Outline	Seitensträhnen Umriss 7 + 8
PryBar	Brecheisen
FacialHair_A2_Color	Gesichtsbehaarung A 2
Outer2_Color	Outfit außen 2
Tie3_Outline	Outfit Halsschmuck C Umriss 3
TailB4_Outline	Schwanz Umriss 6
HairShine3_Outline	Haarglanz Umriss 6
AlertHeart_Color	Aufkleber Alert 1
WingD2_Lower_Outline	Flügel Umriss 7 .2
SideHairA1_Color	Haare Seite 1
HatA1_Color	Hut 1 + 2
SideHairB3_Color	Haare Seite 21
FrameHair_A11_Gradient	Seitensträhnen 22
FrameHair_A11_Color	Seitensträhnen 21
SideHairB4_Gradient	Haare Seite 24
SideHairA4_Outline	Haare Seite Umriss 7 + 8
SideHairA1_Gradient	Haare Seite 2
CapeFront2_Color	Kapfront 2
CapeFront5_Color	Kapfront 5
CapeFront2_Outline	Kapfront | Umriss des Kaps 2
SideHairB3_Outline	Haare Seite Umriss 21 + 22
SideHairB4_Color	Haare Seite 23
SideHairB5_Gradient	Haare Seite 26
TailB5_Color	Schwanz 7
WingC1_Upper_Outline	Flügel Umriss 5 .1
Mecha3_Outline	Mecha Umriss 3
HairHighlight1_Color	Haar Highlight 1 << + 1 >> 
LoveLetter	Liebesbrief
Hairband6_Outline	Haarband B Umriss 4
MusicalNote1	Musiknote 1
PiercingA2_Outline	Piercing Umriss 2
StrawLiquid_Outline	Getränkebecher 2
Eyepatch2_Color	Augenklappe 3 + 4
AnimalEar2_Front_Outline	Tierohr Umriss 2
AnimalEar1_Fur_Color	Tierohr Fell 1
EarringB3_Color	Ohrring 8
Pigtail_A7_Gradient	Haarzopf 14
AnimalEar5_Color	Tierohr 5
EarringB4_Color	Ohrring 4
HairClip2_Color	Haarspange 2
Glasses_Lens2	Brille Lens 2
HairBang6_Side_Gradient	Pony 12
HairBang3_Middle_Outline	Pony >< Umriss 5 + 6
AnimalEar9_Outline	Tierohr Umriss 9
HatB3_Color	Hut 5
PiercingA1_Outline	Piercing Umriss 1
Brow8	Augenbraue 8
HairClip1_Outline	Haarspange Umriss 1
Eyepatch1_Color	Augenklappe 1 + 2
NeckwearA1_Color	Outfit Halsschmuck A 1
Eye1_Eyelash	Wimpern 1 + 2
ShakeLine3	Angst 3
WingE1_Upper_Outline	Flügel Umriss 8 .1
PopperConfetti3	Konfetti 3
Star	Aufkleber Stern
HairBang1_Middle_Outline	Pony >< Umriss 1 + 2
SideHairA4_Gradient	Haare Seite 8
PiercingA3_Outline	Piercing Umriss 3
FaceFeatureB4	Gesichtsmerkmal B 4
EarringA3_Outline	Ohrring Umriss 3
TailF4_Color	Schwanz 18
AnimalEar2_Fur_Color	Tierohr Fell 2
AnimalEar3_Outline	Tierohr Umriss 3
Straw	Getränkebecher 4
AnimalEar8_Outline	Tierohr Umriss 8
AnimalEar6_Color	Tierohr 6
TailF3_Color	Schwanz 17
EarringB5_Outline	Ohrring Umriss 10
HairClip12_Color	Haarspange 12
Collar6_Color	Outfit-Kragen innen 6 + 7
AnimalEar6_Outline	Tierohr Umriss 6
AnimalEar3_Color	Tierohr 3
Brow3	Augenbraue 3
Glasses_Lens3	Brille Lens 3
EarringB5_Color	Ohrring 10
LaptopLight2	Laptop Licht 2
PhoneScreenPattern1	Telefonbildschirm 1
TailF2_Color	Schwanz 16
LaptopLight1	Laptop Licht 1
AnimalEar7_Color	Tierohr 7
AnimalEar9_Color	Tierohr 9
HairBang7_Middle_Outline	Pony >< Umriss 13 + 14
Hairband6_Color	Haarband B 4
AnimalEar2_Back_Outline	Tierohr Umriss 2 .1
HairClip1_Color	Haarspange 1
EarringB2_Outline	Ohrring Umriss 7
Middle_Color	Hand 1 .7
AnimalEar5_Outline	Tierohr Umriss 5
Hairband2_Color	Haarband A 2
AnimalEar1_Front_Color	Tierohr 1
Chopstick	Stäbchen
AnimalEar2_Front_Color	Tierohr 2
EarringB3_Outline	Ohrring Umriss 8
TailF1_Color	Schwanz 15
AnimalEar4_Color	Tierohr 4
HairBang4_Side_Color	Pony 7
SideHairB7_Gradient	Haare Seite 30
SideHairB1_Color	Haare Seite 17
FacialHair_A7_Color	Gesichtsbehaarung A 7
HairClip4_Outline	Haarspange Umriss 4
EarringB1_Outline	Ohrring Umriss 6
Index_Color	Hand 1 .8
PiercingA5_Outline	Piercing Umriss 5
TailF1_Outline	Schwanz Umriss 15
AnimalEar1_Fur_Outline	Tierohr Fellumriss 1
TailE3_Color	Schwanz 14
AnimalEar1_Back_Color	Tierohr 1 .1
AnimalEar2_Fur_Outline	Tierohr Fellumriss 2
CupSteam	Tasse Dampf
AnimalEar2_Back_Color	Tierohr 2 .1
AnimalEar8_Color	Tierohr 8
EarringB4_Outline	Ohrring Umriss 9
FacialHair_A8_Outline	Gesichtsbehaarung A Umriss 8
SideHairB7_Color	Haare Seite 29
SideHairA4_Color	Haare Seite 7
SideHairB1_Gradient	Haare Seite 18
BackHair3_Color	Haare hinten 5
Pigtail_A5_Color	Haarzopf 9
Pigtail_A5_Gradient	Haarzopf 10
Pigtail_A2_Outline	Haarzopf Umriss 3 + 4
HairShine6_Outline	Haarglanz Umriss 12
Antenna1_Outline	Antenne Umriss 1
AlertLike_Outline	Aufkleber Alert Umriss 4
FacialHair_A5_Outline	Gesichtsbehaarung A Umriss 5
Horn5_Outline	Horn Umriss 5
FrameHair_A8_Color	Seitensträhnen 15
FrameHair_A8_Gradient	Seitensträhnen 16
FrameHair_Top_Color	Seitensträhnen Top
HairBang5_Middle_Color	Pony >< 9
HairShine1_Outline	Haarglanz Umriss 2
WingG1_Inner_Outline	Flügel Umriss 10 .2
VideoCamera	Videokamera
FrameHair_A7_Gradient	Seitensträhnen 14
FrameHair_A7_Color	Seitensträhnen 13
Index_Outline	Hand 1 .9
Mouth	Mund
TailC3_Outline	Schwanz Umriss 10
Wing2_Outline	Ohrflügel Umriss 2
Wing1_Color	Ohrflügel Umriss 1
WingC1_Upper_Color	Flügel Umriss 5 .1
Main7_Color	Outfit innen 7
HairHighlight3_Color	Haar Highlight 3 << + 3 >>
HairHighlight4_Outline	Haar Highlight >< Umriss 1 + 2
ErrorPopup	Stops Working
TrashBinLid	Mülleimer 2
BackHair1_Outline	Haare hinten Umriss 1 + 2
BackHair2_Outline	Haare hinten Umriss 3 + 4
Horn6_Color	Horn 6
HairBang7_Middle_Color	Pony >< 13
little_Outline	Hand 1 .10
HornF1_Outline	Horn vorne Umriss 1
TailC2_Outline	Schwanz Umriss 9
Outer2_Outline	Outfit außen Umriss 2
BackHair3_Outline	Haare hinten Umriss 5 + 6
Tongue_Shadow	Zungenschatten
Blush	Gesichtsröte
FacialHair_B5_Color	Gesichtsbehaarung B 5 
Knife	Sabbern (Gabel&Messer) 2
HairBang3_Side_Outline	Pony Umriss 5 + 6
HairBang5_Side_Outline	Pony Umriss 9 + 10
Horn7_Outline	Horn Umriss 7
PopcornBucket	Essen (Popcorn) 1
Pigtail_A3_Outline	Haarzopf Umriss 5 + 6
Collar7_Color	Outfit-Kragen innen 8
Hairband3_Color	Haarband B 1
Hammer	Hammer
TailE3_Outline	Schwanz Umriss 14
HairBang6_Side_Outline	Pony Umriss 11 + 12
HairBang2_Side_Outline	Pony Umriss 3 + 4
HairShine7_Outline	Haarglanz Umriss 14
EyepatchBandage_Color	Augenklappe 5 + 6
EyepatchBandage_Outline	Augenklappen-Umriss 5 + 6
HairbandBack1_Color	Haarband D 1
Hairband4_Outline	Haarband B Umriss 2
KeyboardKeyA	Tippen Normal 1
Thumb_Outline	Hand 1 .11
FacialHair_B3_Color	Gesichtsbehaarung B 3
Hairband2_Outline	Haarband A Umriss 2
HairbandBack1_Outline	Haarband D Umriss 1
TailB3_Color	Schwanz 5
FrameHair_A7_Outline	Seitensträhnen Umriss 13 + 14
FrameHair_A10_Color	Seitensträhnen 19
FrameHair_A10_Gradient	Seitensträhnen 20
FrameHair_A11_Outline	Seitensträhnen Umriss 21 + 22
FrameHair_A9_Color	Seitensträhnen 17
FacialHair_A3_Color	Gesichtsbehaarung A 3
BackHair1_Color	Haare hinten 1
Laptop	Laptop
SignRound	Rundes Schild
HairBang1_Side_Color	Pony 1
HairBang4_Side_Gradient	Pony 8
HairBang5_Side_Color	Pony 9
BackHair2_Color	Haare hinten 3
Pigtail_A6_Outline	Haarzopf Umriss 11 + 12
Pigtail_A7_Outline	Haarzopf Umriss 13 + 14
Watermelon	Eat (Watermelon)
Cheek2	Wange 2
HairClip6_Color	Haarspange 6
Spoon	Ankommen (Löffel)
Tape	Band
HatB2_Outline	Hut Umriss 4
HairShine2_Outline	Haarglanz Umriss 4
HairBang1_Side_Gradient	Pony 2
HairBang2_Side_Color	Pony 3
HairBang5_Side_Gradient	Pony 10
BackHair2_Gradient	Haare hinten 4
FrameHair_B3_Outline	Seitensträhnen Umriss 28
FaceFeatureC1	Gesichtsmerkmal C 1
Pigtail_A8_Color	Haarzopf 15
NeckwearB4_Color	Outfit Halsschmuck B 4
WingE1_Lower_Color	Flügel 8 .3
PhoneScreen	Telefonbildschirm 3
AngrySteam	Aufkleber Dampf
Outer1_Color	Outfit außen 1
SideHair_Branch_C2_Outline	Haarseitenzweig C Umriss 2
Hairband4_Color	Haarband B 2
Pigtail_A3_Color	Haarzopf 5
BackHair3_Gradient	Haare hinten 6
HairBang2_Side_Gradient	Pony 4
PixelSunglasses	Pixel-Sonnenbrille
HatB1_Color	Hut 3
FacialHair_B3_Outline	Gesichtsbehaarung B Umriss 3
CapeBack1_Color	Kap zurück 1
HairShine1_Color	Haarglanz 1 + 2
Palmar_Color	Hand 1 .12
Ahoge_B1_Color	Haare Ahoge 5
HatA2_Outline	Hut Umriss 2
Pigtail_A5_Outline	Haarzopf Umriss 9 + 10
Pigtail_A3_Gradient	Haarzopf 6
HairBang3_Side_Color	Pony 5
HairBang3_Side_Gradient	Pony 6
HairShine4_Outline	Haarglanz Umriss 8
BackHair1_Gradient	Haare hinten 2
SignSquare	Quadratisches Schild
Horn4_Outline	Horn 4
PonytailB1_Gradient	Haar Pferdeschwanz 12
PonytailB1_Color	Haar Pferdeschwanz 11
FrameHair_A1_Outline	Seitensträhnen Umriss 1 + 2
Collar7_Outline	Outfit Kragen Umriss 8
NeckwearA3_Outline	Outfit Halsschmuck A Umriss 3
NeckwearA2_Outline	Outfit Halsschmuck A Umriss 2
TailA1_Outline	Schwanz Umriss 1
Horn3_Outline	Horn Umriss 3
Pigtail_A8_Gradient	Haarzopf 16
SunglassesReflection	Sonnenbrillenreflexion
NeckwearA6_Color	Outfit Halsschmuck A 6
Tie2_Outline	Outfit Halsschmuck C Umriss 2
Halo4_Color	Heiligenschein 5 + 6
FrameHair_A6_Color	Seitensträhnen 11
Middle_Outline	Hand 1 .13
RedPacketCoin2	Glücksumschlag 3
NeckwearB5_Color	Outfit Halsschmuck B 5
Eye1_HighlightCry	Auge 1 | Weinen
Collar3_Color	Outfit-Kragen innen 3
TailC3_Color	Schwanz 10
ElfEar_Color	Ohr 1.1
Surprise	Aufkleber Überraschung
Gill3_Outline	Kiemen Umriss 1 .3
Pigtail_A4_Gradient	Haarzopf 8
Pigtail_A1_Color	Haarzopf 1
Eye_U	Schlaf (UU)
Cockroach	Kakerlake
Halo3_Outline	Heiligenschein Umriss 3
Wing3_Outline	Ohrflügel Umriss 3
Halo4_Outline	Heiligenschein Umriss 5 + 6
Wing3_Color	Ohrflügel 3
WingD1_Outline	Flügel Umriss 6
FacialHair_A1_Color	Gesichtsbehaarung A 1
Ghost	Aufkleber Geist
Hairband7_Outline	Haarband C Umriss 1
Horn6_Outline	Horn Umriss 6
HairHighlight3_Outline	Haar Highlight Umriss 3 << + 3 >>
Glasses_Frame2	Brille 2
NeckwearA4_Outline	Outfit Halsschmuck A Umriss 4
Ear_Color	Ohr 1
HatB2_Color	Hut 4
FacialHair_A4_Outline	Gesichtsbehaarung A Umriss 4
PonytailB1_Outline	Haar-Pferdeschwanz-Umriss 11 + 12
Collar1_Color	Outfit-Kragen innen 1
CapeBack3_Outline	Kap zurück | Umriss des Kaps 3
Pigtail_A1_Outline	Haarzopf Umriss 1 + 2
Tie2_Color	Outfit Halsschmuck C 2
TailE1_Color	Schwanz 12
PatHand	Streichelhand
Main6_Outline	Outfit innen Umriss 6
Pigtail_A6_Color	Haarzopf 11
Card	Umkehren
FacialHair_A8_Color	Gesichtsbehaarung A 8
CapeBack2_Outline	Kap zurück | Umriss des Kaps 2
CapeFront6_Color	Kapfront 6
PonytailB2_Gradient	Haar Pferdeschwanz 14
Megaphone	Megaphon
Glasses_Frame1	Brille 1
Pigtail_B1_Outline	Haarzopf Umriss 17 + 18
Eye1_Dollar	Augendollar 1 + 2
FaceFeatureA1	Gesichtsmerkmal A 1
Eye1_Heart	Augenherz 1 + 2
Collar2_Color	Outfit-Kragen innen 2
Pigtail_A6_Gradient	Haarzopf 12
FrameHair_B3_Gradient	Seitensträhnen 28
FrameHair_B3_Color	Seitensträhnen 27
FrameHair_TopBack_Outline	Seitensträhnen Top Umriss 2
Horn5_Color	Horn 5
Fork	Sabbern (Gabel&Messer) 1
SteeringWheel	Lenkrad
Hairband1_Color	Haarband A 1
HatB3_Outline	Hut Umriss 5
FrameHair_A4_Color	Seitensträhnen 7
NeckwearB3_Color	Outfit Halsschmuck B 3
HammerEffect1	Hammer 1
HairHighlight6_Color	Haar Highlight >< 5 + 6
Pigtail_B2_Outline	Haarzopf Umriss 19 + 20
WingF1_Upper_Outline	Flügel Umriss 9 .1
Pigtail_A2_Gradient	Haarzopf 4
RedPacketCoin3	Glücksumschlag 2
FrameHair_A9_Gradient	Seitensträhnen 18
TrashBin	Mülleimer 1
FacialHair_A2_Outline	Gesichtsbehaarung A Umriss 2
Tongue1	Lecken | Zunge
HairShine4_Color	Haarglanz 7 + 8
Toilet	Toilette
FrameHair_A5_Gradient	Seitensträhnen 10
CapeFront6_Outline	Kapfront | Umriss des Kaps 6
FrameHair_A5_Color	Seitensträhnen 9
CapeBack2_Color	Kap zurück 2
SunGlasses_Lens	Sonnenbrille Lens
FrameHair_A9_Outline	Seitensträhnen Umriss 17 + 18
Main8_Outline	Outfit innen Umriss 8
Pigtail_A4_Color	Haarzopf 7
KeyboardKeyB	Tippen Normal 2
Tie3_Color	Outfit Halsschmuck C 3
Nose2	Nase 2
FacialHair_A5_Color	Gesichtsbehaarung A 5
AlertCustom_Color	Aufkleber Alert 2
AlertCustom_Outline	Aufkleber Alert Umriss 2
SideHair_Branch_A2_Outline	Haarseitenzweig A Umriss 2
Horn1_Color	Horn 1
Outer3_Outline	Outfit außen Umriss 3
SideHair_Branch_B1_Outline	Haarseitenzweig B Umriss 1
ElfEar_Outline	Ohr Umriss 1.1
Outer4_Color	Outfit außen 4
Outer3_Color	Outfit außen 3
HairHighlight5_Outline	Haar Highlight >< Umriss 3 +4
SideHair_Branch_C1_Outline	Haarseitenzweig C Umriss 1
Stylus	Stift
Tear2_Outline	Augentränen 3
Donut1	Krapfen 1
Donut2	Krapfen 2
SideHair_Branch_A1_Outline	Haarseitenzweig A Umriss 1
Eye1_Light	Augeniris hell 1 + 2
Angry2	Aufkleber Wütend 2
WingF1_Upper_Color	Flügel 9 .1
NeckwearB2_Color	Outfit Halsschmuck B 1 + 2
SideHair_Branch_A1_Color	Haarseitenzweig A 1
SignRoundText1	Rundes Schild Text
Collar2_Outline	Outfit Kragen Umriss 2
MusicalNote2	Musiknote 2
FacialHair_B4_Color	Gesichtsbehaarung B 4
Mecha2_Color	Mecha 2
Six	Nummer Sechs
PointHand	Mit Hand Zeigen
HairClip8_Color	Haarspange 8
FaceFeatureB1	Gesichtsmerkmal B 1
Pigtail_B2_Gradient	Haarzopf 20
Main8_Color	Outfit innen 8
Tear2_Color	Augentränen 2
Eye3_Dark	Augeniris dunkel 3
Outer4_Outline	Outfit außen Umriss 4
Glasses_Lens1	Brille Lens 1
WingA3_Outline	Flügel Umriss 3
Ahoge_B2_Color	Haare Ahoge 6
CapeFront1_Outline	Kapfront | Umriss des Kaps 1
Cake	Kuchen
WingD1_Color	Flügel 6
Pigtail_B1_Gradient	Haarzopf 18
Outer7_Color	Outfit außen 7
Ahoge_B1_Outline	Haare Ahoge Umriss 5
HornM1_Outline	Horn vorne >< Umriss 1
HornF2_Color	Horn vorne 2
CapeFront4_Color	Kapfront 4
FrameHair_Branch_A3_Color	Haarzweig 3
Main2_Outline	Outfit innen Umriss 2
Wing1_Outline	Ohrflügel Umriss 1
WingD2_Upper_Outline	Flügel Umriss 7 .1
Mecha4_Color	Mecha 4
Horn1_Outline	Horn Umriss 1
WingA2_Color	Flügel 2
EasterEggBasket	Ostern 4
Mecha4_Outline	Mecha Umriss 4
Antenna2_Color	Antenne 2
Mecha1_Color	Mecha 1
Ahoge_A3_Outline	Haare Ahoge Umriss 3
Main1_Outline	Outfit innen Umriss 1
Horn2_Color	Horn 2
HairBang4_Middle_Gradient	Pony >< 8
CapeFront3_Color	Kapfront 3
Notepad	Notizblock
Outer5_Color	Outfit außen 5
WingA3_Color	Flügel 3
