SpriteName	Uk
FaceFeatureB3	Риса обличчя B 3
Brow2	Брова 2
StickyNote	Наліпка
Loading_Outline	Завантаження наклейки 2
Collar6_Outline	Контур коміра одягу 6 + 7
CapeBack3_Color	Мис Назад 3
SideHairB6_Outline	Контур волосся збоку 27 + 28
PonytailA1_Outline	Контур зачіски в хвіст 1 + 2
PonytailA2_Color	Хвіст для волосся 3
SideHairA2_Color	Сторона волосся 3
GiftBoxLid	Подарунок 2
Collar4_Color	Внутрішній комір наряду 4
WingE1_Upper_Color	Крило 8 .1
WingA1_Color	Крило 1
FrameHair_B4_Outline	Обрамлення волосся Контур 29 + 30
FrameHair_Branch_A1_Color	Волосся Гілка 1
SideHairA7_Gradient	Сторона волосся 14
Wing2_Color	Вухо Крило 2
TailA1_Color	хвіст 1
Eye3_Heart	Око Серце 3
FrameHair_A8_Outline	Обрамлення волосся Контур 15 + 16
DrawingTablet	планшет
FaceFeatureA2	Риса обличчя A 2
PiercingA2_Color	Пірсинг 2
Eye_Popcat_Highlight	Popcat | Підсвічування очей
Hairband3_Outline	Гумка для волосся B Контур 1
NeckwearB6_Color	Одяг для шиї B 6
Mouth_Popcat1	Popcat | Рот 1
Rose	Роза
HairbandBack2_Outline	Гумка для волосся D Контур 2
Mecha2_Outline	Механічний контур 2
SideHairA8_Gradient	Сторона волосся 16
NeckwearB7_Color	Одяг для шиї B 7
Donut3	Пончик 3
NeckwearB5_Outline	(Одяг для шиї) Спорядження Neckwear B контур 5
StickyNoteText	Текст липкої нотатки
SideHairA6_Gradient	Сторона волосся 12
PonytailA4_Gradient	Хвіст для волосся 8
Ahoge_A4_Color	Волосся Ahoge 4
Gill2_Color	зябер 1 .2
FacialHair_A7_Outline	Волосся на обличчі A контур 7
HatC1_Color	Капелюх 6 + 7
SideHairA5_Color	Сторона волосся 9
LightStickHandle	Ручка Lightstick (Світлова паличка)
Eye1_Spiral	Очна спіраль 1 + 2
EasterEgg2	Великдень 2
EasterEgg1	Великдень 1
HairClip5_Outline	Заколка для волосся Контур 5
SideHairA8_Color	Сторона волосся 15
HairHighlight2_Outline	Мелірування волосся Контур 2 << + 2 >>
Ahoge_A2_Color	Волосся Ahoge 2
SideHairB7_Outline	Контур волосся збоку 29 + 30
AlertBits_Outline	Схема попередження про наклейку 6
SunGlasses_Frame	Сонцезахисні окуляри
PonytailA4_Color	Хвіст для волосся 7
HairHighlight2_Color	Мелірування волосся 2 << + 2 >>
SideHairA5_Gradient	Сторона волосся 10
SideHairA6_Color	Сторона волосся 11
HairbandBack2_Color	Гумка для волосся D 2
NeckwearB1_Outline	(Одяг для шиї) Спорядження Neckwear B контур 2
HairClip3_Outline	Заколка для волосся Контур 3
Bill2	Білл 2
Volume	Обсяг наклейки
FrameHair_A1_Color	Обрамлення волосся 1 
FrameHair_A2_Gradient	Обрамлення волосся 2 
Pigtail_C2_Color	Косичка для волосся 23
Pigtail_C2_Gradient	Косичка для волосся 24
WingF1_Lower_Outline	Крило Контур 9 .2
Glasses_Frame3	Окуляри 3
WingA2_Outline	Крило Контур 2
PalmarGlove1_Outline	Рука 2 .1
Eye1_Sparkling	Блискучі очі 1
SideHairB2_Color	Сторона волосся 19
SideHairB2_Gradient	Сторона волосся 20
SideHairA1_Outline	Контур волосся збоку 1 + 2
EarringA3_Color	Сережка 3
EarringA4_Color	Сережка 4
TailF_Outline	Контур хвоста 15 + 16 + 17 + 18 + 24 + 25
Halo2_Outline	Контур Halo (Ореол) 2
HairBang4_Side_Outline	Чубчик для волосся контур 7 + 8
TailD1_Outline	Контур хвоста 11
Pigtail_A8_Outline	Косичка для волосся Контур 15 + 16
HairBang4_Middle_Outline	Чубчик для волосся >< контур 4
SideHairB2_Outline	Контур волосся збоку 19 + 20
ShakeLine2	Наляканий 2
EarringB2_Color	Сережка 7
TailA2_Color	хвіст 2
TailF_Color	хвіст 15 + 16 + 17 + 18 + 24 + 25
SideHairB6_Color	Сторона волосся 27
Controller	Контролер
HairBang3_Middle_Gradient	Чубчик для волосся >< 6
HairBang3_Middle_Color	Чубчик для волосся >< 5
Horn4_Color	Ріг 4
HatD1_Color	Капелюх 8
PonytailA1_Gradient	Хвіст для волосся 2
SideHairB4_Outline	Контур волосся збоку 23 + 24
SideHairB6_Gradient	Сторона волосся 28
EarringA4_Outline	Сережка Контур 4
PopperConfetti1	Конфетті 1
Collar1_Outline	Контур коміра одягу 1
FacialHair_B5_Outline	Волосся на обличчі B контур 5
EarringA2_Outline	Сережка Контур 2
TailF4_Outline	Контур хвоста 18
LightStickLight	Світлова паличка
HatA1_Outline	Контур капелюха 1 + 2
SideHairB1_Outline	Контур волосся збоку 17 + 18
HairClip3_Color	Заколка для волосся 3
NeckwearA4_Color	Одяг для шиї A 4
NeckwearA5_Color	Одяг для шиї A 5
WingC1_Lower_Outline	Крило Контур 5 .2
FrameHair_A2_Outline	Обрамлення волосся Контур 3 + 4
HatB1_Outline	Контур капелюха 3
MagicWand	Магія
HairBang2_Middle_Color	Чубчик для волосся >< 3
HairBang2_Middle_Gradient	Чубчик для волосся >< 4
Hairband5_Color	Гумка для волосся B 3
TailE2_Outline	Контур хвоста 13
Brow5	Брова 5
Tie1_Color	Одяг для шиї C 1
WingF1_Lower_Color	Крило 9 .2
FrameHair_A4_Outline	Обрамлення волосся Контур 7 + 8
PryBar	Лом
FacialHair_A2_Color	Волосся на обличчі A 2
Outer2_Color	Одяг Зовнішній 2
Tie3_Outline	(Одяг для шиї) Спорядження Neckwear C контур 3
TailB4_Outline	Контур хвоста 6
HairShine3_Outline	Контур блиску волосся 6
AlertHeart_Color	Сповіщення про наклейку 1
WingD2_Lower_Outline	Крило Контур 7 .2
SideHairA1_Color	Сторона волосся 1
HatA1_Color	Капелюх 1 + 2
SideHairB3_Color	Сторона волосся 21
FrameHair_A11_Gradient	Обрамлення волосся 22
FrameHair_A11_Color	Обрамлення волосся 21
SideHairB4_Gradient	Сторона волосся 24
SideHairA4_Outline	Контур волосся збоку 7 + 8
SideHairA1_Gradient	Сторона волосся 2
CapeFront2_Color	Капський фронт 2
CapeFront5_Color	Капський фронт 5
CapeFront2_Outline	Капський фронт | Контур мису 2
SideHairB3_Outline	Контур волосся збоку 21 + 22
SideHairB4_Color	Сторона волосся 23
SideHairB5_Gradient	Сторона волосся 26
TailB5_Color	хвіст 7
WingC1_Upper_Outline	Крило Контур 5 .1
Mecha3_Outline	Механічний контур 3
HairHighlight1_Color	Мелірування волосся 1 << + 1 >> 
LoveLetter	Любовний лист
Hairband6_Outline	Гумка для волосся B Контур 4
MusicalNote1	Музична нота 1
PiercingA2_Outline	Пірсинг Контур 2
StrawLiquid_Outline	Чашка для напоїв 2
Eyepatch2_Color	Пов'язка на око 3 + 4
AnimalEar2_Front_Outline	Вухо тварин Схема 2
AnimalEar1_Fur_Color	Вухо тварин Хутро 1
EarringB3_Color	Сережка 8
Pigtail_A7_Gradient	 Косичка для волосся 14
AnimalEar5_Color	Вухо тварин 5
EarringB4_Color	Сережка 4
HairClip2_Color	Заколка для волосся 2
Glasses_Lens2	Окуляри Lens 2
HairBang6_Side_Gradient	Чубчик для волосся 12
HairBang3_Middle_Outline	Чубчик для волосся >< контур 5 + 6
AnimalEar9_Outline	Вухо тварин Схема 9
HatB3_Color	Капелюх 5
PiercingA1_Outline	Пірсинг Контур 1
Brow8	Брова 8
HairClip1_Outline	Заколка для волосся Контур 1
Eyepatch1_Color	Пов'язка на око 1 + 2
NeckwearA1_Color	Одяг для шиї A 1
Eye1_Eyelash	вії 1 + 2
ShakeLine3	Наляканий 3
WingE1_Upper_Outline	Крило Контур 8 .1
PopperConfetti3	Конфетті 3
Star	Наклейка зірка
HairBang1_Middle_Outline	Чубчик для волосся >< контур 1 + 2
SideHairA4_Gradient	Сторона волосся 8
PiercingA3_Outline	Пірсинг Контур 3
FaceFeatureB4	Риса обличчя B 4
EarringA3_Outline	Сережка Контур 3
TailF4_Color	хвіст 18
AnimalEar2_Fur_Color	Вухо тварин Хутро 2
AnimalEar3_Outline	Вухо тварин Схема 3
Straw	Чашка для напоїв 4
AnimalEar8_Outline	Вухо тварин Схема 8
AnimalEar6_Color	Вухо тварин 6
TailF3_Color	хвіст 17
EarringB5_Outline	Сережка Контур 10
HairClip12_Color	Заколка для волосся 12
Collar6_Color	Внутрішній комір наряду 6 + 7
AnimalEar6_Outline	Вухо тварин Схема 6
AnimalEar3_Color	Вухо тварин 3
Brow3	Брова 3
Glasses_Lens3	Окуляри Lens 3
EarringB5_Color	Сережка 10
LaptopLight2	Світло ноутбука 2
PhoneScreenPattern1	Екран телефону 1
TailF2_Color	хвіст 16
LaptopLight1	Світло ноутбука 1
AnimalEar7_Color	Вухо тварин 7
AnimalEar9_Color	Вухо тварин 9
HairBang7_Middle_Outline	Чубчик для волосся >< контур 13 + 14
Hairband6_Color	Гумка для волосся B 4
AnimalEar2_Back_Outline	Вухо тварин Схема 2 .1
HairClip1_Color	Заколка для волосся 1
EarringB2_Outline	Сережка Контур 7
Middle_Color	Рука 1 .7
AnimalEar5_Outline	Вухо тварин Схема 5
Hairband2_Color	Гумка для волосся A 2
AnimalEar1_Front_Color	Вухо тварин 1
Chopstick	Паличка для їжі
AnimalEar2_Front_Color	Вухо тварин 2
EarringB3_Outline	Сережка Контур 8
TailF1_Color	хвіст 15
AnimalEar4_Color	Вухо тварин 4
HairBang4_Side_Color	Чубчик для волосся 7
SideHairB7_Gradient	Сторона волосся 30
SideHairB1_Color	Сторона волосся 17
FacialHair_A7_Color	Волосся на обличчі A 7
HairClip4_Outline	Заколка для волосся Контур 4
EarringB1_Outline	Сережка Контур 6
Index_Color	Рука 1 .8
PiercingA5_Outline	Пірсинг Контур 5
TailF1_Outline	Контур хвоста 15
AnimalEar1_Fur_Outline	Вухо тварини Контур хутра 1
TailE3_Color	хвіст 14
AnimalEar1_Back_Color	Вухо тварин 1 .1
AnimalEar2_Fur_Outline	Вухо тварини Контур хутра 2
CupSteam	Чашка Steam (Пара з чашки)
AnimalEar2_Back_Color	Вухо тварин 2 .1
AnimalEar8_Color	Вухо тварин 8
EarringB4_Outline	Сережка Контур 9
FacialHair_A8_Outline	Волосся на обличчі A контур 8
SideHairB7_Color	Сторона волосся 29
SideHairA4_Color	Сторона волосся 7
SideHairB1_Gradient	Сторона волосся 18
BackHair3_Color	Волосся ззаду 5
Pigtail_A5_Color	 Косичка для волосся 9
Pigtail_A5_Gradient	 Косичка для волосся 10
Pigtail_A2_Outline	Косичка для волосся Контур 3 + 4
HairShine6_Outline	Контур блиску волосся 12
Antenna1_Outline	Антена Схема 1
AlertLike_Outline	Схема попередження про наклейку 4
FacialHair_A5_Outline	Волосся на обличчі A контур 5
Horn5_Outline	Ріг Контур 5
FrameHair_A8_Color	Обрамлення волосся 15
FrameHair_A8_Gradient	Обрамлення волосся 16
FrameHair_Top_Color	Обрамлення волосся top
HairBang5_Middle_Color	Чубчик для волосся >< 9
HairShine1_Outline	Контур блиску волосся 2
WingG1_Inner_Outline	Крило Контур 10 .2
VideoCamera	Відеокамера
FrameHair_A7_Gradient	Обрамлення волосся 14
FrameHair_A7_Color	Обрамлення волосся 13
Index_Outline	Рука 1 .9
Mouth	Рот
TailC3_Outline	Контур хвоста 10
Wing2_Outline	Вухо Крило Контур 2
Wing1_Color	Вухо Крило Контур 1
WingC1_Upper_Color	Крило Контур 5 .1
Main7_Color	Наряд Внутрішній 7
HairHighlight3_Color	Мелірування волосся 3 << + 3 >>
HairHighlight4_Outline	Мелірування волосся >< Контур 1 + 2
ErrorPopup	Припиняє працювати
TrashBinLid	Відро для сміття 2
BackHair1_Outline	Контур волосся ззаду 1 + 2
BackHair2_Outline	Контур волосся ззаду 3 + 4
Horn6_Color	Ріг 6
HairBang7_Middle_Color	Чубчик для волосся >< 13
little_Outline	Рука 1 .10
HornF1_Outline	Ріговий фронт Контур 1
TailC2_Outline	Контур хвоста 9
Outer2_Outline	(Одяг) Зовнішній контур спорядження 2
BackHair3_Outline	Контур волосся ззаду 5 + 6
Tongue_Shadow	Тінь язика
Blush	Рум'яна для обличчя
FacialHair_B5_Color	Волосся на обличчі B 5 
Knife	Слини (виделка та ніж) 2
HairBang3_Side_Outline	Чубчик для волосся контур 5 + 6
HairBang5_Side_Outline	Чубчик для волосся контур 9 + 10
Horn7_Outline	Ріг Контур 7
PopcornBucket	Їсти (попкорн) 1
Pigtail_A3_Outline	Косичка для волосся Контур 5 + 6
Collar7_Color	Внутрішній комір наряду 8
Hairband3_Color	Гумка для волосся B 1
Hammer	Молоток
TailE3_Outline	Контур хвоста 14
HairBang6_Side_Outline	Чубчик для волосся контур 11 + 12
HairBang2_Side_Outline	Чубчик для волосся контур 3 + 4
HairShine7_Outline	Контур блиску волосся 14
EyepatchBandage_Color	Пов'язка на око 5 + 6
EyepatchBandage_Outline	Контур пов'язки 5 + 6
HairbandBack1_Color	Гумка для волосся D 1
Hairband4_Outline	Гумка для волосся B Контур 2
KeyboardKeyA	Тип Нормальний 1
Thumb_Outline	Рука 1 .11
FacialHair_B3_Color	Волосся на обличчі B 3
Hairband2_Outline	Гумка для волосся A Контур 2
HairbandBack1_Outline	Гумка для волосся D Контур 1
TailB3_Color	хвіст 5
FrameHair_A7_Outline	Обрамлення волосся Контур 13 + 14
FrameHair_A10_Color	Обрамлення волосся 19
FrameHair_A10_Gradient	Обрамлення волосся 20
FrameHair_A11_Outline	Обрамлення волосся Контур 21 + 22
FrameHair_A9_Color	Обрамлення волосся 17
FacialHair_A3_Color	Волосся на обличчі A 3
BackHair1_Color	Волосся ззаду 1
Laptop	Ноутбук
SignRound	Круглий знак
HairBang1_Side_Color	Чубчик для волосся 1
HairBang4_Side_Gradient	Чубчик для волосся 8
HairBang5_Side_Color	Чубчик для волосся 9
BackHair2_Color	Волосся ззаду 3
Pigtail_A6_Outline	Косичка для волосся Контур 11 + 12
Pigtail_A7_Outline	Косичка для волосся Контур 13 + 14
Watermelon	Їсти (кавун)
Cheek2	щока 2
HairClip6_Color	Заколка для волосся 6
Spoon	Прибуття (з ложкою)
Tape	Стрічка
HatB2_Outline	Контур капелюха 4
HairShine2_Outline	Контур блиску волосся 4
HairBang1_Side_Gradient	Чубчик для волосся 2
HairBang2_Side_Color	Чубчик для волосся 3
HairBang5_Side_Gradient	Чубчик для волосся 10
BackHair2_Gradient	Волосся ззаду 4
FrameHair_B3_Outline	Обрамлення волосся Контур 28
FaceFeatureC1	Риса обличчя C 1
Pigtail_A8_Color	 Косичка для волосся 15
NeckwearB4_Color	Одяг для шиї B 4
WingE1_Lower_Color	Крило 8 .3
PhoneScreen	Екран телефону 3
AngrySteam	Наклейка Steam (Пара)
Outer1_Color	Одяг Зовнішній 1
SideHair_Branch_C2_Outline	Бокова гілка волосся C Контур 2
Hairband4_Color	Гумка для волосся B 2
Pigtail_A3_Color	 Косичка для волосся 5
BackHair3_Gradient	Волосся ззаду 6
HairBang2_Side_Gradient	Чубчик для волосся 4
PixelSunglasses	Сонцезахисні окуляри Pixel
HatB1_Color	Капелюх 3
FacialHair_B3_Outline	Волосся на обличчі B контур 3
CapeBack1_Color	Мис Назад 1
HairShine1_Color	Блиск волосся 1 + 2
Palmar_Color	Рука 1 .12
Ahoge_B1_Color	Волосся Ahoge 5
HatA2_Outline	Контур капелюха 2
Pigtail_A5_Outline	Косичка для волосся Контур 9 + 10
Pigtail_A3_Gradient	 Косичка для волосся 6
HairBang3_Side_Color	Чубчик для волосся 5
HairBang3_Side_Gradient	Чубчик для волосся 6
HairShine4_Outline	Контур блиску волосся 8
BackHair1_Gradient	Волосся ззаду 2
SignSquare	Квадратний знак
Horn4_Outline	Ріг 4
PonytailB1_Gradient	Хвіст для волосся 12
PonytailB1_Color	Хвіст для волосся 11
FrameHair_A1_Outline	Обрамлення волосся Контур 1 + 2
Collar7_Outline	Контур коміра одягу 8
NeckwearA3_Outline	(Одяг для шиї) Спорядження Neckwear A контур 3
NeckwearA2_Outline	(Одяг для шиї) Спорядження Neckwear A контур 2
TailA1_Outline	Контур хвоста 1
Horn3_Outline	Ріг Контур 3
Pigtail_A8_Gradient	 Косичка для волосся 16
SunglassesReflection	Сонцезахисні окуляри Reflection (Відображення)
NeckwearA6_Color	Одяг для шиї A 6
Tie2_Outline	(Одяг для шиї) Спорядження Neckwear C контур 2
Halo4_Color	Ореол 5 + 6
FrameHair_A6_Color	Обрамлення волосся 11
Middle_Outline	Рука 1 .13
RedPacketCoin2	RedPacket (Червоний пакет) 3
NeckwearB5_Color	Одяг для шиї B 5
Eye1_HighlightCry	Око 1 | Плакати
Collar3_Color	Внутрішній комір наряду 3
TailC3_Color	хвіст 10
ElfEar_Color	вухо 1.1
Surprise	Наклейка Сюрприз
Gill3_Outline	Контур зябер 1 .3
Pigtail_A4_Gradient	 Косичка для волосся 8
Pigtail_A1_Color	 Косичка для волосся 1
Eye_U	Сон (UU)
Cockroach	Тарган
Halo3_Outline	Контур Halo (Ореол) 3
Wing3_Outline	Вухо Крило Контур 3
Halo4_Outline	Контур Halo (Ореол) 5 + 6
Wing3_Color	Вухо Крило 3
WingD1_Outline	Крило Контур 6
FacialHair_A1_Color	Волосся на обличчі A 1
Ghost	Наклейка Привид
Hairband7_Outline	Гумка для волосся C Контур 1
Horn6_Outline	Ріг Контур 6
HairHighlight3_Outline	Мелірування волосся Контур 3 << + 3 >>
Glasses_Frame2	Окуляри 2
NeckwearA4_Outline	(Одяг для шиї) Спорядження Neckwear A контур 4
Ear_Color	Вухо 1
HatB2_Color	Капелюх 4
FacialHair_A4_Outline	Волосся на обличчі A контур 4
PonytailB1_Outline	Контур зачіски в хвіст 11 + 12
Collar1_Color	Внутрішній комір наряду 1
CapeBack3_Outline	Мис Назад | Контур мису 3
Pigtail_A1_Outline	Косичка для волосся Контур 1 + 2
Tie2_Color	Одяг для шиї C 2
TailE1_Color	хвіст 12
PatHand	Пет Хенд
Main6_Outline	Внутрішній контур спорядження 6
Pigtail_A6_Color	 Косичка для волосся 11
Card	Зворотний
FacialHair_A8_Color	Волосся на обличчі A 8
CapeBack2_Outline	Мис Назад | Контур мису 2
CapeFront6_Color	Капський фронт 6
PonytailB2_Gradient	Хвіст для волосся 14
Megaphone	Мегафон
Glasses_Frame1	Окуляри 1
Pigtail_B1_Outline	Косичка для волосся Контур 17 + 18
Eye1_Dollar	Око Долар 1 + 2
FaceFeatureA1	Риса обличчя A 1
Eye1_Heart	Око Серце 1 + 2
Collar2_Color	Внутрішній комір наряду 2
Pigtail_A6_Gradient	 Косичка для волосся 12
FrameHair_B3_Gradient	Обрамлення волосся 28
FrameHair_B3_Color	Обрамлення волосся 27
FrameHair_TopBack_Outline	Обрамлення волосся top Контур 2
Horn5_Color	Ріг 5
Fork	Слини (виделка та ніж) 1
SteeringWheel	Кермо
Hairband1_Color	Гумка для волосся A 1
HatB3_Outline	Контур капелюха 5
FrameHair_A4_Color	Обрамлення волосся 7
NeckwearB3_Color	Одяг для шиї B 3
HammerEffect1	Молоток 1
HairHighlight6_Color	Мелірування волосся >< 5 + 6
Pigtail_B2_Outline	Косичка для волосся Контур 19 + 20
WingF1_Upper_Outline	Крило Контур 9 .1
Pigtail_A2_Gradient	 Косичка для волосся 4
RedPacketCoin3	RedPacket (Червоний пакет) 2
FrameHair_A9_Gradient	Обрамлення волосся 18
TrashBin	Відро для сміття 1
FacialHair_A2_Outline	Волосся на обличчі A контур 2
Tongue1	лизати | Язик
HairShine4_Color	Блиск волосся 7 + 8
Toilet	Туалет
FrameHair_A5_Gradient	Обрамлення волосся 10
CapeFront6_Outline	Капський фронт | Контур мису 6
FrameHair_A5_Color	Обрамлення волосся 9
CapeBack2_Color	Мис Назад 2
SunGlasses_Lens	Сонцезахисні окуляри Lens
FrameHair_A9_Outline	Обрамлення волосся Контур 17 + 18
Main8_Outline	Внутрішній контур спорядження 8
Pigtail_A4_Color	 Косичка для волосся 7
KeyboardKeyB	Тип Нормальний 2
Tie3_Color	Одяг для шиї C 3
Nose2	ніс 2
FacialHair_A5_Color	Волосся на обличчі A 5
AlertCustom_Color	Сповіщення про наклейку 2
AlertCustom_Outline	Схема попередження про наклейку 2
SideHair_Branch_A2_Outline	Бокова гілка волосся A Контур 2
Horn1_Color	Ріг 1
Outer3_Outline	(Одяг) Зовнішній контур спорядження 3
SideHair_Branch_B1_Outline	Бокова гілка волосся B Контур 1
ElfEar_Outline	вухо Контур 1.1
Outer4_Color	Одяг Зовнішній 4
Outer3_Color	Одяг Зовнішній 3
HairHighlight5_Outline	Мелірування волосся >< Контур 3 +4
SideHair_Branch_C1_Outline	Бокова гілка волосся C Контур 1
Stylus	Стилус
Tear2_Outline	Сльоза очей 3
Donut1	Пончик 1
Donut2	Пончик 2
SideHair_Branch_A1_Outline	Бокова гілка волосся A Контур 1
Eye1_Light	Світло райдужної оболонки очей 1 + 2
Angry2	Наклейка Angry (Злий) 2
WingF1_Upper_Color	Крило 9 .1
NeckwearB2_Color	Одяг для шиї B 1 + 2
SideHair_Branch_A1_Color	Бокова гілка волосся A 1
SignRoundText1	круглий знак текст
Collar2_Outline	Контур коміра одягу 2
MusicalNote2	Музична нота 2
FacialHair_B4_Color	Волосся на обличчі B 4
Mecha2_Color	(Механічний) Меха 2
Six	Номер шість
PointHand	Вказати руку
HairClip8_Color	Заколка для волосся 8
FaceFeatureB1	Риса обличчя B 1
Pigtail_B2_Gradient	 Косичка для волосся 20
Main8_Color	Наряд Внутрішній 8
Tear2_Color	Сльоза очей 2
Eye3_Dark	Райдужна оболонка очей темна 3
Outer4_Outline	(Одяг) Зовнішній контур спорядження 4
Glasses_Lens1	Окуляри Lens 1
WingA3_Outline	Крило Контур 3
Ahoge_B2_Color	Волосся Ahoge 6
CapeFront1_Outline	Капський фронт | Контур мису 1
Cake	Торт
WingD1_Color	Крило 6
Pigtail_B1_Gradient	 Косичка для волосся 18
Outer7_Color	Одяг Зовнішній 7
Ahoge_B1_Outline	Контур волосся Ahoge 5
HornM1_Outline	Ріг спереду >< Контур 1
HornF2_Color	Ріговий фронт 2
CapeFront4_Color	Капський фронт 4
FrameHair_Branch_A3_Color	Волосся Гілка 3
Main2_Outline	Внутрішній контур спорядження 2
Wing1_Outline	Вухо Крило Контур 1
WingD2_Upper_Outline	Крило Контур 7 .1
Mecha4_Color	(Механічний) Меха 4
Horn1_Outline	Ріг Контур 1
WingA2_Color	Крило 2
EasterEggBasket	Великдень 4
